#======================================,,,,,,,,,,,,,,,,,,,,,,,,,,
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime
0,0,0,0,1.002,1.002,12000,0,1.002,3.052,2.05,1848,3.052,3.958,0.906,9000,0,3.958,5.957,1.999,1350,5.957,6.882,0.925,12000,0,4.955
1,0,1,1,2.089,1.089,13000,0,2.089,4.351,2.262,2036,4.351,5.357,1.006,10000,0,5.357,7.579,2.221,1500,7.579,8.581,1.002,13000,0,5.49
2,0,2,2,3.089,1.089,12000,0,3.089,5.189,2.1,1890,5.189,6.257,1.068,9000,0,6.257,8.256,1.999,1350,8.256,9.504,1.248,12000,0,5.167
3,0,3,3,4.006,1.006,11000,0,4.006,6.253,2.248,1712,6.253,7.059,0.806,8000,0,7.059,9.355,2.296,1200,9.355,10.273,0.918,10000,0,5.35
4,0,4,4,4.922,0.922,11000,0,4.922,7.164,2.242,1779,7.164,7.97,0.806,8000,0,7.97,10.033,2.062,1200,10.033,11.042,1.009,10000,0,5.11
5,0,5,5,6.002,1.002,12000,0,6.002,8.264,2.262,1811,8.264,9.17,0.906,9000,0,9.17,11.354,2.184,1350,11.354,12.279,0.925,12000,0,5.352
6,0,6,6,7.002,1.002,12000,0,7.002,9.22,2.218,1850,9.22,10.126,0.906,9000,0,10.126,12.124,1.999,1350,12.124,13.202,1.078,12000,0,5.122
7,0,7,7,8.085,1.085,13000,0,8.085,10.551,2.466,2058,10.551,11.557,1.006,10000,0,11.557,13.778,2.221,1500,13.778,14.78,1.002,13000,0,5.692
8,0,8,8,9.085,1.085,12000,0,9.085,11.324,2.239,1895,11.324,12.457,1.132,9000,0,12.457,14.457,2,1350,14.457,15.703,1.246,12000,0,5.371
9,0,9,9,10.002,1.002,11000,0,10.002,12.474,2.472,1732,12.474,13.28,0.806,8000,0,13.28,15.554,2.274,1200,15.554,16.472,0.918,10000,0,5.552
10,0,10,10,11.085,1.085,13000,0,11.085,13.589,2.503,2038,13.589,14.595,1.006,10000,0,14.595,16.816,2.221,1500,16.816,17.818,1.002,13000,0,5.731
11,0,11,11,12.002,1.002,11000,0,12.002,14.434,2.432,1764,14.434,15.395,0.96,8000,0,15.395,17.331,1.937,1200,17.331,18.587,1.256,10000,0,5.329
12,0,12,12,13.085,1.085,13000,0,13.085,15.771,2.686,1965,15.771,16.677,0.906,9000,0,16.677,18.815,2.138,1350,18.815,19.74,0.925,12000,0,5.73
13,0,13,13,14.085,1.085,12000,0,14.085,16.444,2.359,1810,16.444,17.577,1.133,9000,0,17.577,19.576,1.999,1350,19.576,20.663,1.087,12000,0,5.49
14,0,14,14,15.002,1.002,11000,0,15.002,17.649,2.647,1691,17.649,18.455,0.806,8000,0,18.455,20.592,2.137,1200,20.592,21.432,0.84,10000,0,5.59
15,0,15,15,16.085,1.085,13000,0,16.085,18.685,2.6,2018,18.685,19.691,1.006,10000,0,19.691,21.912,2.221,1500,21.912,22.914,1.002,13000,0,5.827
16,0,16,16,16.919,0.919,10000,0,16.919,19.427,2.508,1601,19.427,20.492,1.065,8000,0,20.492,22.369,1.877,1200,22.369,23.683,1.315,10000,0,5.45
17,0,17,17,18.002,1.002,12000,0,18.002,20.837,2.835,1937,20.837,21.743,0.906,9000,0,21.743,23.911,2.168,1350,23.911,24.836,0.925,12000,0,5.909
18,0,18,18,18.919,0.919,11000,0,18.919,21.398,2.479,1775,21.398,22.543,1.145,8000,0,22.543,24.31,1.768,1200,24.31,25.605,1.295,10000,0,5.392
19,0,19,19,19.919,0.919,11000,0,19.919,22.694,2.776,1673,22.694,23.501,0.806,8000,0,23.501,25.687,2.187,1200,25.687,26.459,0.771,10000,0,5.769
20,0,20,20,21.089,1.089,13000,0,21.089,23.674,2.585,2049,23.674,24.68,1.006,10000,0,24.68,26.901,2.221,1500,26.901,27.906,1.005,13000,0,5.813
21,0,21,21,22.172,1.172,13000,0,22.172,24.904,2.732,1989,24.904,25.81,0.906,9000,0,25.81,27.81,2,1350,27.81,28.835,1.025,12000,0,5.638
22,0,22,22,23.339,1.339,14000,0,23.339,26.014,2.675,2106,26.014,27.02,1.006,10000,0,27.02,29.241,2.221,1500,29.241,30.253,1.012,13000,0,5.902
23,0,23,23,24.339,1.339,12000,0,24.339,27.02,2.681,1887,27.02,27.926,0.906,9000,0,27.926,29.925,1.999,1350,29.925,31.176,1.251,12000,0,5.586
