Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 26, 0, 0, 1.036, 1.036, 12288, 0, 1.036, 3.038, 2.002, 1803, 3.038, 3.966, 0.927, 9216, 0, 3.966, 5.965, 1.999, 1350, 5.965, 6.913, 0.947, 12288, 0,     6.913,
 1, 26, 1, 1, 2.231, 1.231, 14336, 0, 2.231, 4.565, 2.335, 2102, 4.565, 5.595, 1.03, 10240, 0, 5.595, 7.831, 2.235, 1500, 7.831, 8.857, 1.026, 13312, 0,     7.857,
 2, 26, 2, 2, 3.084, 1.084, 10240, 0, 3.084, 4.907, 1.823, 1635, 4.907, 6.415, 1.508, 8192, 0, 6.415, 8.191, 1.776, 1200, 8.191, 9.645, 1.454, 10240, 0,     7.645,
 3, 26, 3, 3, 4.193, 1.193, 13312, 0, 4.193, 6.853, 2.66, 2060, 6.853, 7.883, 1.03, 10240, 0, 7.883, 10.104, 2.221, 1500, 10.104, 11.13, 1.026, 13312, 0,     8.130,
 4, 26, 4, 4, 5.046, 1.046, 10240, 0, 5.046, 6.884, 1.837, 1648, 6.884, 8.702, 1.818, 8192, 0, 8.702, 10.47, 1.768, 1200, 10.47, 11.924, 1.454, 10240, 0,     7.924,
 5, 26, 5, 5, 5.817, 0.817, 9216, 0, 5.817, 8.496, 2.679, 1479, 8.496, 9.419, 0.923, 7168, 0, 9.419, 11.658, 2.24, 1050, 11.658, 12.633, 0.975, 9216, 0,     7.633,
 6, 26, 6, 6, 7.197, 1.197, 14336, 0, 7.197, 9.551, 2.354, 2119, 9.551, 10.581, 1.03, 10240, 0, 10.581, 12.817, 2.236, 1500, 12.817, 13.843, 1.026, 13312, 0,     7.843,
 7, 26, 7, 7, 8.053, 1.053, 10240, 0, 8.053, 10.238, 2.185, 1569, 10.238, 11.298, 1.059, 7168, 0, 11.298, 13.213, 1.915, 1050, 13.213, 14.551, 1.339, 9216, 0,     7.551,
 8, 26, 8, 8, 9.165, 1.165, 13312, 0, 9.165, 11.737, 2.571, 1968, 11.737, 12.664, 0.928, 9216, 0, 12.664, 14.815, 2.151, 1350, 14.815, 15.762, 0.947, 12288, 0,     7.762,
 9, 26, 9, 9, 10.275, 1.275, 13312, 0, 10.275, 12.605, 2.331, 2084, 12.605, 13.688, 1.082, 10240, 0, 13.688, 15.919, 2.231, 1500, 15.919, 16.945, 1.026, 13312, 0,     7.945,
 10, 26, 10, 10, 11.304, 1.304, 12288, 0, 11.304, 13.81, 2.506, 1867, 13.81, 14.738, 0.928, 9216, 0, 14.738, 16.826, 2.089, 1350, 16.826, 17.901, 1.074, 12288, 0,     7.901,
 11, 26, 11, 11, 12.414, 1.414, 13312, 0, 12.414, 14.774, 2.36, 1952, 14.774, 15.701, 0.928, 9216, 0, 15.701, 17.925, 2.223, 1350, 17.925, 18.872, 0.947, 12288, 0,     7.872,
 12, 26, 12, 12, 13.353, 1.353, 11264, 0, 13.353, 15.661, 2.309, 1667, 15.661, 16.52, 0.859, 8192, 0, 16.52, 18.603, 2.082, 1200, 18.603, 19.66, 1.057, 10240, 0,     7.660,
 13, 26, 13, 13, 14.462, 1.462, 13312, 0, 14.462, 17.068, 2.606, 2065, 17.068, 18.098, 1.03, 10240, 0, 18.098, 20.319, 2.221, 1500, 20.319, 21.345, 1.026, 13312, 0,     8.345,
 14, 26, 14, 14, 15.32, 1.32, 10240, 0, 15.32, 17.347, 2.027, 1518, 17.347, 18.814, 1.467, 7168, 0, 18.814, 20.362, 1.547, 1050, 20.362, 22.054, 1.692, 9216, 0,     8.054,
 15, 26, 15, 15, 16.344, 1.344, 12288, 0, 16.344, 19.209, 2.865, 1928, 19.209, 20.137, 0.928, 9216, 0, 20.137, 22.322, 2.185, 1350, 22.322, 23.269, 0.947, 12288, 0,     8.269,
 16, 26, 16, 16, 17.283, 1.283, 11264, 0, 17.283, 19.296, 2.013, 1754, 19.296, 20.955, 1.66, 8192, 0, 20.955, 22.752, 1.796, 1200, 22.752, 24.067, 1.315, 10240, 0,     8.067,
 18, 26, 18, 18, 19.339, 1.339, 10240, 0, 19.339, 21.035, 1.696, 1527, 21.035, 21.758, 0.723, 7168, 0, 21.758, 23.88, 2.122, 1050, 23.88, 24.779, 0.899, 9216, 0,     6.779,
 17, 26, 17, 17, 18.477, 1.477, 14336, 0, 18.477, 21.547, 3.07, 2105, 21.547, 22.782, 1.235, 10240, 0, 22.782, 25.02, 2.238, 1500, 25.02, 26.046, 1.026, 13312, 0,     9.046,
