time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1095,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
1.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,991,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
2.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1171,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
3.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1101,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
4.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,826,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
5.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,804,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
6.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,870,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
7.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1126,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
8.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,940,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
9.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,860,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
10.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,961,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
11.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1156,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
12.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,971,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
13.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1191,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
14.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1036,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
15.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1163,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
16.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1060,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
17.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1096,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
18.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,955,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
19.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1067,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
20.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,872,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
21.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,974,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
22.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,905,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
23.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,947,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
24.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,966,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
25.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1172,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
26.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1137,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
27.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,912,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
28.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,832,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
29.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1186,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
30.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,903,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
31.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,923,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
32.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1167,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
33.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,948,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
34.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1051,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
35.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,828,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
36.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,833,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
37.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,944,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
38.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1100,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
39.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,811,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
40.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1163,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
41.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,894,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
42.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,886,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
43.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,974,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
44.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1194,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
45.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,852,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
46.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1097,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
47.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,895,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
48.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,816,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
49.0,sfc-ingress27egress27,Ingress27,11,11,SF-A,1130,11,SF-B,1650,8,SF-C,1200,10,Egress27,1000.0
50.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,955,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
51.0,sfc-ingress27egress27,Ingress27,8,8,SF-A,802,8,SF-B,1200,6,SF-C,900,8,Egress27,1000.0
52.0,sfc-ingress27egress27,Ingress27,10,10,SF-A,1016,10,SF-B,1500,7,SF-C,1050,9,Egress27,1000.0
53.0,sfc-ingress27egress27,Ingress27,9,9,SF-A,956,9,SF-B,1350,6,SF-C,900,8,Egress27,1000.0
