Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 944, 0, 0, 0.873, 0.873, 11264, 0, 0.873, 2.621, 1.748, 1129, 2.621, 3.427, 0.806, 11264, 0, 3.427, 5.114, 1.686, 1650, 5.114, 5.94, 0.826, 8192, 0, 5.94, 7.579, 1.639, 1200, 7.579, 8.312, 0.733, 10240, 0,     8.312,
 1, 944, 1, 1, 2.113, 1.113, 14336, 0, 2.113, 4.299, 2.186, 1422, 4.299, 5.326, 1.027, 14336, 0, 5.326, 7.477, 2.151, 2100, 7.477, 8.506, 1.029, 10240, 0, 8.506, 10.562, 2.056, 1500, 10.562, 11.516, 0.954, 13312, 0,    10.516,
 2, 944, 2, 2, 3.216, 1.216, 14336, 0, 3.216, 5.51, 2.294, 1493, 5.51, 6.536, 1.026, 14336, 0, 6.536, 8.699, 2.163, 2100, 8.699, 9.726, 1.026, 10240, 0, 9.726, 11.777, 2.051, 1500, 11.777, 12.73, 0.953, 13312, 0,    10.730,
 3, 944, 3, 3, 4.003, 1.003, 10240, 0, 4.003, 5.958, 1.954, 1077, 5.958, 7.268, 1.31, 10240, 0, 7.268, 9.021, 1.753, 1500, 9.021, 10.448, 1.427, 7168, 0, 10.448, 11.997, 1.549, 1050, 11.997, 13.393, 1.395, 9216, 0,    10.393,
 4, 944, 4, 4, 4.952, 0.952, 12288, 0, 4.952, 7.368, 2.415, 1208, 7.368, 8.247, 0.88, 12288, 0, 8.247, 10.547, 2.299, 1800, 10.547, 11.474, 0.928, 9216, 0, 11.474, 13.637, 2.162, 1350, 13.637, 14.519, 0.882, 12288, 0,    10.519,
 5, 944, 5, 5, 6.032, 1.032, 13312, 0, 6.032, 8.14, 2.108, 1368, 8.14, 9.198, 1.059, 13312, 0, 9.198, 11.194, 1.996, 1950, 11.194, 12.397, 1.203, 9216, 0, 12.397, 14.257, 1.86, 1350, 14.257, 15.397, 1.14, 12288, 0,    10.397,
 6, 944, 6, 6, 6.907, 0.907, 11264, 0, 6.907, 9.175, 2.267, 1174, 9.175, 10.013, 0.838, 11264, 0, 10.013, 12.247, 2.234, 1650, 12.247, 13.225, 0.978, 8192, 0, 13.225, 15.278, 2.053, 1200, 15.278, 16.128, 0.851, 10240, 0,    10.128,
 7, 944, 7, 7, 8.03, 1.03, 13312, 0, 8.03, 10.266, 2.236, 1380, 10.266, 11.219, 0.953, 13312, 0, 11.219, 13.223, 2.004, 1950, 13.223, 14.147, 0.924, 9216, 0, 14.147, 16.109, 1.962, 1350, 16.109, 17.006, 0.897, 12288, 0,    10.006,
 8, 944, 8, 8, 8.817, 0.817, 10240, 0, 8.817, 10.835, 2.018, 1080, 10.835, 11.95, 1.115, 10240, 0, 11.95, 13.794, 1.844, 1500, 13.794, 14.864, 1.07, 7168, 0, 14.864, 16.725, 1.861, 1050, 16.725, 17.667, 0.942, 9216, 0,     9.667,
 9, 944, 9, 9, 10.195, 1.195, 15360, 0, 10.195, 12.591, 2.396, 1506, 12.591, 13.696, 1.105, 15360, 0, 13.696, 16.017, 2.321, 2250, 16.017, 17.145, 1.128, 11264, 0, 17.145, 19.405, 2.26, 1650, 19.405, 20.433, 1.028, 14336, 0,    11.433,
