Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 250, 0, 0, 1.132, 1.132, 11264, 0, 1.132, 3.481, 2.348, 1166, 3.481, 4.507, 1.026, 11264, 0, 4.507, 6.715, 2.209, 1650, 6.715, 7.741, 1.026, 8192, 0, 7.741, 9.878, 2.136, 1200, 9.878, 10.81, 0.933, 10240, 0,    10.810,
 1, 250, 1, 1, 1.951, 0.951, 8192, 0, 1.951, 3.604, 1.653, 822, 3.604, 5.253, 1.648, 8192, 0, 5.253, 6.865, 1.612, 1200, 6.865, 8.51, 1.645, 6144, 0, 8.51, 10.109, 1.599, 900, 10.109, 11.555, 1.446, 8192, 0,    10.555,
 2, 250, 2, 2, 2.825, 0.825, 8192, 0, 2.825, 5.153, 2.327, 834, 5.153, 5.997, 0.845, 8192, 0, 5.997, 8.318, 2.321, 1200, 8.318, 9.284, 0.966, 6144, 0, 9.284, 11.48, 2.195, 900, 11.48, 12.3, 0.82, 8192, 0,    10.300,
 3, 250, 3, 3, 4.138, 1.138, 11264, 0, 4.138, 6.5, 2.363, 1182, 6.5, 7.528, 1.027, 11264, 0, 7.528, 9.726, 2.199, 1650, 9.726, 10.753, 1.026, 8192, 0, 10.753, 12.886, 2.133, 1200, 12.886, 13.825, 0.939, 10240, 0,    10.825,
 4, 250, 4, 4, 5.163, 1.163, 10240, 0, 5.163, 7.208, 2.045, 1019, 7.208, 8.458, 1.25, 10240, 0, 8.458, 10.458, 1.999, 1500, 10.458, 11.656, 1.198, 7168, 0, 11.656, 13.524, 1.867, 1050, 13.524, 14.666, 1.142, 9216, 0,    10.666,
 5, 250, 5, 5, 5.988, 0.988, 8192, 0, 5.988, 8.234, 2.246, 867, 8.234, 9.204, 0.97, 8192, 0, 9.204, 11.335, 2.131, 1200, 11.335, 12.43, 1.095, 6144, 0, 12.43, 14.487, 2.057, 900, 14.487, 15.411, 0.924, 8192, 0,    10.411,
 6, 250, 6, 6, 7.137, 1.137, 11264, 0, 7.137, 9.412, 2.275, 1102, 9.412, 10.438, 1.026, 11264, 0, 10.438, 12.659, 2.221, 1650, 12.659, 13.687, 1.028, 8192, 0, 13.687, 15.826, 2.139, 1200, 15.826, 16.763, 0.937, 10240, 0,    10.763,
 7, 250, 7, 7, 7.957, 0.957, 8192, 0, 7.957, 9.918, 1.961, 838, 9.918, 11.182, 1.265, 8192, 0, 11.182, 12.934, 1.751, 1200, 12.934, 14.455, 1.521, 6144, 0, 14.455, 16.09, 1.635, 900, 16.09, 17.513, 1.423, 8192, 0,    10.513,
 8, 250, 8, 8, 8.825, 0.825, 8192, 0, 8.825, 11.104, 2.279, 846, 11.104, 11.927, 0.823, 8192, 0, 11.927, 14.27, 2.342, 1200, 14.27, 15.223, 0.953, 6144, 0, 15.223, 17.432, 2.21, 900, 17.432, 18.257, 0.825, 8192, 0,    10.257,
 9, 250, 9, 9, 9.928, 0.928, 9216, 0, 9.928, 11.92, 1.993, 997, 11.92, 12.767, 0.847, 9216, 0, 12.767, 14.74, 1.972, 1350, 14.74, 15.997, 1.258, 6144, 0, 15.997, 17.701, 1.703, 900, 17.701, 19.002, 1.301, 8192, 0,    10.002,
