Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 1053, 0, 0, 1.105, 1.105, 14336, 0, 1.105, 3.383, 2.278, 2222, 3.383, 4.515, 1.132, 11264, 0, 4.515, 6.762, 2.247, 1650, 6.762, 7.786, 1.024, 14336, 0,     7.786,
 1, 1053, 1, 1, 2.138, 1.138, 13312, 0, 2.138, 4.162, 2.024, 1971, 4.162, 5.437, 1.275, 9216, 0, 5.437, 7.277, 1.84, 1350, 7.277, 8.666, 1.389, 12288, 0,     7.666,
 2, 1053, 2, 2, 3.086, 1.086, 12288, 0, 3.086, 5.348, 2.262, 1912, 5.348, 6.359, 1.011, 9216, 0, 6.359, 8.613, 2.254, 1350, 8.613, 9.546, 0.933, 12288, 0,     7.546,
 3, 1053, 3, 3, 4.114, 1.114, 13312, 0, 4.114, 6.192, 2.079, 1980, 6.192, 7.282, 1.09, 9216, 0, 7.282, 9.128, 1.846, 1350, 9.128, 10.424, 1.296, 12288, 0,     7.424,
 4, 1053, 4, 4, 4.983, 0.983, 11264, 0, 4.983, 7.161, 2.178, 1761, 7.161, 8.108, 0.948, 8192, 0, 8.108, 10.262, 2.154, 1200, 10.262, 11.158, 0.896, 10240, 0,     7.158,
 5, 1053, 5, 5, 5.947, 0.947, 12288, 0, 5.947, 8.174, 2.227, 1920, 8.174, 9.108, 0.934, 9216, 0, 9.108, 10.981, 1.873, 1350, 10.981, 12.036, 1.055, 12288, 0,     7.036,
 6, 1053, 6, 6, 7.029, 1.029, 13312, 0, 7.029, 9.217, 2.188, 1987, 9.217, 10.145, 0.928, 9216, 0, 10.145, 12.108, 1.963, 1350, 12.108, 12.986, 0.878, 12288, 0,     6.986,
 7, 1053, 7, 7, 7.898, 0.898, 11264, 0, 7.898, 9.934, 2.035, 1716, 9.934, 10.971, 1.038, 8192, 0, 10.971, 12.625, 1.653, 1200, 12.625, 13.717, 1.092, 10240, 0,     6.717,
 8, 1053, 8, 8, 8.953, 0.953, 12288, 0, 8.953, 11.206, 2.253, 1940, 11.206, 12.14, 0.934, 9216, 0, 12.14, 13.994, 1.854, 1350, 13.994, 14.872, 0.878, 12288, 0,     6.872,
 9, 1053, 9, 9, 10.03, 1.03, 13312, 0, 10.03, 12.166, 2.136, 2076, 12.166, 13.204, 1.038, 10240, 0, 13.204, 15.256, 2.052, 1500, 15.256, 16.214, 0.958, 13312, 0,     7.214,
