Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 1083, 0, 0, 0.944, 0.944, 11264, 0, 0.944, 2.894, 1.95, 1756, 2.894, 3.719, 0.825, 8192, 0, 3.719, 5.497, 1.779, 1200, 5.497, 6.287, 0.79, 10240, 0,     6.287,
 1, 1083, 1, 1, 2.197, 1.197, 14336, 0, 2.197, 4.584, 2.387, 2149, 4.584, 5.614, 1.03, 10240, 0, 5.614, 7.845, 2.231, 1500, 7.845, 8.873, 1.028, 13312, 0,     7.873,
 2, 1083, 2, 2, 3.05, 1.05, 10240, 0, 3.05, 4.841, 1.791, 1613, 4.841, 6.433, 1.592, 8192, 0, 6.433, 8.209, 1.776, 1200, 8.209, 9.661, 1.452, 10240, 0,     7.661,
 3, 1083, 3, 3, 4.074, 1.074, 12288, 0, 4.074, 6.72, 2.646, 1923, 6.72, 7.648, 0.927, 9216, 0, 7.648, 9.845, 2.197, 1350, 9.845, 10.792, 0.947, 12288, 0,     7.792,
 4, 1083, 4, 4, 5.193, 1.193, 13312, 0, 5.193, 7.486, 2.293, 2065, 7.486, 8.672, 1.186, 10240, 0, 8.672, 10.893, 2.222, 1500, 10.893, 11.923, 1.03, 13312, 0,     7.923,
 5, 1083, 5, 5, 6.221, 1.221, 12288, 0, 6.221, 8.867, 2.646, 1931, 8.867, 9.795, 0.927, 9216, 0, 9.795, 11.844, 2.049, 1350, 11.844, 12.878, 1.034, 12288, 0,     7.878,
 6, 1083, 6, 6, 7.245, 1.245, 12288, 0, 7.245, 9.497, 2.252, 1811, 9.497, 10.716, 1.219, 9216, 0, 10.716, 12.892, 2.176, 1350, 12.892, 13.84, 0.947, 12288, 0,     7.840,
 7, 1083, 7, 7, 8.013, 1.013, 9216, 0, 8.013, 10.508, 2.495, 1477, 10.508, 11.433, 0.925, 7168, 0, 11.433, 13.399, 1.966, 1050, 13.399, 14.549, 1.15, 9216, 0,     7.549,
 8, 1083, 8, 8, 8.952, 0.952, 11264, 0, 8.952, 11.473, 2.522, 1779, 11.473, 12.306, 0.833, 8192, 0, 12.306, 14.687, 2.381, 1200, 14.687, 15.477, 0.79, 10240, 0,     7.477,
 9, 1083, 9, 9, 9.943, 0.943, 11264, 0, 9.943, 12.35, 2.407, 1659, 12.35, 13.175, 0.825, 8192, 0, 13.175, 15.175, 2, 1200, 15.175, 16.264, 1.089, 10240, 0,     7.264,
 10, 1083, 10, 10, 10.855, 0.855, 10240, 0, 10.855, 13.164, 2.308, 1522, 13.164, 13.892, 0.729, 7168, 0, 13.892, 16.248, 2.355, 1050, 16.248, 16.973, 0.725, 9216, 0,     6.973,
 11, 1083, 11, 11, 11.95, 0.95, 11264, 0, 11.95, 14.289, 2.339, 1746, 14.289, 15.122, 0.833, 8192, 0, 15.122, 16.952, 1.83, 1200, 16.952, 17.765, 0.813, 10240, 0,     6.765,
 12, 1083, 12, 12, 13.026, 1.026, 12288, 0, 13.026, 15.18, 2.154, 1816, 15.18, 16.115, 0.934, 9216, 0, 16.115, 18.249, 2.134, 1350, 18.249, 19.201, 0.952, 12288, 0,     7.201,
 13, 1083, 13, 13, 13.973, 0.973, 11264, 0, 13.973, 16.146, 2.172, 1665, 16.146, 16.977, 0.831, 8192, 0, 16.977, 18.751, 1.775, 1200, 18.751, 19.996, 1.245, 10240, 0,     6.996,
 14, 1083, 14, 14, 15.026, 1.026, 12288, 0, 15.026, 17.297, 2.271, 1906, 17.297, 18.229, 0.932, 9216, 0, 18.229, 20.251, 2.021, 1350, 20.251, 21.198, 0.947, 12288, 0,     7.198,
 15, 1083, 15, 15, 16.136, 1.136, 13312, 0, 16.136, 18.325, 2.19, 1951, 18.325, 19.256, 0.93, 9216, 0, 19.256, 21.261, 2.006, 1350, 21.261, 22.209, 0.947, 12288, 0,     7.209,
 16, 1083, 16, 16, 17.166, 1.166, 12288, 0, 17.166, 19.45, 2.284, 1936, 19.45, 20.378, 0.928, 9216, 0, 20.378, 22.376, 1.999, 1350, 22.376, 23.323, 0.947, 12288, 0,     7.323,
