atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,12,1268,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,12,0
1.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,13,1341,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,13,0
2.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,13,1380,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,13,0
3.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,14,1443,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,14,0
4.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,11,1142,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,11,0
5.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,12,1265,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,12,0
6.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,13,1331,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,13,0
7.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,11,1153,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,11,0
8.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,14,1426,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,14,0
9.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,15,1525,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,15,0
10.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,13,1388,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,13,0
11.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,11,1120,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,11,0
12.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,10,1043,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,10,0
13.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,11,1153,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,11,0
14.0,sfc-ingress35egress35_psfc1,Ingress35,0,0,Ingress35-sfc-ingress35egress35_psfc1SF-A,sfc-ingress35egress35_psfc1SF-A,12,1270,sfc-ingress35egress35_psfc1SF-A-Egress35,Egress35,12,0
