Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 456, 0, 0, 1.036, 1.036, 12288, 0, 1.036, 3.129, 2.093, 1885, 3.129, 4.057, 0.928, 9216, 0, 4.057, 6.057, 2, 1350, 6.057, 7.004, 0.947, 12288, 0,     7.004,
 1, 456, 1, 1, 1.804, 0.804, 9216, 0, 1.804, 3.415, 1.611, 1451, 3.415, 4.774, 1.358, 7168, 0, 4.774, 6.328, 1.554, 1050, 6.328, 7.713, 1.385, 9216, 0,     6.713,
 2, 456, 2, 2, 2.855, 0.855, 10240, 0, 2.855, 4.961, 2.105, 1649, 4.961, 5.786, 0.825, 8192, 0, 5.786, 7.835, 2.049, 1200, 7.835, 8.634, 0.799, 10240, 0,     6.634,
 3, 456, 3, 3, 4.026, 1.026, 12288, 0, 4.026, 6.101, 2.075, 1870, 6.101, 7.035, 0.934, 9216, 0, 7.035, 9.049, 2.014, 1350, 9.049, 9.996, 0.947, 12288, 0,     6.996,
 4, 456, 4, 4, 4.794, 0.794, 9216, 0, 4.794, 6.625, 1.831, 1498, 6.625, 7.752, 1.127, 7168, 0, 7.752, 9.391, 1.639, 1050, 9.391, 10.709, 1.318, 9216, 0,     6.709,
 5, 456, 5, 5, 5.77, 0.77, 9216, 0, 5.77, 7.72, 1.95, 1458, 7.72, 8.469, 0.749, 7168, 0, 8.469, 10.611, 2.142, 1050, 10.611, 11.424, 0.813, 9216, 0,     6.424,
 6, 456, 6, 6, 7.031, 1.031, 12288, 0, 7.031, 9.091, 2.06, 1841, 9.091, 10.019, 0.928, 9216, 0, 10.019, 12.032, 2.013, 1350, 12.032, 12.979, 0.947, 12288, 0,     6.979,
 7, 456, 7, 7, 7.884, 0.884, 10240, 0, 7.884, 9.698, 1.814, 1633, 9.698, 10.839, 1.141, 8192, 0, 10.839, 12.615, 1.777, 1200, 12.615, 13.767, 1.152, 10240, 0,     6.767,
 8, 456, 8, 8, 9.111, 1.111, 13312, 0, 9.111, 11.336, 2.225, 2003, 11.336, 12.366, 1.03, 10240, 0, 12.366, 14.589, 2.223, 1500, 14.589, 15.621, 1.032, 13312, 0,     7.621,
 9, 456, 9, 9, 10.143, 1.143, 12288, 0, 10.143, 12.179, 2.036, 1833, 12.179, 13.288, 1.109, 9216, 0, 13.288, 15.286, 1.999, 1350, 15.286, 16.566, 1.28, 12288, 0,     7.566,
 10, 456, 10, 10, 11.167, 1.167, 12288, 0, 11.167, 13.501, 2.334, 1949, 13.501, 14.428, 0.928, 9216, 0, 14.428, 16.59, 2.162, 1350, 16.59, 17.54, 0.95, 12288, 0,     7.540,
 11, 456, 11, 11, 12.276, 1.276, 13312, 0, 12.276, 14.505, 2.229, 2007, 14.505, 15.535, 1.03, 10240, 0, 15.535, 17.757, 2.221, 1500, 17.757, 18.787, 1.031, 13312, 0,     7.787,
 12, 456, 12, 12, 13.221, 1.221, 11264, 0, 13.221, 15.417, 2.196, 1725, 15.417, 16.354, 0.938, 8192, 0, 16.354, 18.384, 2.029, 1200, 18.384, 19.575, 1.191, 10240, 0,     7.575,
 13, 456, 13, 13, 14.245, 1.245, 12288, 0, 14.245, 16.55, 2.306, 1841, 16.55, 17.478, 0.928, 9216, 0, 17.478, 19.755, 2.277, 1350, 19.755, 20.703, 0.947, 12288, 0,     7.703,
 14, 456, 14, 14, 15.098, 1.098, 10240, 0, 15.098, 17.126, 2.028, 1539, 17.126, 18.195, 1.069, 7168, 0, 18.195, 19.938, 1.743, 1050, 19.938, 21.422, 1.484, 9216, 0,     7.422,
 15, 456, 15, 15, 16.207, 1.207, 13312, 0, 16.207, 18.791, 2.584, 2017, 18.791, 19.821, 1.03, 10240, 0, 19.821, 22.05, 2.229, 1500, 22.05, 23.076, 1.026, 13312, 0,     8.076,
 16, 456, 16, 16, 17.231, 1.231, 12288, 0, 17.231, 19.322, 2.091, 1883, 19.322, 20.743, 1.42, 9216, 0, 20.743, 22.756, 2.014, 1350, 22.756, 24.021, 1.265, 12288, 0,     8.021,
 17, 456, 17, 17, 18.34, 1.34, 13312, 0, 18.34, 21.013, 2.673, 2001, 21.013, 22.05, 1.036, 10240, 0, 22.05, 24.274, 2.224, 1500, 24.274, 25.3, 1.026, 13312, 0,     8.300,
 18, 456, 18, 18, 19.279, 1.279, 11264, 0, 19.279, 21.197, 1.918, 1688, 21.197, 22.869, 1.672, 8192, 0, 22.869, 24.646, 1.777, 1200, 24.646, 26.089, 1.443, 10240, 0,     8.089,
 20, 456, 20, 20, 21.156, 1.156, 9216, 0, 21.156, 22.835, 1.679, 1475, 22.835, 23.586, 0.751, 7168, 0, 23.586, 25.836, 2.25, 1050, 25.836, 26.803, 0.967, 9216, 0,     6.803,
 19, 456, 19, 19, 20.388, 1.388, 13312, 0, 20.388, 23.29, 2.902, 2050, 23.29, 24.61, 1.319, 10240, 0, 24.61, 26.874, 2.264, 1500, 26.874, 27.9, 1.026, 13312, 0,     8.900,
 22, 456, 22, 22, 23.036, 1.036, 9216, 0, 23.036, 24.916, 1.88, 1464, 24.916, 25.639, 0.723, 7168, 0, 25.639, 27.39, 1.751, 1050, 27.39, 28.61, 1.22, 9216, 0,     6.610,
 23, 456, 23, 23, 23.804, 0.804, 9216, 0, 23.804, 26.528, 2.724, 1451, 26.528, 27.379, 0.851, 7168, 0, 27.379, 28.957, 1.577, 1050, 28.957, 29.674, 0.717, 9216, 0,     6.674,
 21, 456, 21, 21, 22.265, 1.265, 13312, 0, 22.265, 25.116, 2.851, 2053, 25.116, 26.663, 1.547, 10240, 0, 26.663, 29.1, 2.437, 1500, 29.1, 30.698, 1.598, 13312, 0,     9.698,
