atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToMe, SFName3, Packet_To_Me3(MB), MyWorkload3(MI), LinkToEgress, EgressNode, Packet_To_Egress4(MB), WorkloadOnEgress(0)
0.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1062,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,10,1500,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,7,1050,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,9,0
1.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1242,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
2.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1249,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
3.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,13,1315,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,13,1950,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
4.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,992,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,9,1350,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,6,900,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,8,0
5.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1281,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
6.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,14,1429,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,14,2100,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,10,1500,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,13,0
7.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1251,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
8.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1117,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,11,1650,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,8,1200,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,10,0
9.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1234,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
10.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1222,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
11.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1013,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,10,1500,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,7,1050,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,9,0
12.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1274,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
13.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1047,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,10,1500,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,7,1050,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,9,0
14.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1187,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,11,1650,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,8,1200,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,10,0
15.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,13,1332,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,13,1950,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
16.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1276,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
17.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,13,1307,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,13,1950,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
18.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1206,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
19.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,13,1343,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,13,1950,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
20.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1285,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
21.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1294,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
22.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1287,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,12,1800,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,9,1350,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,12,0
23.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1065,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,10,1500,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,7,1050,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,9,0
24.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1171,sfc-ingress11egress11_psfc1SF-A-sfc-ingress11egress11_psfc1SF-B,sfc-ingress11egress11_psfc1SF-B,11,1650,sfc-ingress11egress11_psfc1SF-B-sfc-ingress11egress11_psfc1SF-C,sfc-ingress11egress11_psfc1SF-C,8,1200,sfc-ingress11egress11_psfc1SF-C-Egress11,Egress11,10,0
