Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 245, 0, 0, 1.132, 1.132, 11264, 0, 1.132, 3.518, 2.385, 1190, 3.518, 4.547, 1.029, 11264, 0, 4.547, 6.746, 2.2, 1650, 6.746, 7.773, 1.026, 8192, 0, 7.773, 9.916, 2.144, 1200, 9.916, 10.849, 0.933, 10240, 0,    10.849,
 1, 245, 1, 1, 2.259, 1.259, 11264, 0, 2.259, 4.464, 2.205, 1100, 4.464, 5.571, 1.107, 11264, 0, 5.571, 7.77, 2.199, 1650, 7.77, 8.797, 1.027, 8192, 0, 8.797, 10.925, 2.128, 1200, 10.925, 11.864, 0.939, 10240, 0,    10.864,
 2, 245, 2, 2, 3.08, 1.08, 8192, 0, 3.08, 5.236, 2.156, 856, 5.236, 6.315, 1.079, 8192, 0, 6.315, 8.352, 2.037, 1200, 8.352, 9.565, 1.213, 6144, 0, 9.565, 11.517, 1.953, 900, 11.517, 12.609, 1.092, 8192, 0,    10.609,
 3, 245, 3, 3, 4.211, 1.211, 11264, 0, 4.211, 6.712, 2.501, 1121, 6.712, 7.737, 1.026, 11264, 0, 7.737, 9.971, 2.234, 1650, 9.971, 10.997, 1.026, 8192, 0, 10.997, 13.137, 2.14, 1200, 13.137, 14.07, 0.933, 10240, 0,    11.070,
 4, 245, 4, 4, 5.236, 1.236, 10240, 0, 5.236, 7.399, 2.163, 1082, 7.399, 8.675, 1.277, 10240, 0, 8.675, 10.682, 2.006, 1500, 10.682, 11.9, 1.218, 7168, 0, 11.9, 13.766, 1.867, 1050, 13.766, 14.916, 1.149, 9216, 0,    10.916,
 5, 245, 5, 5, 6.06, 1.06, 8192, 0, 6.06, 8.419, 2.359, 852, 8.419, 9.424, 1.006, 8192, 0, 9.424, 11.57, 2.146, 1200, 11.57, 12.669, 1.098, 6144, 0, 12.669, 14.739, 2.07, 900, 14.739, 15.663, 0.924, 8192, 0,    10.663,
 6, 245, 6, 6, 7.093, 1.093, 10240, 0, 7.093, 9.554, 2.461, 1076, 9.554, 10.489, 0.935, 10240, 0, 10.489, 12.687, 2.198, 1500, 12.687, 13.586, 0.899, 7168, 0, 13.586, 15.638, 2.052, 1050, 15.638, 16.503, 0.865, 9216, 0,    10.503,
 7, 245, 7, 7, 8.126, 1.126, 10240, 0, 8.126, 10.452, 2.326, 1013, 10.452, 11.424, 0.972, 10240, 0, 11.424, 13.579, 2.155, 1500, 13.579, 14.482, 0.903, 7168, 0, 14.482, 16.615, 2.133, 1050, 16.615, 17.455, 0.84, 9216, 0,    10.455,
 8, 245, 8, 8, 9.15, 1.15, 10240, 0, 9.15, 11.731, 2.582, 1082, 11.731, 12.669, 0.937, 10240, 0, 12.669, 14.689, 2.02, 1500, 14.689, 15.59, 0.902, 7168, 0, 15.59, 17.508, 1.918, 1050, 17.508, 18.355, 0.847, 9216, 0,    10.355,
 9, 245, 9, 9, 9.971, 0.971, 8192, 0, 9.971, 12.228, 2.257, 880, 12.228, 13.413, 1.185, 8192, 0, 13.413, 15.178, 1.765, 1200, 15.178, 16.36, 1.181, 6144, 0, 16.36, 18.223, 1.864, 900, 18.223, 19.101, 0.877, 8192, 0,    10.101,
 10, 245, 10, 10, 11.04, 1.04, 10240, 0, 11.04, 13.84, 2.8, 1052, 13.84, 14.775, 0.935, 10240, 0, 14.775, 16.768, 1.993, 1500, 16.768, 17.666, 0.898, 7168, 0, 17.666, 19.543, 1.876, 1050, 19.543, 20.391, 0.848, 9216, 0,    10.391,
 11, 245, 11, 11, 11.967, 0.967, 9216, 0, 11.967, 14.188, 2.221, 976, 14.188, 15.614, 1.426, 9216, 0, 15.614, 17.417, 1.803, 1350, 17.417, 18.437, 1.02, 6144, 0, 18.437, 20.04, 1.603, 900, 20.04, 21.137, 1.097, 8192, 0,    10.137,
 12, 245, 12, 12, 12.937, 0.937, 9216, 0, 12.937, 15.763, 2.825, 957, 15.763, 16.604, 0.842, 9216, 0, 16.604, 18.569, 1.964, 1350, 18.569, 19.339, 0.77, 6144, 0, 19.339, 21.155, 1.816, 900, 21.155, 21.91, 0.755, 8192, 0,     9.910,
 13, 245, 13, 13, 14.036, 1.036, 10240, 0, 14.036, 16.343, 2.307, 1078, 16.343, 17.537, 1.194, 10240, 0, 17.537, 19.533, 1.995, 1500, 19.533, 20.435, 0.902, 7168, 0, 20.435, 22.301, 1.867, 1050, 22.301, 23.142, 0.841, 9216, 0,    10.142,
 14, 245, 14, 14, 14.855, 0.855, 8192, 0, 14.855, 17.438, 2.583, 836, 17.438, 18.282, 0.844, 8192, 0, 18.282, 20.181, 1.899, 1200, 20.181, 21.209, 1.028, 6144, 0, 21.209, 22.817, 1.608, 900, 22.817, 23.887, 1.07, 8192, 0,     9.887,
 15, 245, 15, 15, 15.937, 0.937, 9216, 0, 15.937, 18.23, 2.293, 941, 18.23, 19.12, 0.89, 9216, 0, 19.12, 21.332, 2.212, 1350, 21.332, 22.102, 0.77, 6144, 0, 22.102, 23.907, 1.805, 900, 23.907, 24.655, 0.748, 8192, 0,     9.655,
 16, 245, 16, 16, 17.133, 1.133, 11264, 0, 17.133, 19.743, 2.611, 1153, 19.743, 20.769, 1.026, 11264, 0, 20.769, 22.969, 2.2, 1650, 22.969, 23.998, 1.029, 8192, 0, 23.998, 26.135, 2.138, 1200, 26.135, 27.073, 0.938, 10240, 0,    11.073,
 17, 245, 17, 17, 18.054, 1.054, 9216, 0, 18.054, 20.12, 2.066, 946, 20.12, 21.607, 1.487, 9216, 0, 21.607, 23.419, 1.812, 1350, 23.419, 24.774, 1.355, 6144, 0, 24.774, 26.375, 1.601, 900, 26.375, 27.823, 1.448, 8192, 0,    10.823,
 18, 245, 18, 18, 18.882, 0.882, 8192, 0, 18.882, 21.409, 2.527, 834, 21.409, 22.354, 0.944, 8192, 0, 22.354, 24.573, 2.219, 1200, 24.573, 25.542, 0.969, 6144, 0, 25.542, 27.735, 2.194, 900, 27.735, 28.574, 0.839, 8192, 0,    10.574,
 19, 245, 19, 19, 19.83, 0.83, 8192, 0, 19.83, 21.804, 1.974, 835, 21.804, 23.1, 1.296, 8192, 0, 23.1, 25.018, 1.917, 1200, 25.018, 26.31, 1.292, 6144, 0, 26.31, 27.983, 1.674, 900, 27.983, 29.325, 1.342, 8192, 0,    10.325,
 20, 245, 20, 20, 20.935, 0.935, 9216, 0, 20.935, 23.253, 2.317, 919, 23.253, 24.093, 0.84, 9216, 0, 24.093, 26.375, 2.282, 1350, 26.375, 27.148, 0.773, 6144, 0, 27.148, 29.338, 2.191, 900, 29.338, 30.091, 0.752, 8192, 0,    10.091,
 21, 245, 21, 21, 21.831, 0.831, 8192, 0, 21.831, 23.558, 1.726, 860, 23.558, 24.837, 1.28, 8192, 0, 24.837, 26.617, 1.78, 1200, 26.617, 27.916, 1.299, 6144, 0, 27.916, 29.588, 1.672, 900, 29.588, 30.839, 1.25, 8192, 0,     9.839,
 22, 245, 22, 22, 22.928, 0.928, 9216, 0, 22.928, 25.25, 2.322, 992, 25.25, 26.092, 0.842, 9216, 0, 26.092, 28.174, 2.083, 1350, 28.174, 28.951, 0.777, 6144, 0, 28.951, 30.947, 1.996, 900, 30.947, 31.694, 0.747, 8192, 0,     9.694,
 23, 245, 23, 23, 24.138, 1.138, 11264, 0, 24.138, 26.535, 2.397, 1195, 26.535, 27.561, 1.026, 11264, 0, 27.561, 29.773, 2.211, 1650, 29.773, 30.798, 1.026, 8192, 0, 30.798, 32.938, 2.139, 1200, 32.938, 33.871, 0.934, 10240, 0,    10.871,
 24, 245, 24, 24, 25.062, 1.062, 9216, 0, 25.062, 27.141, 2.079, 942, 27.141, 28.401, 1.26, 9216, 0, 28.401, 30.199, 1.797, 1350, 30.199, 31.571, 1.372, 6144, 0, 31.571, 33.175, 1.604, 900, 33.175, 34.616, 1.441, 8192, 0,    10.616,
 25, 245, 25, 25, 26.093, 1.093, 10240, 0, 26.093, 28.578, 2.485, 1016, 28.578, 29.511, 0.933, 10240, 0, 29.511, 31.779, 2.268, 1500, 31.779, 32.678, 0.899, 7168, 0, 32.678, 34.809, 2.131, 1050, 34.809, 35.649, 0.84, 9216, 0,    10.649,
 26, 245, 26, 26, 27.12, 1.12, 10240, 0, 27.12, 29.244, 2.124, 1051, 29.244, 30.442, 1.197, 10240, 0, 30.442, 32.441, 2, 1500, 32.441, 33.574, 1.133, 7168, 0, 33.574, 35.441, 1.867, 1050, 35.441, 36.494, 1.053, 9216, 0,    10.494,
 27, 245, 27, 27, 28.246, 1.246, 11264, 0, 28.246, 30.874, 2.628, 1148, 30.874, 31.9, 1.026, 11264, 0, 31.9, 34.098, 2.198, 1650, 34.098, 35.128, 1.03, 8192, 0, 35.128, 37.263, 2.135, 1200, 37.263, 38.199, 0.937, 10240, 0,    11.199,
 28, 245, 28, 28, 29.373, 1.373, 11264, 0, 29.373, 31.619, 2.246, 1122, 31.619, 32.925, 1.307, 11264, 0, 32.925, 35.142, 2.217, 1650, 35.142, 36.168, 1.026, 8192, 0, 36.168, 38.302, 2.134, 1200, 38.302, 39.245, 0.943, 10240, 0,    11.245,
 29, 245, 29, 29, 30.398, 1.398, 10240, 0, 30.398, 33.02, 2.622, 1067, 33.02, 33.96, 0.94, 10240, 0, 33.96, 36.115, 2.155, 1500, 36.115, 37.064, 0.949, 7168, 0, 37.064, 39.129, 2.065, 1050, 39.129, 40.084, 0.954, 9216, 0,    11.084,
 30, 245, 30, 30, 31.423, 1.423, 10240, 0, 31.423, 33.635, 2.212, 1009, 33.635, 34.895, 1.26, 10240, 0, 34.895, 37.143, 2.247, 1500, 37.143, 38.04, 0.897, 7168, 0, 38.04, 40.176, 2.136, 1050, 40.176, 41.02, 0.844, 9216, 0,    11.020,
 31, 245, 31, 31, 32.248, 1.248, 8192, 0, 32.248, 34.761, 2.513, 871, 34.761, 35.649, 0.888, 8192, 0, 35.649, 37.717, 2.068, 1200, 37.717, 38.815, 1.098, 6144, 0, 38.815, 40.732, 1.917, 900, 40.732, 41.772, 1.04, 8192, 0,    10.772,
 32, 245, 32, 32, 33.17, 1.17, 9216, 0, 33.17, 35.459, 2.29, 912, 35.459, 36.494, 1.034, 9216, 0, 36.494, 38.944, 2.45, 1350, 38.944, 39.714, 0.77, 6144, 0, 39.714, 41.789, 2.075, 900, 41.789, 42.536, 0.747, 8192, 0,    10.536,
 33, 245, 33, 33, 33.989, 0.989, 8192, 0, 33.989, 36.554, 2.565, 893, 36.554, 37.309, 0.755, 8192, 0, 37.309, 39.322, 2.013, 1200, 39.322, 40.482, 1.16, 6144, 0, 40.482, 42.332, 1.851, 900, 42.332, 43.287, 0.954, 8192, 0,    10.287,
 34, 245, 34, 34, 34.825, 0.825, 8192, 0, 34.825, 37.143, 2.317, 839, 37.143, 38.06, 0.917, 8192, 0, 38.06, 40.552, 2.492, 1200, 40.552, 41.329, 0.777, 6144, 0, 41.329, 43.395, 2.066, 900, 43.395, 44.143, 0.747, 8192, 0,    10.143,
 35, 245, 35, 35, 35.928, 0.928, 9216, 0, 35.928, 38.389, 2.461, 918, 38.389, 39.234, 0.845, 9216, 0, 39.234, 41.121, 1.887, 1350, 41.121, 42.097, 0.976, 6144, 0, 42.097, 43.94, 1.842, 900, 43.94, 44.89, 0.95, 8192, 0,     9.890,
 36, 245, 36, 36, 37.143, 1.143, 11264, 0, 37.143, 39.498, 2.356, 1177, 39.498, 40.524, 1.026, 11264, 0, 40.524, 42.756, 2.232, 1650, 42.756, 43.786, 1.03, 8192, 0, 43.786, 45.922, 2.136, 1200, 45.922, 46.855, 0.933, 10240, 0,    10.855,
