Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 308, 0, 0, 1.036, 1.036, 11264, 0, 1.036, 3.12, 2.084, 1720, 3.12, 4.045, 0.925, 8192, 0, 4.045, 5.986, 1.941, 1200, 5.986, 6.841, 0.855, 10240, 0,     6.841,
 1, 308, 1, 1, 2.159, 1.159, 12288, 0, 2.159, 4.497, 2.338, 1929, 4.497, 5.527, 1.03, 9216, 0, 5.527, 7.723, 2.196, 1350, 7.723, 8.754, 1.031, 12288, 0,     7.754,
 2, 308, 2, 2, 3.276, 1.276, 12288, 0, 3.276, 5.558, 2.282, 1883, 5.558, 6.587, 1.03, 9216, 0, 6.587, 8.772, 2.184, 1350, 8.772, 9.798, 1.026, 12288, 0,     7.798,
 3, 308, 3, 3, 4.395, 1.395, 12288, 0, 4.395, 6.693, 2.298, 1813, 6.693, 7.723, 1.03, 9216, 0, 7.723, 9.909, 2.186, 1350, 9.909, 10.935, 1.026, 12288, 0,     7.935,
 4, 308, 4, 4, 5.512, 1.512, 12288, 0, 5.512, 7.905, 2.393, 1928, 7.905, 8.935, 1.03, 9216, 0, 8.935, 11.12, 2.185, 1350, 11.12, 12.146, 1.026, 12288, 0,     8.146,
 5, 308, 5, 5, 6.355, 1.355, 9216, 0, 6.355, 8.346, 1.992, 1365, 8.346, 9.618, 1.271, 6144, 0, 9.618, 11.371, 1.754, 900, 11.371, 12.83, 1.459, 8192, 0,     7.830,
 6, 308, 6, 6, 7.565, 1.565, 13312, 0, 7.565, 10.289, 2.725, 1968, 10.289, 11.319, 1.03, 9216, 0, 11.319, 13.498, 2.179, 1350, 13.498, 14.524, 1.026, 12288, 0,     8.524,
 7, 308, 7, 7, 8.688, 1.688, 12288, 0, 8.688, 11.015, 2.327, 1910, 11.015, 12.349, 1.335, 9216, 0, 12.349, 14.539, 2.19, 1350, 14.539, 15.565, 1.026, 12288, 0,     8.565,
 8, 308, 8, 8, 9.805, 1.805, 12288, 0, 9.805, 12.529, 2.724, 1836, 12.529, 13.559, 1.03, 9216, 0, 13.559, 15.732, 2.174, 1350, 15.732, 16.762, 1.03, 12288, 0,     8.762,
 9, 308, 9, 9, 11.015, 2.015, 13312, 0, 11.015, 13.417, 2.402, 1969, 13.417, 14.583, 1.166, 9216, 0, 14.583, 16.767, 2.184, 1350, 16.767, 17.793, 1.026, 12288, 0,     8.793,
 10, 308, 10, 10, 11.852, 1.852, 9216, 0, 11.852, 14.242, 2.39, 1414, 14.242, 15.386, 1.144, 7168, 0, 15.386, 17.433, 2.047, 1050, 17.433, 18.561, 1.128, 9216, 0,     8.561,
 11, 308, 11, 11, 13.062, 2.062, 13312, 0, 13.062, 15.809, 2.747, 1974, 15.809, 16.841, 1.032, 9216, 0, 16.841, 19.036, 2.195, 1350, 19.036, 20.062, 1.026, 12288, 0,     9.062,
 12, 308, 12, 12, 13.993, 1.993, 10240, 0, 13.993, 16.162, 2.169, 1578, 16.162, 17.638, 1.476, 7168, 0, 17.638, 19.332, 1.694, 1050, 19.332, 20.829, 1.498, 9216, 0,     8.829,
