atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,8,859,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,8,0
1.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,10,1027,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,10,0
2.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,10,1005,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,10,0
3.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,8,865,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,8,0
4.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,8,837,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,8,0
5.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,10,1087,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,10,0
6.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,10,1059,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,10,0
7.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,11,1182,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,11,0
8.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,11,1121,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,11,0
9.0,sfc-ingress2egress2_psfc1,Ingress2,0,0,Ingress2-sfc-ingress2egress2_psfc1SF-A,sfc-ingress2egress2_psfc1SF-A,9,972,sfc-ingress2egress2_psfc1SF-A-Egress2,Egress2,9,0
