time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2216,11,SF-C,1650,14,Egress52,1000.0
1.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2051,10,SF-C,1500,13,Egress52,1000.0
2.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2049,10,SF-C,1500,13,Egress52,1000.0
3.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1603,8,SF-C,1200,10,Egress52,1000.0
4.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2129,10,SF-C,1500,13,Egress52,1000.0
5.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1918,9,SF-C,1350,12,Egress52,1000.0
6.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1567,7,SF-C,1050,9,Egress52,1000.0
7.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1603,8,SF-C,1200,10,Egress52,1000.0
8.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2306,11,SF-C,1650,14,Egress52,1000.0
9.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1639,8,SF-C,1200,10,Egress52,1000.0
10.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1892,9,SF-C,1350,12,Egress52,1000.0
11.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1863,9,SF-C,1350,12,Egress52,1000.0
12.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1858,9,SF-C,1350,12,Egress52,1000.0
13.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1794,8,SF-C,1200,10,Egress52,1000.0
14.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1638,8,SF-C,1200,10,Egress52,1000.0
15.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1695,8,SF-C,1200,10,Egress52,1000.0
16.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1588,7,SF-C,1050,9,Egress52,1000.0
17.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1949,9,SF-C,1350,12,Egress52,1000.0
18.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1707,8,SF-C,1200,10,Egress52,1000.0
19.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2234,11,SF-C,1650,14,Egress52,1000.0
20.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1595,7,SF-C,1050,9,Egress52,1000.0
21.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1615,8,SF-C,1200,10,Egress52,1000.0
22.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2079,10,SF-C,1500,13,Egress52,1000.0
23.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1894,9,SF-C,1350,12,Egress52,1000.0
24.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1972,9,SF-C,1350,12,Egress52,1000.0
25.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2271,11,SF-C,1650,14,Egress52,1000.0
26.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2025,10,SF-C,1500,13,Egress52,1000.0
27.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2008,10,SF-C,1500,13,Egress52,1000.0
28.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1749,8,SF-C,1200,10,Egress52,1000.0
29.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1998,9,SF-C,1350,12,Egress52,1000.0
30.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1765,8,SF-C,1200,10,Egress52,1000.0
31.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1625,8,SF-C,1200,10,Egress52,1000.0
32.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2154,10,SF-C,1500,13,Egress52,1000.0
33.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1676,8,SF-C,1200,10,Egress52,1000.0
34.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1618,8,SF-C,1200,10,Egress52,1000.0
35.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2235,11,SF-C,1650,14,Egress52,1000.0
36.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2219,11,SF-C,1650,14,Egress52,1000.0
37.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2023,10,SF-C,1500,13,Egress52,1000.0
38.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2132,10,SF-C,1500,13,Egress52,1000.0
39.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2235,11,SF-C,1650,14,Egress52,1000.0
40.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1595,7,SF-C,1050,9,Egress52,1000.0
41.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2034,10,SF-C,1500,13,Egress52,1000.0
42.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2158,10,SF-C,1500,13,Egress52,1000.0
43.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1640,8,SF-C,1200,10,Egress52,1000.0
44.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2193,10,SF-C,1500,13,Egress52,1000.0
45.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1733,8,SF-C,1200,10,Egress52,1000.0
46.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1604,8,SF-C,1200,10,Egress52,1000.0
47.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2026,10,SF-C,1500,13,Egress52,1000.0
48.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2298,11,SF-C,1650,14,Egress52,1000.0
49.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1628,8,SF-C,1200,10,Egress52,1000.0
50.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2128,10,SF-C,1500,13,Egress52,1000.0
51.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2110,10,SF-C,1500,13,Egress52,1000.0
52.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2022,10,SF-C,1500,13,Egress52,1000.0
53.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1787,8,SF-C,1200,10,Egress52,1000.0
54.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1831,9,SF-C,1350,12,Egress52,1000.0
55.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2251,11,SF-C,1650,14,Egress52,1000.0
56.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2317,11,SF-C,1650,14,Egress52,1000.0
57.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1820,9,SF-C,1350,12,Egress52,1000.0
58.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1833,9,SF-C,1350,12,Egress52,1000.0
59.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1784,8,SF-C,1200,10,Egress52,1000.0
60.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2332,11,SF-C,1650,14,Egress52,1000.0
61.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1859,9,SF-C,1350,12,Egress52,1000.0
62.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2238,11,SF-C,1650,14,Egress52,1000.0
63.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1895,9,SF-C,1350,12,Egress52,1000.0
64.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1999,9,SF-C,1350,12,Egress52,1000.0
65.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2197,10,SF-C,1500,13,Egress52,1000.0
66.0,sfc-ingress52egress52,Ingress52,10,10,SF-B,1612,8,SF-C,1200,10,Egress52,1000.0
67.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1967,9,SF-C,1350,12,Egress52,1000.0
68.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1999,9,SF-C,1350,12,Egress52,1000.0
69.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,1959,9,SF-C,1350,12,Egress52,1000.0
70.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1773,8,SF-C,1200,10,Egress52,1000.0
71.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1717,8,SF-C,1200,10,Egress52,1000.0
72.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2228,11,SF-C,1650,14,Egress52,1000.0
73.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2178,10,SF-C,1500,13,Egress52,1000.0
74.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2070,10,SF-C,1500,13,Egress52,1000.0
75.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2269,11,SF-C,1650,14,Egress52,1000.0
76.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1818,9,SF-C,1350,12,Egress52,1000.0
77.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1806,9,SF-C,1350,12,Egress52,1000.0
78.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2332,11,SF-C,1650,14,Egress52,1000.0
79.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1833,9,SF-C,1350,12,Egress52,1000.0
80.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2095,10,SF-C,1500,13,Egress52,1000.0
81.0,sfc-ingress52egress52,Ingress52,11,11,SF-B,1691,8,SF-C,1200,10,Egress52,1000.0
82.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2055,10,SF-C,1500,13,Egress52,1000.0
83.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1904,9,SF-C,1350,12,Egress52,1000.0
84.0,sfc-ingress52egress52,Ingress52,14,14,SF-B,2125,10,SF-C,1500,13,Egress52,1000.0
85.0,sfc-ingress52egress52,Ingress52,13,13,SF-B,2038,10,SF-C,1500,13,Egress52,1000.0
86.0,sfc-ingress52egress52,Ingress52,12,12,SF-B,1934,9,SF-C,1350,12,Egress52,1000.0
87.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2327,11,SF-C,1650,14,Egress52,1000.0
88.0,sfc-ingress52egress52,Ingress52,15,15,SF-B,2252,11,SF-C,1650,14,Egress52,1000.0
