atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToEgress, EgressNode, Packet_To_Egress3(MB), WorkloadOnEgress(0)
0.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,16,2485,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,12,1800,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,16,0
1.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,17,2593,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,12,1800,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,16,0
2.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2179,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
3.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,13,2051,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
4.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,13,2041,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
5.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,16,2401,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,12,1800,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,16,0
6.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,13,2048,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
7.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,15,2384,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,11,1650,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,14,0
8.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,17,2655,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,13,1950,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,17,0
9.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,16,2446,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,12,1800,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,16,0
10.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,12,1857,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,9,1350,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,12,0
11.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,12,1886,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,9,1350,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,12,0
12.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2197,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
13.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2110,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
14.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2155,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
15.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2132,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,10,1500,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,13,0
16.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,16,2496,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,12,1800,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,16,0
17.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,12,1919,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,9,1350,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,12,0
18.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,13,1994,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,9,1350,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,12,0
19.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,14,2207,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,11,1650,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,14,0
20.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,15,2279,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,11,1650,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,14,0
21.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-B,sfc-ingress53egress53_psfc1SF-B,12,1903,sfc-ingress53egress53_psfc1SF-B-sfc-ingress53egress53_psfc1SF-C,sfc-ingress53egress53_psfc1SF-C,9,1350,sfc-ingress53egress53_psfc1SF-C-Egress53,Egress53,12,0
