Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 88, 0, 0, 1.123, 1.123, 13312, 0, 1.123, 3.348, 2.225, 1336, 3.348, 4.374, 1.026, 13312, 0, 4.374, 6.539, 2.164, 1950, 6.539, 7.461, 0.922, 9216, 0, 7.461, 9.466, 2.006, 1350, 9.466, 10.416, 0.95, 12288, 0,    10.416,
 1, 88, 1, 1, 1.976, 0.976, 10240, 0, 1.976, 3.717, 1.741, 1041, 3.717, 5.162, 1.445, 10240, 0, 5.162, 6.83, 1.667, 1500, 6.83, 8.183, 1.353, 7168, 0, 8.183, 9.731, 1.548, 1050, 9.731, 11.13, 1.399, 9216, 0,    10.130,
 2, 88, 2, 2, 3.03, 1.03, 12288, 0, 3.03, 5.498, 2.468, 1290, 5.498, 6.445, 0.947, 12288, 0, 6.445, 8.538, 2.093, 1800, 8.538, 9.466, 0.928, 9216, 0, 9.466, 11.472, 2.006, 1350, 11.472, 12.423, 0.951, 12288, 0,    10.423,
 3, 88, 3, 3, 3.883, 0.883, 10240, 0, 3.883, 5.588, 1.705, 1022, 5.588, 7.233, 1.645, 10240, 0, 7.233, 8.909, 1.676, 1500, 8.909, 10.183, 1.274, 7168, 0, 10.183, 11.74, 1.557, 1050, 11.74, 13.132, 1.392, 9216, 0,    10.132,
 4, 88, 4, 4, 5.035, 1.035, 12288, 0, 5.035, 7.578, 2.543, 1243, 7.578, 8.526, 0.947, 12288, 0, 8.526, 10.54, 2.015, 1800, 10.54, 11.462, 0.922, 9216, 0, 11.462, 13.483, 2.021, 1350, 13.483, 14.429, 0.945, 12288, 0,    10.429,
 5, 88, 5, 5, 5.894, 0.894, 10240, 0, 5.894, 7.722, 1.829, 1098, 7.722, 9.313, 1.591, 10240, 0, 9.313, 10.988, 1.674, 1500, 10.988, 12.179, 1.191, 7168, 0, 12.179, 13.735, 1.556, 1050, 13.735, 15.142, 1.407, 9216, 0,    10.142,
 6, 88, 6, 6, 6.859, 0.859, 10240, 0, 6.859, 9.359, 2.5, 1069, 9.359, 10.148, 0.79, 10240, 0, 10.148, 12.206, 2.058, 1500, 12.206, 12.927, 0.72, 7168, 0, 12.927, 15.038, 2.111, 1050, 15.038, 15.853, 0.816, 9216, 0,     9.853,
 7, 88, 7, 7, 8.04, 1.04, 12288, 0, 8.04, 10.183, 2.144, 1286, 10.183, 11.132, 0.948, 12288, 0, 11.132, 13.133, 2.001, 1800, 13.133, 14.054, 0.922, 9216, 0, 14.054, 16.053, 1.999, 1350, 16.053, 16.999, 0.945, 12288, 0,     9.999,
 8, 88, 8, 8, 8.893, 0.893, 10240, 0, 8.893, 11.084, 2.191, 1033, 11.084, 11.919, 0.835, 10240, 0, 11.919, 13.873, 1.953, 1500, 13.873, 14.771, 0.899, 7168, 0, 14.771, 16.592, 1.821, 1050, 16.592, 17.712, 1.12, 9216, 0,     9.712,
 9, 88, 9, 9, 10.03, 1.03, 12288, 0, 10.03, 12.294, 2.264, 1263, 12.294, 13.242, 0.947, 12288, 0, 13.242, 15.241, 1.999, 1800, 15.241, 16.164, 0.923, 9216, 0, 16.164, 18.155, 1.991, 1350, 18.155, 19.1, 0.945, 12288, 0,    10.100,
