Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 84, 0, 0, 1.03, 1.03, 12288, 0, 1.03, 3.053, 2.023, 1215, 3.053, 4.002, 0.949, 12288, 0,     4.002,
 1, 84, 1, 1, 1.883, 0.883, 10240, 0, 1.883, 3.699, 1.816, 1090, 3.699, 4.79, 1.091, 10240, 0,     3.790,
 2, 84, 2, 2, 3.201, 1.201, 14336, 0, 3.201, 5.546, 2.345, 1401, 5.546, 6.651, 1.105, 14336, 0,     4.651,
 3, 84, 3, 3, 4.31, 1.31, 13312, 0, 4.31, 6.612, 2.302, 1379, 6.612, 7.684, 1.071, 13312, 0,     4.684,
 4, 84, 4, 4, 5.163, 1.163, 10240, 0, 5.163, 7.355, 2.192, 1077, 7.355, 8.471, 1.117, 10240, 0,     4.471,
 5, 84, 5, 5, 6.192, 1.192, 12288, 0, 6.192, 8.767, 2.575, 1293, 8.767, 9.721, 0.953, 12288, 0,     4.721,
 6, 84, 6, 6, 6.962, 0.962, 9216, 0, 6.962, 8.996, 2.034, 975, 8.996, 10.43, 1.433, 9216, 0,     4.430,
 7, 84, 7, 7, 7.859, 0.859, 10240, 0, 7.859, 10.56, 2.701, 1074, 10.56, 11.35, 0.79, 10240, 0,     4.350,
 8, 84, 8, 8, 9.04, 1.04, 12288, 0, 9.04, 11.166, 2.126, 1279, 11.166, 12.296, 1.13, 12288, 0,     4.296,
 9, 84, 9, 9, 10.15, 1.15, 13312, 0, 10.15, 12.753, 2.603, 1314, 12.753, 13.779, 1.025, 13312, 0,     4.779,
 10, 84, 10, 10, 11.004, 1.004, 10240, 0, 11.004, 12.965, 1.961, 1075, 12.965, 14.567, 1.602, 10240, 0,     4.567,
 11, 84, 11, 11, 12.04, 1.04, 12288, 0, 12.04, 14.797, 2.757, 1224, 14.797, 15.745, 0.948, 12288, 0,     4.745,
 12, 84, 12, 12, 13.065, 1.065, 12288, 0, 13.065, 15.173, 2.108, 1268, 15.173, 16.691, 1.518, 12288, 0,     4.691,
 13, 84, 13, 13, 13.835, 0.835, 9216, 0, 13.835, 16.447, 2.612, 988, 16.447, 17.409, 0.962, 9216, 0,     4.409,
 14, 84, 14, 14, 15.03, 1.03, 12288, 0, 15.03, 17.184, 2.154, 1206, 17.184, 18.359, 1.175, 12288, 0,     4.359,
 15, 84, 15, 15, 16.225, 1.225, 14336, 0, 16.225, 18.806, 2.582, 1412, 18.806, 19.918, 1.111, 14336, 0,     4.918,
 16, 84, 16, 16, 17.164, 1.164, 11264, 0, 17.164, 19.162, 1.998, 1185, 19.162, 20.794, 1.632, 11264, 0,     4.794,
 17, 84, 17, 17, 18.017, 1.017, 10240, 0, 18.017, 20.583, 2.566, 1067, 20.583, 21.591, 1.008, 10240, 0,     4.591,
 18, 84, 18, 18, 18.956, 0.956, 11264, 0, 18.956, 21.161, 2.205, 1199, 21.161, 22.457, 1.296, 11264, 0,     4.457,
 19, 84, 19, 19, 20.201, 1.201, 14336, 0, 20.201, 22.942, 2.741, 1416, 22.942, 24.052, 1.11, 14336, 0,     5.052,
