Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 87, 0, 0, 1.026, 1.026, 13312, 0, 1.026, 3.137, 2.111, 2056, 3.137, 4.167, 1.03, 10240, 0, 4.167, 6.218, 2.051, 1500, 6.218, 7.171, 0.953, 13312, 0,     7.171,
 1, 87, 1, 1, 1.899, 0.899, 11264, 0, 1.899, 3.616, 1.717, 1675, 3.616, 4.996, 1.379, 8192, 0, 4.996, 6.637, 1.641, 1200, 6.637, 7.902, 1.265, 10240, 0,     6.902,
 2, 87, 2, 2, 2.947, 0.947, 12288, 0, 2.947, 5.073, 2.126, 1874, 5.073, 6.001, 0.928, 9216, 0, 6.001, 8.069, 2.069, 1350, 8.069, 8.949, 0.88, 12288, 0,     6.949,
 3, 87, 3, 3, 4.026, 1.026, 13312, 0, 4.026, 6.155, 2.129, 2077, 6.155, 7.185, 1.03, 10240, 0, 7.185, 9.238, 2.053, 1500, 9.238, 10.195, 0.957, 13312, 0,     7.195,
 4, 87, 4, 4, 5.135, 1.135, 14336, 0, 5.135, 7.35, 2.215, 2147, 7.35, 8.38, 1.03, 10240, 0, 8.38, 10.431, 2.051, 1500, 10.431, 11.39, 0.959, 13312, 0,     7.390,
 5, 87, 5, 5, 6.168, 1.168, 13312, 0, 6.168, 8.22, 2.052, 2002, 8.22, 9.404, 1.184, 10240, 0, 9.404, 11.462, 2.058, 1500, 11.462, 12.415, 0.953, 13312, 0,     7.415,
 6, 87, 6, 6, 6.958, 0.958, 10240, 0, 6.958, 9.044, 2.086, 1640, 9.044, 10.223, 1.18, 8192, 0, 10.223, 12.074, 1.851, 1200, 12.074, 13.147, 1.072, 10240, 0,     7.147,
 7, 87, 7, 7, 7.952, 0.952, 12288, 0, 7.952, 10.144, 2.192, 1877, 10.144, 11.153, 1.009, 9216, 0, 11.153, 13.308, 2.155, 1350, 13.308, 14.195, 0.887, 12288, 0,     7.195,
 8, 87, 8, 8, 8.947, 0.947, 12288, 0, 8.947, 11.02, 2.073, 1910, 11.02, 12.074, 1.054, 9216, 0, 12.074, 13.92, 1.846, 1350, 13.92, 15.072, 1.152, 12288, 0,     7.072,
 9, 87, 9, 9, 10.193, 1.193, 15360, 0, 10.193, 12.548, 2.355, 2297, 12.548, 13.687, 1.139, 11264, 0, 13.687, 15.949, 2.262, 1650, 15.949, 16.981, 1.032, 14336, 0,     7.981,
 10, 87, 10, 10, 11.06, 1.06, 11264, 0, 11.06, 12.902, 1.842, 1797, 12.902, 14.506, 1.604, 8192, 0, 14.506, 16.15, 1.644, 1200, 16.15, 17.72, 1.57, 10240, 0,     7.720,
 11, 87, 11, 11, 11.853, 0.853, 10240, 0, 11.853, 14.176, 2.323, 1588, 14.176, 15.223, 1.047, 7168, 0, 15.223, 17.385, 2.162, 1050, 17.385, 18.378, 0.994, 9216, 0,     7.378,
 12, 87, 12, 12, 12.79, 0.79, 10240, 0, 12.79, 14.501, 1.712, 1560, 14.501, 15.939, 1.438, 7168, 0, 15.939, 17.596, 1.656, 1050, 17.596, 19.037, 1.441, 9216, 0,     7.037,
 13, 87, 13, 13, 13.947, 0.947, 12288, 0, 13.947, 16.092, 2.145, 1869, 16.092, 17.02, 0.928, 9216, 0, 17.02, 19.23, 2.21, 1350, 19.23, 20.11, 0.88, 12288, 0,     7.110,
 14, 87, 14, 14, 14.947, 0.947, 12288, 0, 14.947, 16.875, 1.927, 1880, 16.875, 17.942, 1.067, 9216, 0, 17.942, 19.788, 1.846, 1350, 19.788, 20.988, 1.2, 12288, 0,     6.988,
 15, 87, 15, 15, 15.868, 0.868, 11264, 0, 15.868, 17.929, 2.061, 1786, 17.929, 18.761, 0.831, 8192, 0, 18.761, 20.872, 2.111, 1200, 20.872, 21.723, 0.851, 10240, 0,     6.723,
