Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 159, 0, 0, 1.507, 1.507, 17408, 0, 1.507, 4.126, 2.619, 1737, 4.126, 5.41, 1.284, 17408, 0, 5.41, 9.64, 4.23, 2550, 9.64, 11.013, 1.373, 12288, 0, 11.013, 13.08, 2.067, 1800, 13.08, 14.255, 1.175, 16384, 0,    14.255,
 1, 159, 1, 1, 2.524, 1.524, 13312, 0, 2.524, 4.883, 2.36, 1383, 4.883, 6.535, 1.652, 13312, 0, 6.535, 9.893, 3.358, 1950, 9.893, 12.071, 2.178, 9216, 0, 12.071, 13.595, 1.524, 1350, 13.595, 15.065, 1.47, 12288, 0,    14.065,
 2, 159, 2, 2, 3.415, 1.415, 12288, 0, 3.415, 6.322, 2.907, 1229, 6.322, 7.692, 1.371, 12288, 0, 7.692, 10.921, 3.229, 1800, 10.921, 12.913, 1.991, 9216, 0, 12.913, 14.675, 1.762, 1350, 14.675, 16.037, 1.362, 12288, 0,    14.037,
 4, 159, 4, 4, 5.437, 1.437, 12288, 0, 5.437, 8.128, 2.691, 1273, 8.128, 9.525, 1.397, 12288, 0, 9.525, 13.104, 3.579, 1800, 13.104, 14.179, 1.074, 9216, 0, 14.179, 16.047, 1.868, 1350, 16.047, 16.912, 0.865, 12288, 0,    12.912,
 3, 159, 3, 3, 4.495, 1.495, 15360, 0, 4.495, 7.407, 2.912, 1536, 7.407, 8.778, 1.371, 15360, 0, 8.778, 13.51, 4.732, 2250, 13.51, 15.644, 2.133, 11264, 0, 15.644, 17.863, 2.219, 1650, 17.863, 18.785, 0.922, 14336, 0,    15.785,
 5, 159, 5, 5, 6.42, 1.42, 12288, 0, 6.42, 9.538, 3.118, 1287, 9.538, 10.25, 0.713, 12288, 0, 10.25, 13.883, 3.632, 1800, 13.883, 16.572, 2.689, 9216, 0, 16.572, 18.215, 1.643, 1350, 18.215, 19.587, 1.372, 12288, 0,    14.587,
 6, 159, 6, 6, 7.634, 1.634, 14336, 0, 7.634, 11.242, 3.609, 1490, 11.242, 12.178, 0.936, 14336, 0, 12.178, 16.333, 4.155, 2100, 16.333, 17.597, 1.264, 10240, 0, 17.597, 19.545, 1.948, 1500, 19.545, 20.608, 1.062, 13312, 0,    14.608,
 7, 159, 7, 7, 8.625, 1.625, 14336, 0, 8.625, 12.324, 3.699, 1494, 12.324, 13.271, 0.947, 14336, 0, 13.271, 16.677, 3.406, 2100, 16.677, 18.701, 2.024, 10240, 0, 18.701, 20.668, 1.967, 1500, 20.668, 21.519, 0.851, 13312, 0,    14.519,
 8, 159, 8, 8, 9.823, 1.823, 16384, 0, 9.823, 13.595, 3.772, 1687, 13.595, 14.739, 1.143, 16384, 0, 14.739, 18.167, 3.428, 2400, 18.167, 19.783, 1.616, 12288, 0, 19.783, 22.485, 2.702, 1800, 22.485, 23.649, 1.164, 16384, 0,    15.649,
 9, 159, 9, 9, 11.123, 2.123, 13312, 0, 11.123, 14.161, 3.037, 1319, 14.161, 15.634, 1.473, 13312, 0, 15.634, 18.922, 3.289, 1950, 18.922, 20.787, 1.865, 9216, 0, 20.787, 22.708, 1.92, 1350, 22.708, 24.356, 1.649, 12288, 0,    15.356,
 10, 159, 10, 10, 11.996, 1.996, 13312, 0, 11.996, 15.373, 3.377, 1338, 15.373, 16.562, 1.188, 13312, 0, 16.562, 19.26, 2.698, 1950, 19.26, 21.965, 2.704, 9216, 0, 21.965, 24.228, 2.264, 1350, 24.228, 25.268, 1.039, 12288, 0,    15.268,
 11, 159, 11, 11, 13.068, 2.068, 16384, 0, 13.068, 16.162, 3.094, 1633, 16.162, 17.553, 1.391, 16384, 0, 17.553, 21.271, 3.718, 2400, 21.271, 23.041, 1.77, 12288, 0, 23.041, 25.78, 2.739, 1800, 25.78, 26.82, 1.039, 16384, 0,    15.820,
 12, 159, 12, 12, 13.894, 1.894, 13312, 0, 13.894, 17.377, 3.483, 1317, 17.377, 18.341, 0.964, 13312, 0, 18.341, 21.521, 3.18, 1950, 21.521, 24.017, 2.496, 9216, 0, 24.017, 26.436, 2.419, 1350, 26.436, 27.599, 1.163, 12288, 0,    15.599,
 15, 159, 15, 15, 17.627, 2.627, 13312, 0, 17.627, 21.271, 3.644, 1377, 21.271, 22.343, 1.072, 13312, 0, 22.343, 25.532, 3.189, 1950, 25.532, 26.257, 0.725, 9216, 0, 26.257, 28.581, 2.324, 1350, 28.581, 29.327, 0.746, 12288, 0,    14.327,
