atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,17,1792,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,17,0
1.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,13,1367,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,13,0
2.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,14,1423,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,14,0
3.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,15,1587,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,15,0
4.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,15,1543,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,15,0
5.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,12,1282,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,12,0
6.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,16,1683,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,16,0
7.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,12,1288,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,12,0
8.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,17,1768,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,17,0
9.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,14,1470,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,14,0
10.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,14,1457,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,14,0
11.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,15,1557,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,15,0
12.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,16,1684,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,16,0
13.0,sfc-ingress25egress25_psfc1,Ingress25,0,0,Ingress25-sfc-ingress25egress25_psfc1SF-A,sfc-ingress25egress25_psfc1SF-A,15,1595,sfc-ingress25egress25_psfc1SF-A-Egress25,Egress25,15,0
