Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 214, 0, 0, 1.199, 1.199, 13312, 0, 1.199, 4.136, 2.937, 2097, 4.136, 5.056, 0.92, 10240, 0, 5.056, 7.096, 2.04, 1500, 7.096, 8.177, 1.081, 13312, 0,     8.177,
 1, 214, 1, 1, 2.249, 1.249, 14336, 0, 2.249, 5.245, 2.997, 2223, 5.245, 6.308, 1.063, 11264, 0, 6.308, 8.666, 2.357, 1650, 8.666, 9.586, 0.92, 14336, 0,     8.586,
 2, 214, 2, 2, 3.312, 1.312, 13312, 0, 3.312, 6.135, 2.823, 2099, 6.135, 7.099, 0.964, 10240, 0, 7.099, 9.2, 2.1, 1500, 9.2, 10.37, 1.17, 13312, 0,     8.370,
 3, 214, 3, 3, 4.571, 1.571, 15360, 0, 4.571, 7.736, 3.165, 2300, 7.736, 8.79, 1.054, 11264, 0, 8.79, 10.965, 2.175, 1650, 10.965, 11.839, 0.874, 14336, 0,     8.839,
 4, 214, 4, 4, 5.551, 1.551, 14336, 0, 5.551, 8.441, 2.89, 2115, 8.441, 10.034, 1.592, 10240, 0, 10.034, 12.459, 2.425, 1500, 12.459, 13.652, 1.193, 13312, 0,     9.652,
 5, 214, 5, 5, 6.401, 1.401, 12288, 0, 6.401, 8.865, 2.464, 1817, 8.865, 11.01, 2.145, 9216, 0, 11.01, 12.908, 1.898, 1350, 12.908, 14.61, 1.703, 12288, 0,     9.610,
 7, 214, 7, 7, 8.338, 1.338, 12288, 0, 8.338, 10.848, 2.51, 1901, 10.848, 11.816, 0.969, 9216, 0, 11.816, 14.028, 2.211, 1350, 14.028, 15.374, 1.346, 12288, 0,     8.374,
 6, 214, 6, 6, 7.527, 1.527, 16384, 0, 7.527, 10.875, 3.348, 2451, 10.875, 12.972, 2.097, 12288, 0, 12.972, 15.059, 2.087, 1800, 15.059, 16.33, 1.271, 16384, 0,    10.330,
 8, 214, 8, 8, 9.409, 1.409, 16384, 0, 9.409, 12.76, 3.35, 2519, 12.76, 14.223, 1.463, 12288, 0, 14.223, 16.191, 1.968, 1800, 16.191, 17.577, 1.386, 16384, 0,     9.577,
 9, 214, 9, 9, 10.436, 1.436, 13312, 0, 10.436, 13.568, 3.132, 1977, 13.568, 15.006, 1.438, 9216, 0, 15.006, 16.568, 1.562, 1350, 16.568, 18.408, 1.841, 12288, 0,     9.408,
 10, 214, 10, 10, 11.678, 1.678, 17408, 0, 11.678, 15.423, 3.746, 2662, 15.423, 16.482, 1.058, 13312, 0, 16.482, 18.707, 2.225, 1950, 18.707, 20.452, 1.745, 17408, 0,    10.452,
 11, 214, 11, 11, 12.575, 1.575, 13312, 0, 12.575, 15.709, 3.134, 2076, 15.709, 17.372, 1.664, 10240, 0, 17.372, 19.003, 1.63, 1500, 19.003, 21.404, 2.401, 13312, 0,    10.404,
 12, 214, 12, 12, 13.446, 1.446, 13312, 0, 13.446, 16.446, 3, 2048, 16.446, 18.36, 1.914, 10240, 0, 18.36, 20.951, 2.591, 1500, 20.951, 22.582, 1.631, 13312, 0,    10.582,
 14, 214, 14, 14, 15.466, 1.466, 14336, 0, 15.466, 18.558, 3.092, 2141, 18.558, 19.444, 0.886, 10240, 0, 19.444, 21.747, 2.303, 1500, 21.747, 23.619, 1.872, 13312, 0,     9.619,
 13, 214, 13, 13, 14.539, 1.539, 17408, 0, 14.539, 18.885, 4.346, 2575, 18.885, 20.556, 1.67, 12288, 0, 20.556, 23.443, 2.887, 1800, 23.443, 24.955, 1.512, 16384, 0,    11.955,
 15, 214, 15, 15, 16.456, 1.456, 13312, 0, 16.456, 19.107, 2.652, 1983, 19.107, 21.351, 2.244, 9216, 0, 21.351, 23.638, 2.288, 1350, 23.638, 26.002, 2.364, 12288, 0,    11.002,
 16, 214, 16, 16, 17.479, 1.479, 14336, 0, 17.479, 21.741, 4.263, 2106, 21.741, 22.966, 1.225, 10240, 0, 22.966, 25.188, 2.223, 1500, 25.188, 27.16, 1.971, 13312, 0,    11.160,
