Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 202, 0, 0, 1.094, 1.094, 16384, 0, 1.094, 4.449, 3.355, 2517, 4.449, 5.479, 1.03, 12288, 0, 5.479, 7.616, 2.137, 1800, 7.616, 8.647, 1.031, 16384, 0,     8.647,
 1, 202, 1, 1, 2.255, 1.255, 17408, 0, 2.255, 5.764, 3.509, 2632, 5.764, 6.879, 1.115, 13312, 0, 6.879, 9.19, 2.311, 1950, 9.19, 10.283, 1.093, 17408, 0,     9.283,
 2, 202, 2, 2, 3.148, 1.148, 13312, 0, 3.148, 5.839, 2.691, 2006, 5.839, 7.733, 1.893, 10240, 0, 7.733, 12.599, 4.866, 1500, 12.599, 13.431, 0.833, 13312, 0,    11.431,
 3, 202, 3, 3, 4.18, 1.18, 15360, 0, 4.18, 7.639, 3.459, 2392, 7.639, 8.671, 1.032, 11264, 0, 8.671, 14.229, 5.557, 1650, 14.229, 15.124, 0.896, 14336, 0,    12.124,
 4, 202, 4, 4, 5.343, 1.343, 17408, 0, 5.343, 9.304, 3.961, 2656, 9.304, 10.421, 1.116, 13312, 0, 10.421, 14.914, 4.493, 1950, 14.914, 16.222, 1.308, 17408, 0,    12.222,
 5, 202, 5, 5, 6.504, 1.504, 17408, 0, 6.504, 10.09, 3.587, 2682, 10.09, 11.53, 1.44, 13312, 0, 11.53, 16.551, 5.021, 1950, 16.551, 17.645, 1.094, 17408, 0,    12.645,
 6, 202, 6, 6, 7.528, 1.528, 15360, 0, 7.528, 10.768, 3.24, 2347, 10.768, 12.469, 1.701, 11264, 0, 12.469, 16.876, 4.408, 1650, 16.876, 18.544, 1.668, 14336, 0,    12.544,
 7, 202, 7, 7, 8.347, 1.347, 12288, 0, 8.347, 11.877, 3.53, 1930, 11.877, 13.245, 1.368, 9216, 0, 13.245, 18.151, 4.906, 1350, 18.151, 19.312, 1.161, 12288, 0,    12.312,
 8, 202, 8, 8, 9.304, 1.304, 14336, 0, 9.304, 12.985, 3.681, 2172, 12.985, 14.098, 1.113, 10240, 0, 14.098, 18.665, 4.567, 1500, 18.665, 20.147, 1.483, 13312, 0,    12.147,
 9, 202, 9, 9, 10.397, 1.397, 16384, 0, 10.397, 14.094, 3.697, 2481, 14.094, 15.129, 1.035, 12288, 0, 15.129, 20.288, 5.159, 1800, 20.288, 21.312, 1.024, 16384, 0,    12.312,
 10, 202, 10, 10, 11.494, 1.494, 16384, 0, 11.494, 15.268, 3.773, 2544, 15.268, 16.298, 1.03, 12288, 0, 16.298, 27.179, 10.881, 1800, 27.179, 28.203, 1.024, 16384, 0,    18.203,
 11, 202, 11, 11, 12.518, 1.518, 15360, 0, 12.518, 16.14, 3.622, 2367, 16.14, 17.236, 1.097, 11264, 0, 17.236, 28.629, 11.393, 1650, 28.629, 29.53, 0.901, 14336, 0,    18.530,
 12, 202, 12, 12, 13.337, 1.337, 12288, 0, 13.337, 16.501, 3.163, 1806, 16.501, 18.004, 1.504, 9216, 0, 18.004, 28.785, 10.78, 1350, 28.785, 30.301, 1.516, 12288, 0,    18.301,
 13, 202, 13, 13, 14.156, 1.156, 12288, 0, 14.156, 17.698, 3.541, 1809, 17.698, 18.78, 1.082, 9216, 0, 18.78, 32.725, 13.945, 1350, 32.725, 33.493, 0.768, 12288, 0,    20.493,
 14, 202, 14, 14, 14.975, 0.975, 12288, 0, 14.975, 18.62, 3.645, 1861, 18.62, 19.548, 0.928, 9216, 0, 19.548, 32.884, 13.336, 1350, 32.884, 34.262, 1.378, 12288, 0,    20.262,
 16, 202, 16, 16, 16.991, 0.991, 12288, 0, 16.991, 20.195, 3.204, 1874, 20.195, 21.872, 1.677, 9216, 0, 21.872, 34.485, 12.613, 1350, 34.485, 35.259, 0.774, 12288, 0,    19.259,
 15, 202, 15, 15, 16.171, 1.171, 17408, 0, 16.171, 19.986, 3.815, 2611, 19.986, 21.104, 1.118, 13312, 0, 21.104, 35.038, 13.934, 1950, 35.038, 36.354, 1.316, 17408, 0,    21.354,
 17, 202, 17, 17, 17.958, 0.958, 14336, 0, 17.958, 21.44, 3.482, 2110, 21.44, 22.726, 1.286, 10240, 0, 22.726, 36.263, 13.538, 1500, 36.263, 37.186, 0.923, 13312, 0,    20.186,
 18, 202, 18, 18, 18.821, 0.821, 12288, 0, 18.821, 22.512, 3.69, 1895, 22.512, 23.494, 0.982, 9216, 0, 23.494, 36.639, 13.145, 1350, 36.639, 37.959, 1.32, 12288, 0,    19.959,
 19, 202, 19, 19, 19.827, 0.827, 12288, 0, 19.827, 22.779, 2.952, 1938, 22.779, 24.266, 1.487, 9216, 0, 24.266, 37.871, 13.605, 1350, 37.871, 38.727, 0.855, 12288, 0,    19.727,
