Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 218, 0, 0, 0.948, 0.948, 11264, 0, 0.948, 2.825, 1.878, 1125, 2.825, 3.694, 0.868, 11264, 0, 3.694, 5.527, 1.833, 1650, 5.527, 6.346, 0.819, 8192, 0, 6.346, 8.118, 1.772, 1200, 8.118, 8.906, 0.788, 10240, 0,     8.906,
 2, 218, 2, 2, 2.887, 0.887, 9216, 0, 2.887, 4.542, 1.655, 994, 4.542, 6.037, 1.496, 9216, 0, 6.037, 7.543, 1.506, 1350, 7.543, 9.046, 1.503, 6144, 0, 9.046, 10.374, 1.328, 900, 10.374, 11.008, 0.635, 8192, 0,     9.008,
 1, 218, 1, 1, 2.119, 1.119, 13312, 0, 2.119, 4.303, 2.184, 1308, 4.303, 5.329, 1.026, 13312, 0, 5.329, 7.503, 2.175, 1950, 7.503, 8.432, 0.928, 9216, 0, 8.432, 10.436, 2.004, 1350, 10.436, 11.954, 1.518, 12288, 0,    10.954,
 3, 218, 3, 3, 3.86, 0.86, 10240, 0, 3.86, 6.104, 2.243, 1080, 6.104, 6.893, 0.79, 10240, 0, 6.893, 9.173, 2.28, 1500, 9.173, 9.89, 0.717, 7168, 0, 9.89, 11.937, 2.048, 1050, 11.937, 12.663, 0.725, 9216, 0,     9.663,
 4, 218, 4, 4, 4.945, 0.945, 11264, 0, 4.945, 6.861, 1.916, 1149, 6.861, 7.76, 0.899, 11264, 0, 7.76, 9.594, 1.835, 1650, 9.594, 10.709, 1.115, 8192, 0, 10.709, 12.49, 1.781, 1200, 12.49, 13.45, 0.961, 10240, 0,     9.450,
 5, 218, 5, 5, 5.859, 0.859, 10240, 0, 5.859, 7.78, 1.92, 1003, 7.78, 8.569, 0.79, 10240, 0, 8.569, 10.839, 2.269, 1500, 10.839, 11.562, 0.724, 7168, 0, 11.562, 13.492, 1.929, 1050, 13.492, 14.206, 0.714, 9216, 0,     9.206,
 6, 218, 6, 6, 7.118, 1.118, 13312, 0, 7.118, 9.443, 2.326, 1394, 9.443, 10.47, 1.026, 13312, 0, 10.47, 12.639, 2.169, 1950, 12.639, 13.569, 0.93, 9216, 0, 13.569, 15.574, 2.006, 1350, 15.574, 16.52, 0.945, 12288, 0,    10.520,
 7, 218, 7, 7, 8.056, 1.056, 11264, 0, 8.056, 9.956, 1.9, 1143, 9.956, 11.338, 1.382, 11264, 0, 11.338, 13.171, 1.833, 1650, 13.171, 14.388, 1.217, 8192, 0, 14.388, 16.173, 1.785, 1200, 16.173, 17.312, 1.138, 10240, 0,    10.312,
 8, 218, 8, 8, 8.914, 0.914, 10240, 0, 8.914, 11.115, 2.202, 1004, 11.115, 12.134, 1.019, 10240, 0, 12.134, 14.311, 2.176, 1500, 14.311, 15.107, 0.797, 7168, 0, 15.107, 17.137, 2.03, 1050, 17.137, 18.024, 0.887, 9216, 0,    10.024,
 9, 218, 9, 9, 10.201, 1.201, 14336, 0, 10.201, 12.545, 2.345, 1409, 12.545, 13.65, 1.105, 14336, 0, 13.65, 15.989, 2.339, 2100, 15.989, 17.013, 1.024, 10240, 0, 17.013, 19.235, 2.223, 1500, 19.235, 20.267, 1.032, 13312, 0,    11.267,
 10, 218, 10, 10, 11.395, 1.395, 14336, 0, 11.395, 13.74, 2.344, 1406, 13.74, 14.847, 1.107, 14336, 0, 14.847, 17.177, 2.331, 2100, 17.177, 18.201, 1.024, 10240, 0, 18.201, 20.429, 2.227, 1500, 20.429, 21.457, 1.028, 13312, 0,    11.457,
 11, 218, 11, 11, 12.505, 1.505, 13312, 0, 12.505, 14.722, 2.217, 1302, 14.722, 15.872, 1.15, 13312, 0, 15.872, 18.158, 2.286, 1950, 18.158, 19.123, 0.965, 9216, 0, 19.123, 21.237, 2.114, 1350, 21.237, 22.402, 1.165, 12288, 0,    11.402,
 12, 218, 12, 12, 13.529, 1.529, 12288, 0, 13.529, 15.823, 2.294, 1250, 15.823, 16.818, 0.996, 12288, 0, 16.818, 19.186, 2.367, 1800, 19.186, 20.116, 0.931, 9216, 0, 20.116, 22.441, 2.325, 1350, 22.441, 23.386, 0.945, 12288, 0,    11.386,
 13, 218, 13, 13, 14.467, 1.467, 11264, 0, 14.467, 16.583, 2.116, 1117, 16.583, 17.685, 1.101, 11264, 0, 17.685, 20, 2.315, 1650, 20, 20.939, 0.939, 8192, 0, 20.939, 23.015, 2.076, 1200, 23.015, 24.177, 1.161, 10240, 0,    11.177,
 14, 218, 14, 14, 15.415, 1.415, 11264, 0, 15.415, 17.816, 2.401, 1197, 17.816, 18.685, 0.868, 11264, 0, 18.685, 21.027, 2.342, 1650, 21.027, 21.847, 0.82, 8192, 0, 21.847, 24.219, 2.372, 1200, 24.219, 25.012, 0.794, 10240, 0,    11.012,
 15, 218, 15, 15, 16.524, 1.524, 13312, 0, 16.524, 18.788, 2.264, 1324, 18.788, 19.814, 1.026, 13312, 0, 19.814, 22.168, 2.353, 1950, 22.168, 23.09, 0.922, 9216, 0, 23.09, 25.096, 2.006, 1350, 25.096, 26.041, 0.945, 12288, 0,    11.041,
 16, 218, 16, 16, 17.294, 1.294, 9216, 0, 17.294, 19.435, 2.141, 969, 19.435, 20.524, 1.089, 9216, 0, 20.524, 22.529, 2.005, 1350, 22.529, 23.704, 1.175, 6144, 0, 23.704, 25.552, 1.848, 900, 25.552, 26.675, 1.123, 8192, 0,    10.675,
 17, 218, 17, 17, 18.488, 1.488, 14336, 0, 18.488, 21.183, 2.695, 1435, 21.183, 22.292, 1.108, 14336, 0, 22.292, 24.619, 2.328, 2100, 24.619, 25.65, 1.031, 10240, 0, 25.65, 27.863, 2.213, 1500, 27.863, 28.887, 1.024, 13312, 0,    11.887,
