Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 184, 0, 0, 0.958, 0.958, 13312, 0, 0.958, 2.855, 1.898, 1321, 2.855, 3.745, 0.89, 13312, 0,     3.745,
 1, 184, 1, 1, 2.04, 1.04, 14336, 0, 2.04, 4.131, 2.091, 1464, 4.131, 5.089, 0.958, 14336, 0,     4.089,
 2, 184, 2, 2, 3.074, 1.074, 14336, 0, 3.074, 5.088, 2.015, 1407, 5.088, 6.047, 0.959, 14336, 0,     4.047,
 3, 184, 3, 3, 4.025, 1.025, 13312, 0, 4.025, 6.025, 2, 1320, 6.025, 6.943, 0.918, 13312, 0,     3.943,
 4, 184, 4, 4, 5.123, 1.123, 15360, 0, 5.123, 7.397, 2.274, 1590, 7.397, 8.423, 1.026, 15360, 0,     4.423,
 5, 184, 5, 5, 6.153, 1.153, 14336, 0, 6.153, 8.22, 2.067, 1441, 8.22, 9.379, 1.159, 14336, 0,     4.379,
 6, 184, 6, 6, 7.108, 1.108, 13312, 0, 7.108, 9.333, 2.226, 1351, 9.333, 10.273, 0.94, 13312, 0,     4.273,
 7, 184, 7, 7, 8.284, 1.284, 16384, 0, 8.284, 10.603, 2.32, 1618, 10.603, 11.7, 1.096, 16384, 0,     4.700,
 8, 184, 8, 8, 9.454, 1.454, 16384, 0, 9.454, 11.828, 2.374, 1662, 11.828, 12.923, 1.095, 16384, 0,     4.923,
 9, 184, 9, 9, 10.624, 1.624, 16384, 0, 10.624, 12.936, 2.312, 1616, 12.936, 14.031, 1.095, 16384, 0,     5.031,
 10, 184, 10, 10, 11.721, 1.721, 15360, 0, 11.721, 14.029, 2.307, 1538, 14.029, 15.055, 1.026, 15360, 0,     5.055,
 11, 184, 11, 11, 12.609, 1.609, 12288, 0, 12.609, 14.782, 2.173, 1287, 14.782, 15.882, 1.1, 12288, 0,     4.882,
 12, 184, 12, 12, 13.633, 1.633, 14336, 0, 13.633, 16.133, 2.5, 1467, 16.133, 17.094, 0.96, 14336, 0,     5.094,
 13, 184, 13, 13, 14.73, 1.73, 15360, 0, 14.73, 16.941, 2.21, 1512, 16.941, 18.12, 1.179, 15360, 0,     5.120,
 14, 184, 14, 14, 15.756, 1.756, 14336, 0, 15.756, 18.268, 2.511, 1489, 18.268, 19.225, 0.957, 14336, 0,     5.225,
 15, 184, 15, 15, 16.569, 1.569, 11264, 0, 16.569, 18.588, 2.019, 1151, 18.588, 19.976, 1.389, 11264, 0,     4.976,
 16, 184, 16, 16, 17.593, 1.593, 14336, 0, 17.593, 20.38, 2.787, 1479, 20.38, 21.337, 0.958, 14336, 0,     5.337,
 17, 184, 17, 17, 18.617, 1.617, 14336, 0, 18.617, 20.687, 2.07, 1455, 20.687, 22.294, 1.607, 14336, 0,     5.294,
 18, 184, 18, 18, 19.568, 1.568, 13312, 0, 19.568, 22.276, 2.709, 1326, 22.276, 23.187, 0.91, 13312, 0,     5.187,
 19, 184, 19, 19, 20.523, 1.523, 13312, 0, 20.523, 22.569, 2.046, 1315, 22.569, 24.074, 1.505, 13312, 0,     5.074,
 20, 184, 20, 20, 21.475, 1.475, 13312, 0, 21.475, 24.227, 2.752, 1362, 24.227, 25.116, 0.889, 13312, 0,     5.116,
 21, 184, 21, 21, 22.572, 1.572, 15360, 0, 22.572, 24.759, 2.187, 1530, 24.759, 26.142, 1.382, 15360, 0,     5.142,
 22, 184, 22, 22, 23.742, 1.742, 16384, 0, 23.742, 26.516, 2.774, 1600, 26.516, 27.611, 1.095, 16384, 0,     5.611,
 23, 184, 23, 23, 24.913, 1.913, 16384, 0, 24.913, 27.3, 2.387, 1668, 27.3, 28.703, 1.403, 16384, 0,     5.703,
 24, 184, 24, 24, 26.01, 2.01, 15360, 0, 26.01, 28.762, 2.752, 1561, 28.762, 29.789, 1.026, 15360, 0,     5.789,
 25, 184, 25, 25, 27.04, 2.04, 14336, 0, 27.04, 29.354, 2.314, 1433, 29.354, 30.744, 1.39, 14336, 0,     5.744,
 26, 184, 26, 26, 27.991, 1.991, 13312, 0, 27.991, 30.702, 2.711, 1357, 30.702, 31.632, 0.93, 13312, 0,     5.632,
 27, 184, 27, 27, 28.795, 1.795, 11264, 0, 28.795, 31.02, 2.225, 1161, 31.02, 32.384, 1.364, 11264, 0,     5.384,
 28, 184, 28, 28, 29.82, 1.82, 14336, 0, 29.82, 32.818, 2.999, 1476, 32.818, 33.786, 0.968, 14336, 0,     5.786,
 29, 184, 29, 29, 30.996, 1.996, 16384, 0, 30.996, 33.349, 2.354, 1627, 33.349, 34.878, 1.528, 16384, 0,     5.878,
 30, 184, 30, 30, 32.02, 2.02, 14336, 0, 32.02, 34.894, 2.874, 1443, 34.894, 35.851, 0.958, 14336, 0,     5.851,
 31, 184, 31, 31, 32.902, 1.902, 12288, 0, 32.902, 35.161, 2.259, 1264, 35.161, 36.676, 1.515, 12288, 0,     5.676,
 32, 184, 32, 32, 33.853, 1.853, 13312, 0, 33.853, 36.813, 2.96, 1343, 36.813, 37.705, 0.892, 13312, 0,     5.705,
 33, 184, 33, 33, 34.951, 1.951, 15360, 0, 34.951, 37.45, 2.499, 1597, 37.45, 38.732, 1.282, 15360, 0,     5.732,
 34, 184, 34, 34, 36.123, 2.123, 16384, 0, 36.123, 39.193, 3.07, 1663, 39.193, 40.287, 1.094, 16384, 0,     6.287,
 35, 184, 35, 35, 37.147, 2.147, 14336, 0, 37.147, 39.569, 2.423, 1471, 39.569, 41.243, 1.674, 14336, 0,     6.243,
 36, 184, 36, 36, 38.101, 2.101, 13312, 0, 38.101, 41.153, 3.052, 1372, 41.153, 42.137, 0.984, 13312, 0,     6.137,
 37, 184, 37, 37, 39.276, 2.276, 16384, 0, 39.276, 41.884, 2.608, 1621, 41.884, 43.229, 1.345, 16384, 0,     6.229,
 38, 184, 38, 38, 40.163, 2.163, 12288, 0, 40.163, 42.916, 2.753, 1235, 42.916, 44.048, 1.132, 12288, 0,     6.048,
 39, 184, 39, 39, 41.261, 2.261, 15360, 0, 41.261, 44.14, 2.88, 1578, 44.14, 45.17, 1.03, 15360, 0,     6.170,
 40, 184, 40, 40, 42.142, 2.142, 12288, 0, 42.142, 44.769, 2.626, 1297, 44.769, 45.99, 1.221, 12288, 0,     5.990,
 41, 184, 41, 41, 43.02, 2.02, 12288, 0, 43.02, 45.913, 2.893, 1242, 45.913, 46.819, 0.905, 12288, 0,     5.819,
 42, 184, 42, 42, 44.192, 2.192, 16384, 0, 44.192, 47.13, 2.939, 1654, 47.13, 48.229, 1.099, 16384, 0,     6.229,
 43, 184, 43, 43, 45.217, 2.217, 14336, 0, 45.217, 47.933, 2.716, 1414, 47.933, 49.19, 1.257, 14336, 0,     6.190,
 44, 184, 44, 44, 46.095, 2.095, 12288, 0, 46.095, 48.97, 2.875, 1288, 48.97, 50.009, 1.039, 12288, 0,     6.009,
 45, 184, 45, 45, 47.265, 2.265, 16384, 0, 47.265, 50.282, 3.017, 1644, 50.282, 51.378, 1.096, 16384, 0,     6.378,
 46, 184, 46, 46, 48.435, 2.435, 16384, 0, 48.435, 51.325, 2.889, 1649, 51.325, 52.47, 1.146, 16384, 0,     6.470,
 47, 184, 47, 47, 49.533, 2.533, 15360, 0, 49.533, 52.529, 2.996, 1568, 52.529, 53.559, 1.03, 15360, 0,     6.559,
 48, 184, 48, 48, 50.483, 2.483, 13312, 0, 50.483, 53.309, 2.826, 1385, 53.309, 54.446, 1.137, 13312, 0,     6.446,
 49, 184, 49, 49, 51.588, 2.588, 15360, 0, 51.588, 54.783, 3.195, 1572, 54.783, 55.81, 1.027, 15360, 0,     6.810,
 50, 184, 50, 50, 52.619, 2.619, 14336, 0, 52.619, 55.387, 2.767, 1455, 55.387, 56.772, 1.386, 14336, 0,     6.772,
 51, 184, 51, 51, 53.499, 2.499, 12288, 0, 53.499, 56.619, 3.12, 1282, 56.619, 57.594, 0.976, 12288, 0,     6.594,
 52, 184, 52, 52, 54.669, 2.669, 16384, 0, 54.669, 57.768, 3.099, 1661, 57.768, 58.862, 1.094, 16384, 0,     6.862,
 53, 184, 53, 53, 55.547, 2.547, 12288, 0, 55.547, 58.357, 2.81, 1206, 58.357, 59.69, 1.333, 12288, 0,     6.690,
 54, 184, 54, 54, 56.501, 2.501, 13312, 0, 56.501, 59.659, 3.159, 1322, 59.659, 60.585, 0.926, 13312, 0,     6.585,
 55, 184, 55, 55, 57.453, 2.453, 13312, 0, 57.453, 60.296, 2.843, 1358, 60.296, 61.48, 1.184, 13312, 0,     6.480,
 56, 184, 56, 56, 58.624, 2.624, 16384, 0, 58.624, 62.009, 3.385, 1640, 62.009, 63.111, 1.102, 16384, 0,     7.111,
 57, 184, 57, 57, 59.575, 2.575, 13312, 0, 59.575, 62.223, 2.648, 1344, 62.223, 64.002, 1.779, 13312, 0,     7.002,
 58, 184, 58, 58, 60.452, 2.452, 12288, 0, 60.452, 63.754, 3.302, 1218, 63.754, 64.83, 1.075, 12288, 0,     6.830,
 59, 184, 59, 59, 61.257, 2.257, 11264, 0, 61.257, 63.895, 2.638, 1168, 63.895, 65.581, 1.685, 11264, 0,     6.581,
 61, 184, 61, 61, 63.458, 2.458, 14336, 0, 63.458, 65.939, 2.482, 1425, 65.939, 66.902, 0.963, 14336, 0,     5.902,
 60, 184, 60, 60, 62.434, 2.434, 16384, 0, 62.434, 66.149, 3.715, 1674, 66.149, 67.998, 1.849, 16384, 0,     7.998,
 63, 184, 63, 63, 65.507, 2.507, 13312, 0, 65.507, 68.067, 2.561, 1337, 68.067, 68.957, 0.889, 13312, 0,     5.957,
 62, 184, 62, 62, 64.556, 2.556, 15360, 0, 64.556, 68.094, 3.538, 1509, 68.094, 69.984, 1.89, 15360, 0,     7.984,
 64, 184, 64, 64, 66.531, 2.531, 14336, 0, 66.531, 70.094, 3.563, 1412, 70.094, 71.06, 0.966, 14336, 0,     7.060,
 65, 184, 65, 65, 67.628, 2.628, 15360, 0, 67.628, 70.325, 2.697, 1561, 70.325, 72.094, 1.769, 15360, 0,     7.094,
 66, 184, 66, 66, 68.587, 2.587, 13312, 0, 68.587, 72.042, 3.455, 1361, 72.042, 72.986, 0.943, 13312, 0,     6.986,
 67, 184, 67, 67, 69.621, 2.621, 14336, 0, 69.621, 72.338, 2.718, 1410, 72.338, 73.941, 1.603, 14336, 0,     6.941,
 68, 184, 68, 68, 70.498, 2.498, 12288, 0, 70.498, 73.759, 3.26, 1201, 73.759, 74.76, 1.001, 12288, 0,     6.760,
 69, 184, 69, 69, 71.528, 2.528, 14336, 0, 71.528, 74.385, 2.856, 1432, 74.385, 75.721, 1.336, 14336, 0,     6.721,
 70, 184, 70, 70, 72.552, 2.552, 14336, 0, 72.552, 75.859, 3.307, 1468, 75.859, 76.818, 0.959, 14336, 0,     6.818,
 71, 184, 71, 71, 73.576, 2.576, 14336, 0, 73.576, 76.438, 2.862, 1432, 76.438, 77.773, 1.336, 14336, 0,     6.773,
 72, 184, 72, 72, 74.385, 2.385, 11264, 0, 74.385, 77.461, 3.076, 1122, 77.461, 78.526, 1.065, 11264, 0,     6.526,
 73, 184, 73, 73, 75.343, 2.343, 13312, 0, 75.343, 78.343, 3, 1328, 78.343, 79.414, 1.071, 13312, 0,     6.414,
 74, 184, 74, 74, 76.514, 2.514, 16384, 0, 76.514, 79.85, 3.337, 1670, 79.85, 80.944, 1.094, 16384, 0,     6.944,
 75, 184, 75, 75, 77.611, 2.611, 15360, 0, 77.611, 80.525, 2.914, 1528, 80.525, 81.969, 1.445, 15360, 0,     6.969,
 76, 184, 76, 76, 78.635, 2.635, 14336, 0, 78.635, 81.853, 3.219, 1402, 81.853, 82.924, 1.071, 14336, 0,     6.924,
 77, 184, 77, 77, 79.586, 2.586, 13312, 0, 79.586, 82.416, 2.83, 1324, 82.416, 83.812, 1.396, 13312, 0,     6.812,
 78, 184, 78, 78, 80.39, 2.39, 11264, 0, 80.39, 83.498, 3.108, 1149, 83.498, 84.566, 1.068, 11264, 0,     6.566,
 79, 184, 79, 79, 81.418, 2.418, 14336, 0, 81.418, 84.544, 3.126, 1489, 84.544, 85.522, 0.977, 14336, 0,     6.522,
 80, 184, 80, 80, 82.223, 2.223, 11264, 0, 82.223, 85.148, 2.926, 1155, 85.148, 86.278, 1.13, 11264, 0,     6.278,
 81, 184, 81, 81, 83.1, 2.1, 12288, 0, 83.1, 86.364, 3.264, 1269, 86.364, 87.187, 0.823, 12288, 0,     6.187,
 82, 184, 82, 82, 84.271, 2.271, 16384, 0, 84.271, 87.507, 3.236, 1645, 87.507, 88.606, 1.1, 16384, 0,     6.606,
 83, 184, 83, 83, 85.368, 2.368, 15360, 0, 85.368, 88.569, 3.201, 1542, 88.569, 89.634, 1.065, 15360, 0,     6.634,
 84, 184, 84, 84, 86.324, 2.324, 13312, 0, 86.324, 89.365, 3.041, 1301, 89.365, 90.521, 1.156, 13312, 0,     6.521,
 85, 184, 85, 85, 87.206, 2.206, 12288, 0, 87.206, 90.327, 3.121, 1225, 90.327, 91.341, 1.014, 12288, 0,     6.341,
 86, 184, 86, 86, 88.157, 2.157, 13312, 0, 88.157, 91.294, 3.137, 1349, 91.294, 92.229, 0.934, 13312, 0,     6.229,
