Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 209, 0, 0, 0.894, 0.894, 13312, 0, 0.894, 2.728, 1.834, 1376, 2.728, 3.562, 0.834, 13312, 0, 3.562, 6.164, 2.602, 1950, 6.164, 6.943, 0.779, 9216, 0, 6.943, 8.55, 1.608, 1350, 8.55, 9.321, 0.77, 12288, 0,     9.321,
 1, 209, 1, 1, 2.03, 1.03, 15360, 0, 2.03, 4.069, 2.04, 1529, 4.069, 5.033, 0.963, 15360, 0, 5.033, 8.038, 3.006, 2250, 8.038, 8.979, 0.941, 11264, 0, 8.979, 10.94, 1.961, 1650, 10.94, 11.838, 0.898, 14336, 0,    10.838,
 2, 209, 2, 2, 3.054, 1.054, 15360, 0, 3.054, 5.078, 2.025, 1520, 5.078, 6.047, 0.969, 15360, 0, 6.047, 9.046, 2.999, 2250, 9.046, 9.987, 0.941, 11264, 0, 9.987, 11.947, 1.961, 1650, 11.947, 12.854, 0.907, 14336, 0,    10.854,
 3, 209, 3, 3, 4.01, 1.01, 14336, 0, 4.01, 6.035, 2.025, 1475, 6.035, 6.953, 0.918, 14336, 0, 6.953, 9.755, 2.802, 2100, 9.755, 10.841, 1.085, 10240, 0, 10.841, 12.72, 1.879, 1500, 12.72, 13.692, 0.972, 13312, 0,    10.692,
 4, 209, 4, 4, 4.829, 0.829, 12288, 0, 4.829, 6.695, 1.866, 1213, 6.695, 7.721, 1.026, 12288, 0, 7.721, 10.438, 2.717, 1800, 10.438, 11.609, 1.171, 9216, 0, 11.609, 13.557, 1.949, 1350, 13.557, 14.46, 0.903, 12288, 0,    10.460,
 5, 209, 5, 5, 5.967, 0.967, 14336, 0, 5.967, 8.028, 2.061, 1496, 8.028, 8.928, 0.9, 14336, 0, 8.928, 11.848, 2.92, 2100, 11.848, 12.703, 0.855, 10240, 0, 12.703, 14.504, 1.801, 1500, 14.504, 15.338, 0.834, 13312, 0,    10.338,
 6, 209, 6, 6, 6.826, 0.826, 12288, 0, 6.826, 8.441, 1.615, 1215, 8.441, 9.702, 1.26, 12288, 0, 9.702, 12.163, 2.461, 1800, 12.163, 13.472, 1.31, 9216, 0, 13.472, 15.158, 1.686, 1350, 15.158, 16.106, 0.947, 12288, 0,    10.106,
 7, 209, 7, 7, 7.825, 0.825, 12288, 0, 7.825, 9.7, 1.874, 1240, 9.7, 10.47, 0.77, 12288, 0, 10.47, 12.873, 2.403, 1800, 12.873, 14.24, 1.367, 9216, 0, 14.24, 16.113, 1.873, 1350, 16.113, 16.883, 0.77, 12288, 0,     9.883,
 8, 209, 8, 8, 8.965, 0.965, 14336, 0, 8.965, 10.928, 1.963, 1470, 10.928, 11.826, 0.898, 14336, 0, 11.826, 14.647, 2.822, 2100, 14.647, 15.503, 0.855, 10240, 0, 15.503, 17.284, 1.781, 1500, 17.284, 18.12, 0.836, 13312, 0,    10.120,
 9, 209, 9, 9, 9.971, 0.971, 14336, 0, 9.971, 11.898, 1.927, 1449, 11.898, 12.804, 0.905, 14336, 0, 12.804, 15.604, 2.801, 2100, 15.604, 16.463, 0.859, 10240, 0, 16.463, 18.248, 1.785, 1500, 18.248, 19.084, 0.836, 13312, 0,    10.084,
 10, 209, 10, 10, 10.897, 0.897, 13312, 0, 10.897, 12.76, 1.863, 1375, 12.76, 13.64, 0.88, 13312, 0, 13.64, 16.243, 2.603, 1950, 16.243, 17.231, 0.988, 9216, 0, 17.231, 18.886, 1.655, 1350, 18.886, 19.854, 0.969, 12288, 0,     9.854,
 11, 209, 11, 11, 11.893, 0.893, 13312, 0, 11.893, 13.746, 1.852, 1383, 13.746, 14.582, 0.836, 13312, 0, 14.582, 17.246, 2.664, 1950, 17.246, 18.016, 0.77, 9216, 0, 18.016, 19.856, 1.84, 1350, 19.856, 20.626, 0.77, 12288, 0,     9.626,
 12, 209, 12, 12, 12.833, 0.833, 12288, 0, 12.833, 14.487, 1.654, 1236, 14.487, 15.358, 0.871, 12288, 0, 15.358, 18.004, 2.646, 1800, 18.004, 18.79, 0.787, 9216, 0, 18.79, 20.5, 1.71, 1350, 20.5, 21.399, 0.899, 12288, 0,     9.399,
 13, 209, 13, 13, 13.962, 0.962, 14336, 0, 13.962, 15.845, 1.884, 1415, 15.845, 16.749, 0.903, 14336, 0, 16.749, 19.55, 2.802, 2100, 19.55, 20.406, 0.855, 10240, 0, 20.406, 22.178, 1.772, 1500, 22.178, 23.015, 0.838, 13312, 0,    10.015,
 14, 209, 14, 14, 15.039, 1.039, 15360, 0, 15.039, 17.082, 2.043, 1531, 17.082, 18.046, 0.964, 15360, 0, 18.046, 21.047, 3.001, 2250, 21.047, 21.993, 0.946, 11264, 0, 21.993, 23.95, 1.957, 1650, 23.95, 24.849, 0.899, 14336, 0,    10.849,
 15, 209, 15, 15, 15.927, 0.927, 13312, 0, 15.927, 17.716, 1.789, 1344, 17.716, 18.886, 1.169, 13312, 0, 18.886, 21.489, 2.603, 1950, 21.489, 22.763, 1.274, 9216, 0, 22.763, 24.367, 1.604, 1350, 24.367, 25.617, 1.25, 12288, 0,    10.617,
 16, 209, 16, 16, 17.171, 1.171, 17408, 0, 17.171, 19.485, 2.314, 1732, 19.485, 20.582, 1.098, 17408, 0, 20.582, 23.99, 3.408, 2550, 23.99, 25.018, 1.027, 12288, 0, 25.018, 27.158, 2.14, 1800, 27.158, 28.193, 1.035, 16384, 0,    12.193,
