Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 286, 0, 0, 1.04, 1.04, 15360, 0, 1.04, 3.162, 2.122, 1592, 3.162, 4.124, 0.962, 15360, 0,     4.124,
 1, 286, 1, 1, 2.064, 1.064, 15360, 0, 2.064, 4.138, 2.074, 1551, 4.138, 5.1, 0.962, 15360, 0,     4.100,
 2, 286, 2, 2, 2.961, 0.961, 13312, 0, 2.961, 4.934, 1.972, 1329, 4.934, 5.932, 0.999, 13312, 0,     3.932,
 3, 286, 3, 3, 3.903, 0.903, 13312, 0, 3.903, 5.973, 2.07, 1377, 5.973, 6.807, 0.834, 13312, 0,     3.807,
 4, 286, 4, 4, 4.894, 0.894, 13312, 0, 4.894, 6.749, 1.856, 1362, 6.749, 7.639, 0.889, 13312, 0,     3.639,
 5, 286, 5, 5, 6.098, 1.098, 16384, 0, 6.098, 8.26, 2.162, 1617, 8.26, 9.286, 1.026, 16384, 0,     4.286,
 6, 286, 6, 6, 6.992, 0.992, 13312, 0, 6.992, 8.813, 1.822, 1365, 8.813, 10.12, 1.306, 13312, 0,     4.120,
 7, 286, 7, 7, 8.04, 1.04, 15360, 0, 8.04, 10.308, 2.269, 1537, 10.308, 11.273, 0.964, 15360, 0,     4.273,
 8, 286, 8, 8, 9.064, 1.064, 15360, 0, 9.064, 11.134, 2.071, 1557, 11.134, 12.238, 1.104, 15360, 0,     4.238,
 9, 286, 9, 9, 10.02, 1.02, 14336, 0, 10.02, 12.206, 2.187, 1419, 12.206, 13.134, 0.928, 14336, 0,     4.134,
 10, 286, 10, 10, 11.114, 1.114, 16384, 0, 11.114, 13.306, 2.192, 1629, 13.306, 14.332, 1.026, 16384, 0,     4.332,
