event_arrival_time,HostName,failure_time,recovery_time
0.0,DC2-HRG5-1,54.844269785515664,57.13857908366792
0.0,DC1-HRG1-1,112.3080539381029,114.3742705243896
0.0,DC2-HRG5-2,157.9345943961031,160.89962197869735
0.0,DC1-HRG1-2,163.51510949171083,166.27891333629816
0.0,DC1-HRG1-1,180.12185722257294,182.23754198389744
0.0,DC2-HRG5-2,204.21008521441772,206.52130506616473
0.0,DC1-HRG1-1,209.05564450735767,210.7090150113609
0.0,DC2-HRG5-1,213.5443619768276,216.20361015940307
0.0,DC2-HRG5-1,321.7018928306389,323.5881395718589
0.0,DC2-HRG5-2,350.47833535521,353.1365645900713
0.0,DC2-HRG5-1,379.3481704958681,381.7093431726205
0.0,DC2-HRG5-1,528.7056713921816,531.1521509605487
0.0,DC2-HRG5-1,670.3742639693804,672.8285917322481
0.0,DC1-HRG1-1,714.6713100169012,716.2658182272448
0.0,DC2-HRG5-2,729.6807009325533,732.5952214241203
0.0,DC1-HRG1-1,772.0470498652971,774.0108455518873
0.0,DC2-HRG5-2,822.3192449911712,824.5638806060507
0.0,DC1-HRG1-1,877.553567684853,879.2571809063852
0.0,DC2-HRG5-1,921.5847508789761,923.7658633343102
0.0,DC2-HRG5-2,1017.7642202207676,1020.9231838220312
0.0,DC2-HRG5-1,1035.170427659702,1037.7728868514412
0.0,DC2-HRG5-1,1092.0640817491922,1094.6622630788675
