Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 1.006, 1.006, 14336, 0, 1.006, 2.319, 1.313, 1425, 2.319, 3.417, 1.098, 14336, 0, 3.417, 4.366, 0.949, 2100, 4.366, 5.187, 0.821, 4096, 0, 5.187, 5.957, 0.77, 1800, 5.957, 6.873, 0.917, 12288, 0,     6.873,
 1, 0, 1, 1, 1.792, 0.792, 9216, 0, 1.792, 3.199, 1.407, 913, 3.199, 4.276, 1.077, 9216, 0, 4.276, 4.988, 0.712, 1350, 4.988, 5.824, 0.836, 3072, 0, 5.824, 6.609, 0.785, 1350, 6.609, 7.629, 1.02, 9216, 0,     6.629,
 2, 0, 2, 2, 2.815, 0.815, 13312, 0, 2.815, 4.671, 1.856, 1326, 4.671, 5.677, 1.006, 13312, 0, 5.677, 6.589, 0.912, 1950, 6.589, 7.412, 0.823, 4096, 0, 7.412, 8.354, 0.942, 1800, 8.354, 9.35, 0.996, 12288, 0,     7.350,
 3, 0, 3, 3, 3.479, 0.479, 8192, 0, 3.479, 5.857, 2.378, 803, 5.857, 6.409, 0.552, 8192, 0, 6.409, 7.124, 0.715, 1200, 7.124, 7.808, 0.683, 2048, 0, 7.808, 8.897, 1.089, 900, 8.897, 9.868, 0.971, 6144, 0,     6.868,
 4, 0, 4, 4, 4.836, 0.836, 9216, 0, 4.836, 6.755, 1.919, 989, 6.755, 7.4, 0.645, 9216, 0, 7.4, 7.954, 0.554, 1350, 7.954, 8.558, 0.604, 3072, 0, 8.558, 9.565, 1.007, 1350, 9.565, 10.612, 1.048, 9216, 0,     6.612,
 5, 0, 5, 5, 6.187, 1.187, 14336, 0, 6.187, 8.097, 1.91, 1488, 8.097, 9.208, 1.111, 14336, 0, 9.208, 10.062, 0.854, 2100, 10.062, 10.841, 0.779, 4096, 0, 10.841, 11.702, 0.861, 1800, 11.702, 12.679, 0.977, 12288, 0,     7.679,
 6, 0, 6, 6, 6.687, 0.687, 7168, 0, 6.687, 8.897, 2.21, 790, 8.897, 9.844, 0.947, 7168, 0, 9.844, 10.524, 0.68, 1050, 10.524, 11.227, 0.703, 2048, 0, 11.227, 12.123, 0.896, 900, 12.123, 13.057, 0.934, 6144, 0,     7.057,
 7, 0, 7, 7, 7.397, 0.397, 6144, 0, 7.397, 9.607, 2.21, 678, 9.607, 10.4, 0.793, 6144, 0, 10.4, 10.913, 0.513, 900, 10.913, 11.637, 0.724, 2048, 0, 11.637, 12.563, 0.926, 900, 12.563, 13.447, 0.884, 6144, 0,     6.447,
 8, 0, 8, 8, 8.435, 0.435, 5120, 0, 8.435, 10.226, 1.791, 511, 10.226, 10.857, 0.631, 5120, 0, 10.857, 11.238, 0.381, 750, 11.238, 11.86, 0.622, 1024, 0, 11.86, 12.775, 0.916, 450, 12.775, 13.676, 0.9, 3072, 0,     5.676,
 9, 0, 9, 9, 10.006, 1.006, 12288, 0, 10.006, 11.682, 1.676, 1276, 11.682, 12.607, 0.925, 12288, 0, 12.607, 13.42, 0.813, 1800, 13.42, 14.204, 0.784, 4096, 0, 14.204, 14.909, 0.705, 1800, 14.909, 16.072, 1.163, 12288, 0,     7.072,
