time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
800,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
801,sfc-ingress1egress1,Ingress1,9,9216,SF-A,900,9216,SF-B,1350,3072,SF-C,1350 ,9216,Egress1,10
802,sfc-ingress1egress1,Ingress1,11,11264,SF-A,1100,11264,SF-B,1650,3754,SF-C,1650 ,11262,Egress1,10
803,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
804,sfc-ingress1egress1,Ingress1,20,20480,SF-A,2000,20480,SF-B,3000,6826,SF-C,3000 ,20478,Egress1,10
805,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
806,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
807,sfc-ingress1egress1,Ingress1,19,19456,SF-A,1900,19456,SF-B,2850,6485,SF-C,2850 ,19455,Egress1,10
808,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
809,sfc-ingress1egress1,Ingress1,11,11264,SF-A,1100,11264,SF-B,1650,3754,SF-C,1650 ,11262,Egress1,10
810,sfc-ingress1egress1,Ingress1,11,11264,SF-A,1100,11264,SF-B,1650,3754,SF-C,1650 ,11262,Egress1,10
811,sfc-ingress1egress1,Ingress1,10,10240,SF-A,1000,10240,SF-B,1500,3413,SF-C,1500 ,10239,Egress1,10
812,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
813,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
814,sfc-ingress1egress1,Ingress1,17,17408,SF-A,1700,17408,SF-B,2550,5802,SF-C,2550 ,17406,Egress1,10
815,sfc-ingress1egress1,Ingress1,8,8192,SF-A,800,8192,SF-B,1200,2730,SF-C,1200 ,8190,Egress1,10
816,sfc-ingress1egress1,Ingress1,11,11264,SF-A,1100,11264,SF-B,1650,3754,SF-C,1650 ,11262,Egress1,10
817,sfc-ingress1egress1,Ingress1,18,18432,SF-A,1800,18432,SF-B,2700,6144,SF-C,2700 ,18432,Egress1,10
818,sfc-ingress1egress1,Ingress1,19,19456,SF-A,1900,19456,SF-B,2850,6485,SF-C,2850 ,19455,Egress1,10
819,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
820,sfc-ingress1egress1,Ingress1,20,20480,SF-A,2000,20480,SF-B,3000,6826,SF-C,3000 ,20478,Egress1,10
821,sfc-ingress1egress1,Ingress1,9,9216,SF-A,900,9216,SF-B,1350,3072,SF-C,1350 ,9216,Egress1,10
822,sfc-ingress1egress1,Ingress1,18,18432,SF-A,1800,18432,SF-B,2700,6144,SF-C,2700 ,18432,Egress1,10
823,sfc-ingress1egress1,Ingress1,21,21504,SF-A,2100,21504,SF-B,3150,7168,SF-C,3150 ,21504,Egress1,10
824,sfc-ingress1egress1,Ingress1,22,22528,SF-A,2200,22528,SF-B,3300,7509,SF-C,3300 ,22527,Egress1,10
825,sfc-ingress1egress1,Ingress1,9,9216,SF-A,900,9216,SF-B,1350,3072,SF-C,1350 ,9216,Egress1,10
826,sfc-ingress1egress1,Ingress1,16,16384,SF-A,1600,16384,SF-B,2400,5461,SF-C,2400 ,16383,Egress1,10
827,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
828,sfc-ingress1egress1,Ingress1,10,10240,SF-A,1000,10240,SF-B,1500,3413,SF-C,1500 ,10239,Egress1,10
829,sfc-ingress1egress1,Ingress1,21,21504,SF-A,2100,21504,SF-B,3150,7168,SF-C,3150 ,21504,Egress1,10
830,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
831,sfc-ingress1egress1,Ingress1,20,20480,SF-A,2000,20480,SF-B,3000,6826,SF-C,3000 ,20478,Egress1,10
832,sfc-ingress1egress1,Ingress1,12,12288,SF-A,1200,12288,SF-B,1800,4096,SF-C,1800 ,12288,Egress1,10
833,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
834,sfc-ingress1egress1,Ingress1,18,18432,SF-A,1800,18432,SF-B,2700,6144,SF-C,2700 ,18432,Egress1,10
835,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
836,sfc-ingress1egress1,Ingress1,9,9216,SF-A,900,9216,SF-B,1350,3072,SF-C,1350 ,9216,Egress1,10
837,sfc-ingress1egress1,Ingress1,18,18432,SF-A,1800,18432,SF-B,2700,6144,SF-C,2700 ,18432,Egress1,10
838,sfc-ingress1egress1,Ingress1,20,20480,SF-A,2000,20480,SF-B,3000,6826,SF-C,3000 ,20478,Egress1,10
839,sfc-ingress1egress1,Ingress1,17,17408,SF-A,1700,17408,SF-B,2550,5802,SF-C,2550 ,17406,Egress1,10
840,sfc-ingress1egress1,Ingress1,11,11264,SF-A,1100,11264,SF-B,1650,3754,SF-C,1650 ,11262,Egress1,10
841,sfc-ingress1egress1,Ingress1,12,12288,SF-A,1200,12288,SF-B,1800,4096,SF-C,1800 ,12288,Egress1,10
842,sfc-ingress1egress1,Ingress1,21,21504,SF-A,2100,21504,SF-B,3150,7168,SF-C,3150 ,21504,Egress1,10
843,sfc-ingress1egress1,Ingress1,17,17408,SF-A,1700,17408,SF-B,2550,5802,SF-C,2550 ,17406,Egress1,10
844,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
845,sfc-ingress1egress1,Ingress1,17,17408,SF-A,1700,17408,SF-B,2550,5802,SF-C,2550 ,17406,Egress1,10
846,sfc-ingress1egress1,Ingress1,19,19456,SF-A,1900,19456,SF-B,2850,6485,SF-C,2850 ,19455,Egress1,10
847,sfc-ingress1egress1,Ingress1,12,12288,SF-A,1200,12288,SF-B,1800,4096,SF-C,1800 ,12288,Egress1,10
848,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
849,sfc-ingress1egress1,Ingress1,19,19456,SF-A,1900,19456,SF-B,2850,6485,SF-C,2850 ,19455,Egress1,10
850,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
851,sfc-ingress1egress1,Ingress1,8,8192,SF-A,800,8192,SF-B,1200,2730,SF-C,1200 ,8190,Egress1,10
852,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
853,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
854,sfc-ingress1egress1,Ingress1,16,16384,SF-A,1600,16384,SF-B,2400,5461,SF-C,2400 ,16383,Egress1,10
855,sfc-ingress1egress1,Ingress1,17,17408,SF-A,1700,17408,SF-B,2550,5802,SF-C,2550 ,17406,Egress1,10
856,sfc-ingress1egress1,Ingress1,15,15360,SF-A,1500,15360,SF-B,2250,5120,SF-C,2250 ,15360,Egress1,10
857,sfc-ingress1egress1,Ingress1,14,14336,SF-A,1400,14336,SF-B,2100,4778,SF-C,2100 ,14334,Egress1,10
858,sfc-ingress1egress1,Ingress1,8,8192,SF-A,800,8192,SF-B,1200,2730,SF-C,1200 ,8190,Egress1,10
859,sfc-ingress1egress1,Ingress1,13,13312,SF-A,1300,13312,SF-B,1950,4437,SF-C,1950 ,13311,Egress1,10
860,sfc-ingress1egress1,Ingress1,12,12288,SF-A,1200,12288,SF-B,1800,4096,SF-C,1800 ,12288,Egress1,10
