time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,sfc-ingress1egress1,Ingress1,14,14,SF-A,1425,14,SF-B,2100,4,SF-C,1800,12,Egress1,10.0
1.0,sfc-ingress1egress1,Ingress1,9,9,SF-A,913,9,SF-B,1350,3,SF-C,1350,9,Egress1,10.0
2.0,sfc-ingress1egress1,Ingress1,13,13,SF-A,1326,13,SF-B,1950,4,SF-C,1800,12,Egress1,10.0
3.0,sfc-ingress1egress1,Ingress1,8,8,SF-A,803,8,SF-B,1200,2,SF-C,900,6,Egress1,10.0
4.0,sfc-ingress1egress1,Ingress1,9,9,SF-A,989,9,SF-B,1350,3,SF-C,1350,9,Egress1,10.0
5.0,sfc-ingress1egress1,Ingress1,14,14,SF-A,1488,14,SF-B,2100,4,SF-C,1800,12,Egress1,10.0
6.0,sfc-ingress1egress1,Ingress1,7,7,SF-A,790,7,SF-B,1050,2,SF-C,900,6,Egress1,10.0
7.0,sfc-ingress1egress1,Ingress1,6,6,SF-A,678,6,SF-B,900,2,SF-C,900,6,Egress1,10.0
8.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,511,5,SF-B,750,1,SF-C,450,3,Egress1,10.0
9.0,sfc-ingress1egress1,Ingress1,12,12,SF-A,1276,12,SF-B,1800,4,SF-C,1800,12,Egress1,10.0
10.0,sfc-ingress1egress1,Ingress1,9,9,SF-A,937,9,SF-B,1350,3,SF-C,1350,9,Egress1,10.0
11.0,sfc-ingress1egress1,Ingress1,12,12,SF-A,1261,12,SF-B,1800,4,SF-C,1800,12,Egress1,10.0
12.0,sfc-ingress1egress1,Ingress1,13,13,SF-A,1365,13,SF-B,1950,4,SF-C,1800,12,Egress1,10.0
13.0,sfc-ingress1egress1,Ingress1,6,6,SF-A,682,6,SF-B,900,2,SF-C,900,6,Egress1,10.0
14.0,sfc-ingress1egress1,Ingress1,13,13,SF-A,1371,13,SF-B,1950,4,SF-C,1800,12,Egress1,10.0
15.0,sfc-ingress1egress1,Ingress1,12,12,SF-A,1254,12,SF-B,1800,4,SF-C,1800,12,Egress1,10.0
16.0,sfc-ingress1egress1,Ingress1,12,12,SF-A,1217,12,SF-B,1800,4,SF-C,1800,12,Egress1,10.0
17.0,sfc-ingress1egress1,Ingress1,9,9,SF-A,915,9,SF-B,1350,3,SF-C,1350,9,Egress1,10.0
18.0,sfc-ingress1egress1,Ingress1,6,6,SF-A,668,6,SF-B,900,2,SF-C,900,6,Egress1,10.0
