atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToMe, SFName3, Packet_To_Me3(MB), MyWorkload3(MI), LinkToEgress, EgressNode, Packet_To_Egress4(MB), WorkloadOnEgress(0)
0.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,14,1463,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,14,2100,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,14,4900,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,14,0
1.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,10,1033,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,10,1500,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,10,3500,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,10,0
2.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,13,1397,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,13,1950,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,13,4550,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,13,0
3.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,6,600,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,6,900,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,6,2100,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,6,0
4.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,13,1382,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,13,1950,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,13,4550,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,13,0
5.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,12,1266,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,12,1800,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,12,4200,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,12,0
6.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,6,603,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,6,900,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,6,2100,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,6,0
7.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,12,1245,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,12,1800,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,12,4200,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,12,0
8.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,14,1457,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,14,2100,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,14,4900,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,14,0
9.0,sfc-ingress1egress1_psfc1,Ingress1,0,0,Ingress1-sfc-ingress1egress1_psfc1SF-A,sfc-ingress1egress1_psfc1SF-A,9,988,sfc-ingress1egress1_psfc1SF-A-sfc-ingress1egress1_psfc1SF-B,sfc-ingress1egress1_psfc1SF-B,9,1350,sfc-ingress1egress1_psfc1SF-B-sfc-ingress1egress1_psfc1SF-C,sfc-ingress1egress1_psfc1SF-C,9,3150,sfc-ingress1egress1_psfc1SF-C-Egress1,Egress1,9,0
