event_arrival_time,HostName,failure_time,recovery_time
0.0,DC2-HRG5-1,14.277809700538777,16.921523772410115
0.0,DC2-HRG5-1,41.329025778250084,44.03578457914906
0.0,DC2-HRG5-2,82.77331558175614,85.39917587604434
0.0,DC1-HRG1-1,180.36556298519244,182.08388048810914
0.0,DC2-HRG5-2,209.52474403580862,211.8333461085693
0.0,DC2-HRG5-1,224.01914657645034,226.15151905861683
0.0,DC2-HRG5-2,228.3880088189151,230.75556390161756
0.0,DC2-HRG5-1,232.13580181161834,234.58734906536424
0.0,DC2-HRG5-1,239.87414942307507,242.89017070267363
0.0,DC2-HRG5-2,268.67953418108186,271.3625762357756
0.0,DC1-HRG1-2,462.6871303352467,465.7705552094171
0.0,DC1-HRG1-2,503.7699274363666,506.67866060955987
0.0,DC2-HRG5-2,560.5425748368795,563.3419099244531
0.0,DC1-HRG1-2,570.1382602290538,572.5775766745255
0.0,DC2-HRG5-2,590.167361716457,592.7757224421775
0.0,DC2-HRG5-2,596.0578141969413,598.6032512535114
0.0,DC1-HRG1-1,600.1821706733125,601.9555689471349
0.0,DC2-HRG5-2,723.8647768610643,727.1098051381213
0.0,DC1-HRG1-2,757.3387947482938,759.8847882622066
0.0,DC1-HRG1-1,778.7526112513813,780.5641167837948
0.0,DC2-HRG5-1,782.7183007429546,785.2058832597668
0.0,DC2-HRG5-1,836.0998118570104,838.2209945049259
0.0,DC2-HRG5-1,899.874609612863,902.2782976304126
0.0,DC2-HRG5-1,909.2634063689328,912.1952641999794
0.0,DC2-HRG5-2,936.8435738260616,940.0062874844766
