time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,497,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
1.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,526,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
2.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,434,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
3.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,422,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
4.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,404,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
5.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,585,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
6.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,539,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
7.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,582,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
8.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,568,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
9.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,492,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
10.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,488,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
11.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,574,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
12.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,496,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
13.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,400,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
14.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,419,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
15.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,503,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
16.0,sfc-ingress1egress1,Ingress1,5,5,SF-A,500,5,SF-B,750,3,SF-C,450,4,Egress1,10.0
17.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,449,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
18.0,sfc-ingress1egress1,Ingress1,4,4,SF-A,402,4,SF-B,600,3,SF-C,450,4,Egress1,10.0
