event_arrival_time,HostName,failure_time,recovery_time
0.0,DC2-HRG5-1,89.81642617272895,91.58498864735817
0.0,DC1-HRG1-2,112.96255421398486,115.22628269157683
0.0,DC2-HRG5-2,125.19149077413272,127.85283568249122
0.0,DC1-HRG1-1,128.8675239966726,131.1692773757933
0.0,DC2-HRG5-1,137.66693023696047,139.2411378438054
0.0,DC1-HRG1-2,220.83871837055653,223.21340000594685
0.0,DC2-HRG5-2,231.63602572740484,234.1194864108098
0.0,DC1-HRG1-2,234.2804398623628,237.06405290413255
0.0,DC2-HRG5-1,272.79706524619075,274.36117958359574
0.0,DC2-HRG5-1,315.518504442977,317.42579500488887
0.0,DC2-HRG5-1,349.1943255461664,351.1460005666198
0.0,DC2-HRG5-1,368.8621197180289,370.7048971190265
0.0,DC2-HRG5-1,386.53720618611976,388.17748389249465
0.0,DC2-HRG5-2,399.00094471953275,401.49673078723777
0.0,DC1-HRG1-1,430.2653354046704,432.25287042865114
0.0,DC2-HRG5-1,443.1270873048233,445.33257223843725
0.0,DC2-HRG5-2,515.4425035365007,518.2980883285816
0.0,DC2-HRG5-1,558.102491069588,559.9393688748066
0.0,DC2-HRG5-2,571.110128567077,573.5369862000662
0.0,DC1-HRG1-1,585.9181997219754,588.4336467657657
0.0,DC2-HRG5-1,603.6065012341431,605.6547050977272
0.0,DC2-HRG5-2,633.6372822463359,635.9686380430581
0.0,DC2-HRG5-2,660.0829280563984,662.6394765333964
0.0,DC2-HRG5-2,702.5470506834765,705.219191997331
0.0,DC2-HRG5-1,829.2811471306323,831.6056528298986
0.0,DC1-HRG1-1,843.0996886411428,845.4160003671896
0.0,DC2-HRG5-1,851.4004916586988,853.1924127144849
0.0,DC2-HRG5-1,856.4245259085715,858.2667467413639
0.0,DC2-HRG5-2,967.2545802635688,969.6311042645633
0.0,DC2-HRG5-2,1010.6791074956909,1013.2271094525665
0.0,DC2-HRG5-1,1052.6518573903297,1054.4578623120058
0.0,DC2-HRG5-1,1063.875605107132,1065.5734358275117
