Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 0.785, 0.785, 10240, 0, 0.785, 2.015, 1.23, 1074, 2.015, 2.876, 0.861, 10240, 0, 2.876, 3.588, 0.712, 1500, 3.588, 4.12, 0.532, 3072, 0, 4.12, 4.725, 0.605, 1350, 4.725, 5.473, 0.748, 9216, 0,     5.473,
 1, 0, 1, 1, 1.572, 0.572, 9216, 0, 1.572, 2.876, 1.304, 956, 2.876, 3.609, 0.733, 9216, 0, 3.609, 4.206, 0.597, 1350, 4.206, 4.942, 0.736, 3072, 0, 4.942, 5.583, 0.641, 1350, 5.583, 6.274, 0.691, 9216, 0,     5.274,
 2, 0, 2, 2, 2.696, 0.696, 10240, 0, 2.696, 4.143, 1.447, 1086, 4.143, 4.735, 0.593, 10240, 0, 4.735, 5.473, 0.737, 1500, 5.473, 6.104, 0.631, 3072, 0, 6.104, 6.688, 0.584, 1350, 6.688, 7.204, 0.517, 9216, 0,     5.204,
 3, 0, 3, 3, 3.599, 0.599, 8192, 0, 3.599, 5.072, 1.473, 839, 5.072, 5.604, 0.532, 8192, 0, 5.604, 6.124, 0.52, 1200, 6.124, 6.584, 0.46, 2048, 0, 6.584, 7.066, 0.482, 900, 7.066, 7.615, 0.549, 6144, 0,     4.615,
 4, 0, 4, 4, 4.648, 0.648, 9216, 0, 4.648, 6.144, 1.496, 993, 6.144, 6.831, 0.688, 9216, 0, 6.831, 7.443, 0.612, 1350, 7.443, 8.111, 0.668, 3072, 0, 8.111, 8.738, 0.627, 1350, 8.738, 9.429, 0.691, 9216, 0,     5.429,
 5, 0, 5, 5, 5.718, 0.718, 10240, 0, 5.718, 7.295, 1.578, 1019, 7.295, 7.935, 0.639, 10240, 0, 7.935, 8.632, 0.697, 1500, 8.632, 9.175, 0.543, 3072, 0, 9.175, 9.815, 0.64, 1350, 9.815, 10.46, 0.645, 9216, 0,     5.460,
 6, 0, 6, 6, 6.461, 0.461, 8192, 0, 6.461, 8.2, 1.739, 826, 8.2, 8.778, 0.579, 8192, 0, 8.778, 9.282, 0.503, 1200, 9.282, 9.713, 0.431, 2048, 0, 9.713, 10.259, 0.546, 900, 10.259, 10.87, 0.61, 6144, 0,     4.870,
 7, 0, 7, 7, 7.627, 0.627, 9216, 0, 7.627, 9.056, 1.429, 925, 9.056, 9.701, 0.645, 9216, 0, 9.701, 10.323, 0.621, 1350, 10.323, 10.852, 0.529, 3072, 0, 10.852, 11.435, 0.584, 1350, 11.435, 11.948, 0.513, 9216, 0,     4.948,
 8, 0, 8, 8, 8.632, 0.632, 8192, 0, 8.632, 10.062, 1.43, 841, 10.062, 10.577, 0.515, 8192, 0, 10.577, 11.054, 0.478, 1200, 11.054, 11.401, 0.347, 2048, 0, 11.401, 11.872, 0.471, 900, 11.872, 12.422, 0.55, 6144, 0,     4.422,
 9, 0, 9, 9, 9.685, 0.685, 10240, 0, 9.685, 11.335, 1.65, 1043, 11.335, 12.016, 0.681, 10240, 0, 12.016, 12.682, 0.666, 1500, 12.682, 13.17, 0.488, 3072, 0, 13.17, 13.823, 0.653, 1350, 13.823, 14.438, 0.615, 9216, 0,     5.438,
