Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 0.752, 0.752, 10240, 0, 0.752, 1.748, 0.996, 1074, 1.748, 2.501, 0.754, 10240, 0, 2.501, 3.234, 0.732, 1500, 3.234, 3.906, 0.672, 3072, 0, 3.906, 4.558, 0.652, 1350, 4.558, 5.215, 0.657, 9216, 0,     5.215,
 1, 0, 1, 1, 1.488, 0.488, 9216, 0, 1.488, 2.971, 1.483, 956, 2.971, 3.632, 0.661, 9216, 0, 3.632, 4.193, 0.561, 1350, 4.193, 4.727, 0.534, 3072, 0, 4.727, 5.398, 0.67, 1350, 5.398, 6.083, 0.685, 9216, 0,     5.083,
 2, 0, 2, 2, 2.734, 0.734, 10240, 0, 2.734, 4.213, 1.479, 1086, 4.213, 4.879, 0.667, 10240, 0, 4.879, 5.586, 0.706, 1500, 5.586, 6.075, 0.489, 3072, 0, 6.075, 6.685, 0.61, 1350, 6.685, 7.277, 0.593, 9216, 0,     5.277,
 3, 0, 3, 3, 3.374, 0.374, 8192, 0, 3.374, 4.931, 1.558, 839, 4.931, 5.547, 0.616, 8192, 0, 5.547, 6.1, 0.553, 1200, 6.1, 6.417, 0.317, 2048, 0, 6.417, 7.112, 0.695, 900, 7.112, 7.717, 0.605, 6144, 0,     4.717,
 4, 0, 4, 4, 4.508, 0.508, 9216, 0, 4.508, 6.204, 1.697, 993, 6.204, 6.88, 0.676, 9216, 0, 6.88, 7.468, 0.588, 1350, 7.468, 7.976, 0.508, 3072, 0, 7.976, 8.645, 0.669, 1350, 8.645, 9.307, 0.662, 9216, 0,     5.307,
 5, 0, 5, 5, 5.465, 0.465, 10240, 0, 5.465, 7.387, 1.922, 1019, 7.387, 8.205, 0.818, 10240, 0, 8.205, 8.803, 0.598, 1500, 8.803, 9.369, 0.566, 3072, 0, 9.369, 9.967, 0.598, 1350, 9.967, 10.518, 0.551, 9216, 0,     5.518,
 6, 0, 6, 6, 6.564, 0.564, 8192, 0, 6.564, 8.219, 1.655, 826, 8.219, 8.908, 0.689, 8192, 0, 8.908, 9.458, 0.55, 1200, 9.458, 9.884, 0.426, 2048, 0, 9.884, 10.353, 0.469, 900, 10.353, 11.023, 0.67, 6144, 0,     5.023,
 7, 0, 7, 7, 7.44, 0.44, 9216, 0, 7.44, 9.437, 1.996, 925, 9.437, 9.981, 0.545, 9216, 0, 9.981, 10.594, 0.613, 1350, 10.594, 11.025, 0.431, 3072, 0, 11.025, 11.658, 0.633, 1350, 11.658, 12.223, 0.565, 9216, 0,     5.223,
 8, 0, 8, 8, 8.645, 0.645, 8192, 0, 8.645, 10.444, 1.799, 841, 10.444, 11.06, 0.616, 8192, 0, 11.06, 11.628, 0.568, 1200, 11.628, 12.001, 0.373, 2048, 0, 12.001, 12.35, 0.349, 900, 12.35, 12.727, 0.378, 6144, 0,     4.727,
 9, 0, 9, 9, 9.585, 0.585, 10240, 0, 9.585, 11.475, 1.891, 1043, 11.475, 12.151, 0.676, 10240, 0, 12.151, 12.769, 0.617, 1500, 12.769, 13.258, 0.489, 3072, 0, 13.258, 13.815, 0.557, 1350, 13.815, 14.465, 0.65, 9216, 0,     5.465,
 10, 0, 10, 10, 10.511, 0.511, 8192, 0, 10.511, 12.416, 1.905, 820, 12.416, 12.994, 0.578, 8192, 0, 12.994, 13.547, 0.553, 1200, 13.547, 13.903, 0.356, 2048, 0, 13.903, 14.249, 0.346, 900, 14.249, 14.817, 0.567, 6144, 0,     4.817,
 11, 0, 11, 11, 11.565, 0.565, 9216, 0, 11.565, 13.447, 1.882, 983, 13.447, 14.161, 0.713, 9216, 0, 14.161, 14.816, 0.656, 1350, 14.816, 15.391, 0.575, 3072, 0, 15.391, 16.076, 0.685, 1350, 16.076, 16.682, 0.605, 9216, 0,     5.682,
 12, 0, 12, 12, 12.607, 0.607, 10240, 0, 12.607, 14.382, 1.774, 1041, 14.382, 15.171, 0.79, 10240, 0, 15.171, 15.96, 0.788, 1500, 15.96, 16.61, 0.651, 3072, 0, 16.61, 17.256, 0.645, 1350, 17.256, 17.812, 0.556, 9216, 0,     5.812,
 13, 0, 13, 13, 13.727, 0.727, 10240, 0, 13.727, 15.54, 1.813, 1085, 15.54, 16.353, 0.813, 10240, 0, 16.353, 17.218, 0.865, 1500, 17.218, 17.944, 0.725, 3072, 0, 17.944, 18.601, 0.657, 1350, 18.601, 19.246, 0.645, 9216, 0,     6.246,
