event_arrival_time,HostName,failure_time,recovery_time
0.0,DC1-HRG4-1,6.200703962351959,8.543775278071543
0.0,DC1-HRG4-1,38.153261890431,40.3591375400493
0.0,DC1-HRG3-2,88.71466460275506,91.10459833094424
0.0,DC1-HRG3-1,156.48887335676045,158.29776843944936
0.0,DC2-HRG5-1,176.0652579214237,179.1370992729423
0.0,DC2-HRG5-1,232.66934637831963,235.1559892430898
0.0,DC1-HRG3-1,237.80450778891128,239.65196480598888
0.0,DC1-HRG4-1,240.5603654477295,243.49807089252417
0.0,DC1-HRG4-1,261.71600203199444,264.45826213017375
0.0,DC1-HRG3-2,265.85466594292376,268.1483076544713
0.0,DC1-HRG3-1,329.10622004711183,331.25356435946054
0.0,DC2-HRG5-1,363.0214204853534,365.8517239005529
0.0,DC1-HRG4-1,509.15436281851646,512.070467863861
0.0,DC2-HRG5-1,510.66801320573336,513.9951864154833
0.0,DC2-HRG5-1,520.0311633795684,522.4119744967319
0.0,DC1-HRG4-1,525.8697504439588,528.7348421657217
0.0,DC1-HRG4-1,579.9666547370375,582.9342819873696
0.0,DC1-HRG3-1,741.8457166198257,744.3177358863197
0.0,DC2-HRG5-1,776.1282255239241,778.5347525603158
0.0,DC1-HRG4-1,812.8613156260521,815.4519972388539
0.0,DC1-HRG4-1,815.5166898561906,818.4230457446096
0.0,DC2-HRG5-1,847.9568787519851,850.896654731688
0.0,DC1-HRG4-1,869.6884371096428,871.7365001141286
0.0,DC1-HRG4-1,893.5489860640508,896.5169631078714
0.0,DC1-HRG3-2,906.5473445988293,909.0509657425256
0.0,DC1-HRG3-2,951.6815498398508,953.986404062732
0.0,DC1-HRG4-1,952.7868278364886,955.3150758572658
0.0,DC1-HRG4-1,987.833182138445,989.9455657903287
0.0,DC1-HRG4-1,1021.1256538098892,1024.0610622859954
0.0,DC1-HRG3-1,1025.0428471660382,1027.0925471871599
0.0,DC1-HRG3-1,1033.4820830512072,1035.298955840421
0.0,DC1-HRG4-1,1129.6087171377785,1132.4476622393856
0.0,DC2-HRG5-1,1177.485575918217,1180.9559683123664
0.0,DC1-HRG4-1,1244.3853295507267,1247.1086215200069
0.0,DC1-HRG3-2,1291.8969686083933,1293.7157643041633
0.0,DC1-HRG3-2,1336.4702935154294,1338.7977122472287
0.0,DC1-HRG4-1,1351.4793178119016,1353.8081137943784
0.0,DC2-HRG5-1,1373.0115300716207,1376.454852391899
0.0,DC2-HRG5-1,1394.1593189099524,1396.5535034168079
0.0,DC2-HRG5-1,1477.054040692795,1480.3472877915074
0.0,DC1-HRG4-1,1489.6594720040328,1491.7907638698318
0.0,DC1-HRG3-2,1554.9587934113006,1557.2586476045703
0.0,DC1-HRG4-1,1588.7936974385739,1591.1068100889058
0.0,DC2-HRG5-1,1771.4809642741357,1774.6992195834735
0.0,DC1-HRG4-1,1784.022515922822,1786.3877909673129
0.0,DC1-HRG4-1,1788.9285496123648,1791.2899751646007
0.0,DC1-HRG3-1,1808.1456346834736,1810.1582900594915
0.0,DC1-HRG4-1,1823.0849933923027,1825.9312193392589
0.0,DC1-HRG3-1,1848.680717016684,1850.8883806357615
