#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 1, 1, 1.106, 0.106, 100, 0, 1.106, 1.392, 0.286, 110, 1.392, 1.542, 0.15, 150, 0, 1.542, 2.819, 1.277, 750, 2.819, 2.919, 0.1, 100, 0, 2.919, 2.919, 0, 0,     1.813,
 1, 0, 100, 100, 100.116, 0.116, 110, 0, 100.116, 100.31, 0.194, 101, 100.31, 100.475, 0.165, 165, 0, 100.475, 102.558, 2.083, 825, 102.558, 102.668, 0.11, 110, 0, 102.668, 102.668, 0, 0,     2.552,
#======================================
#Number of workloads:2
#Timeout workloads:0
#Timeout workloads per cent:0.0
#Over workloads:0
#Over workloads per cent:0.0
#Number of Cloudlets:6
#Over Cloudlets:0
#Over Cloudlets per cent:0.0
#Number of transmissions:6
#Over transmissions:6
#Over transmissions per cent:1.0
#======================================
#Total serve time:4.365302971564961
#CPU serve time:3.840330261441554
#Network serve time:0.7469687810700743
#Average total serve time:2.1826514857824804
#Average CPU serve time per workload:1.920165130720777
#Average network serve time per workload:0.3734843905350371
#Average CPU serve time per Cloudlet:0.6400550435735923
#Average network serve time per transmission:0.12449479684501237
