Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 1.474, 1.474, 13, 0, 1.474, 2.109, 0.634, 680, 2.109, 3.969, 1.86, 19, 0, 3.969, 5.181, 1.212, 1088, 5.181, 6.24, 1.059, 9, 0, 6.24, 7.659, 1.419, 1360, 7.659, 8.164, 0.505, 5, 0,     6.185,
 1, 0, 1, 1, 2.278, 1.278, 8, 0, 2.278, 2.832, 0.554, 447, 2.832, 5.407, 2.575, 12, 0, 5.407, 6.139, 0.732, 716, 6.139, 6.816, 0.678, 6, 0, 6.816, 8.63, 1.814, 895, 8.63, 8.906, 0.277, 3, 0,     6.352,
 2, 0, 2, 2, 3.448, 1.448, 11, 0, 3.448, 3.969, 0.52, 561, 3.969, 7, 3.031, 16, 0, 7, 7.989, 0.989, 898, 7.989, 8.715, 0.726, 8, 0, 8.715, 9.935, 1.22, 1123, 9.935, 10.364, 0.429, 4, 0,     6.487,
 3, 0, 3, 3, 4.267, 1.267, 7, 0, 4.267, 4.694, 0.428, 377, 4.694, 8.073, 3.379, 10, 0, 8.073, 8.725, 0.652, 604, 8.725, 9.175, 0.45, 5, 0, 9.175, 10.662, 1.487, 755, 10.662, 10.86, 0.198, 2, 0,     6.396,
 4, 0, 4, 4, 5.306, 1.306, 9, 0, 5.306, 5.769, 0.464, 466, 5.769, 9.283, 3.514, 13, 0, 9.283, 10.124, 0.841, 745, 10.124, 10.761, 0.637, 6, 0, 10.761, 11.761, 1, 932, 11.761, 12.124, 0.363, 3, 0,     6.455,
 5, 0, 5, 5, 5.858, 0.858, 6, 0, 5.858, 6.24, 0.383, 338, 6.24, 10.263, 4.023, 9, 0, 10.263, 10.889, 0.626, 541, 10.889, 11.349, 0.46, 4, 0, 11.349, 12.485, 1.136, 677, 12.485, 12.677, 0.192, 2, 0,     6.627,
 6, 0, 6, 6, 6.816, 0.816, 8, 0, 6.816, 7.272, 0.456, 449, 7.272, 11.439, 4.167, 12, 0, 11.439, 12.281, 0.843, 719, 12.281, 12.931, 0.65, 6, 0, 12.931, 13.806, 0.875, 898, 13.806, 14.067, 0.26, 3, 0,     6.990,
 7, 0, 7, 7, 8.158, 1.158, 11, 0, 8.158, 8.715, 0.557, 561, 8.715, 13.184, 4.469, 16, 0, 13.184, 14.209, 1.025, 898, 14.209, 15, 0.792, 8, 0, 15, 16.269, 1.269, 1122, 16.269, 16.601, 0.332, 4, 0,     8.111,
 8, 0, 8, 8, 8.808, 0.808, 6, 0, 8.808, 9.106, 0.298, 302, 9.106, 14.156, 5.05, 9, 0, 14.156, 14.663, 0.507, 484, 14.663, 15.337, 0.674, 4, 0, 15.337, 16.905, 1.569, 605, 16.905, 17.102, 0.197, 2, 0,     8.097,
 9, 0, 9, 9, 9.584, 0.584, 6, 0, 9.584, 9.875, 0.291, 306, 9.875, 15, 5.125, 9, 0, 15, 15.493, 0.493, 489, 15.493, 15.909, 0.416, 4, 0, 15.909, 17.641, 1.732, 612, 17.641, 17.908, 0.267, 2, 0,     8.057,
