Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 1, 0, 0, 0.916, 0.916, 9, 0, 0.916, 1.474, 0.559, 481, 1.474, 2.76, 1.285, 13, 0, 2.76, 3.667, 0.908, 769, 3.667, 4.267, 0.599, 6, 0, 4.267, 5.769, 1.503, 1443, 5.769, 6.046, 0.276, 4, 0, 6.046, 7.085, 1.039, 962, 7.085, 7.278, 0.193, 2, 0,     6.169,
 1, 1, 1, 1, 1.884, 0.884, 8, 0, 1.884, 2.316, 0.432, 428, 2.316, 3.969, 1.652, 12, 0, 3.969, 4.787, 0.819, 685, 4.787, 5.407, 0.619, 6, 0, 5.407, 7.056, 1.649, 1284, 7.056, 7.503, 0.447, 4, 0, 7.503, 8.395, 0.892, 856, 8.395, 8.636, 0.241, 2, 0,     6.510,
 2, 1, 2, 2, 2.832, 0.832, 8, 0, 2.832, 3.274, 0.442, 442, 3.274, 5.306, 2.032, 12, 0, 5.306, 6.095, 0.79, 707, 6.095, 6.724, 0.629, 6, 0, 6.724, 8.551, 1.826, 1326, 8.551, 8.9, 0.349, 4, 0, 8.9, 9.764, 0.864, 884, 9.764, 9.941, 0.177, 2, 0,     6.932,
 3, 1, 3, 3, 4.695, 1.695, 17, 0, 4.695, 5.591, 0.897, 862, 5.591, 8.158, 2.567, 25, 0, 8.158, 9.584, 1.426, 1379, 9.584, 10.949, 1.365, 12, 0, 10.949, 13.693, 2.744, 2586, 13.693, 14.576, 0.883, 8, 0, 14.576, 16.408, 1.832, 1724, 16.408, 16.806, 0.398, 4, 0,    11.713,
 4, 1, 4, 4, 6.919, 2.919, 21, 0, 6.919, 8.089, 1.17, 1061, 8.089, 11.439, 3.35, 31, 0, 11.439, 13.12, 1.681, 1699, 13.12, 14.663, 1.544, 15, 0, 14.663, 17.936, 3.273, 3185, 17.936, 18.865, 0.929, 10, 0, 18.865, 21.221, 2.356, 2123, 21.221, 21.762, 0.541, 5, 0,    14.303,
 5, 1, 5, 5, 8.509, 3.509, 16, 0, 8.509, 9.406, 0.897, 837, 9.406, 13.951, 4.546, 24, 0, 13.951, 15.477, 1.526, 1340, 15.477, 16.706, 1.228, 12, 0, 16.706, 20.694, 3.989, 2512, 20.694, 21.546, 0.852, 8, 0, 21.546, 23.382, 1.835, 1675, 23.382, 23.76, 0.378, 4, 0,    14.873,
 6, 1, 6, 6, 9.865, 3.865, 14, 0, 9.865, 10.662, 0.798, 730, 10.662, 15.909, 5.246, 21, 0, 15.909, 17.227, 1.318, 1168, 17.227, 18.215, 0.989, 10, 0, 18.215, 22.996, 4.781, 2191, 22.996, 23.663, 0.667, 6, 0, 23.663, 25.251, 1.588, 1461, 25.251, 25.597, 0.346, 3, 0,    15.386,
 7, 1, 7, 7, 10.949, 3.949, 11, 0, 10.949, 11.583, 0.634, 564, 11.583, 17.463, 5.88, 16, 0, 17.463, 18.482, 1.02, 903, 18.482, 19.293, 0.811, 8, 0, 19.293, 24.693, 5.4, 1694, 24.693, 25.414, 0.721, 5, 0, 25.414, 26.549, 1.135, 1129, 26.549, 26.762, 0.212, 2, 0,    15.601,
 8, 1, 8, 8, 12.485, 4.485, 15, 0, 12.485, 13.311, 0.827, 780, 13.311, 19.478, 6.167, 22, 0, 19.478, 20.83, 1.352, 1248, 20.83, 22, 1.17, 11, 0, 22, 27.193, 5.193, 2341, 27.193, 27.921, 0.727, 7, 0, 27.921, 29.592, 1.671, 1560, 29.592, 29.894, 0.302, 3, 0,    17.107,
 9, 1, 9, 9, 13.279, 4.279, 8, 0, 13.279, 13.716, 0.437, 428, 13.716, 20.66, 6.944, 12, 0, 20.66, 21.546, 0.887, 684, 21.546, 22.58, 1.034, 6, 0, 22.58, 28.56, 5.98, 1284, 28.56, 28.979, 0.419, 4, 0, 28.979, 30.562, 1.583, 856, 30.562, 30.775, 0.214, 2, 0,    17.283,
