#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 18, 0, 0, 0.826, 0.826, 9000, 0, 0.826, 1.726, 0.9, 496, 1.726, 2.552, 0.826, 14000, 0, 2.552, 6.371, 3.819, 2800, 6.371, 7.165, 0.794, 11000, 0,     5.545,
 2, 18, 2, 2, 2.824, 0.824, 9000, 0, 2.824, 3.875, 1.051, 450, 3.875, 4.825, 0.95, 13000, 0, 4.825, 8.375, 3.55, 2600, 8.375, 9.096, 0.721, 10000, 0,     5.551,
 1, 18, 1, 1, 2.006, 1.006, 11000, 0, 2.006, 3.058, 1.052, 575, 3.058, 4.06, 1.002, 17000, 0, 4.06, 8.707, 4.647, 3400, 8.707, 10.097, 1.39, 14000, 0,     6.701,
 3, 18, 3, 3, 3.824, 0.824, 9000, 0, 3.824, 4.769, 0.945, 492, 4.769, 5.648, 0.879, 14000, 0, 5.648, 10.205, 4.556, 2800, 10.205, 10.993, 0.788, 11000, 0,     6.380,
 4, 18, 4, 4, 4.824, 0.824, 9000, 0, 4.824, 5.634, 0.81, 451, 5.634, 6.413, 0.779, 13000, 0, 6.413, 11.933, 5.52, 2600, 11.933, 12.65, 0.716, 10000, 0,     7.109,
 5, 18, 5, 5, 6.103, 1.103, 12000, 0, 6.103, 7.23, 1.128, 619, 7.23, 8.294, 1.064, 18000, 0, 8.294, 13.625, 5.331, 3600, 13.625, 14.698, 1.073, 15000, 0,     7.522,
 6, 18, 6, 6, 7.107, 1.107, 11000, 0, 7.107, 8.26, 1.153, 561, 8.26, 9.241, 0.981, 16000, 0, 9.241, 14.584, 5.343, 3200, 14.584, 15.627, 1.043, 13000, 0,     7.477,
 7, 18, 7, 7, 8.198, 1.198, 12000, 0, 8.198, 9.4, 1.202, 624, 9.4, 10.46, 1.061, 18000, 0, 10.46, 16.844, 6.383, 3600, 16.844, 17.917, 1.074, 15000, 0,     8.646,
 8, 18, 8, 8, 9.208, 1.208, 11000, 0, 9.208, 10.46, 1.253, 577, 10.46, 11.462, 1.002, 17000, 0, 11.462, 18.263, 6.8, 3400, 18.263, 19.265, 1.002, 14000, 0,     9.055,
 9, 18, 9, 9, 10.208, 1.208, 11000, 0, 10.208, 11.518, 1.311, 582, 11.518, 12.52, 1.002, 17000, 0, 12.52, 19.234, 6.713, 3400, 19.234, 20.265, 1.031, 14000, 0,     9.026,
 10, 18, 10, 10, 11.026, 1.026, 9000, 0, 11.026, 12.407, 1.382, 485, 12.407, 13.344, 0.936, 14000, 0, 13.344, 20.676, 7.332, 2800, 20.676, 21.466, 0.79, 11000, 0,     9.650,
 11, 18, 11, 11, 11.849, 0.849, 9000, 0, 11.849, 13.251, 1.402, 462, 13.251, 14.111, 0.86, 13000, 0, 14.111, 21.816, 7.706, 2600, 21.816, 22.532, 0.716, 10000, 0,     9.967,
 12, 18, 12, 12, 13.107, 1.107, 12000, 0, 13.107, 14.415, 1.308, 641, 14.415, 15.543, 1.128, 19000, 0, 15.543, 24.417, 8.874, 3800, 24.417, 25.49, 1.073, 15000, 0,    11.310,
 13, 18, 13, 13, 14.289, 1.289, 13000, 0, 14.289, 15.61, 1.321, 658, 15.61, 16.729, 1.12, 19000, 0, 16.729, 25.877, 9.147, 3800, 25.877, 26.95, 1.073, 15000, 0,    11.588,
 14, 18, 14, 14, 15.198, 1.198, 10000, 0, 15.198, 16.564, 1.367, 526, 16.564, 17.617, 1.053, 15000, 0, 17.617, 25.916, 8.299, 3000, 25.916, 27.807, 1.891, 12000, 0,    10.718,
 15, 18, 15, 15, 16.113, 1.113, 10000, 0, 16.113, 17.55, 1.437, 542, 17.55, 18.565, 1.016, 16000, 0, 18.565, 28.781, 10.216, 3200, 28.781, 29.712, 0.931, 13000, 0,    12.668,
 17, 18, 17, 17, 17.933, 0.933, 10000, 0, 17.933, 19.461, 1.528, 510, 19.461, 20.405, 0.944, 15000, 0, 20.405, 30.015, 9.61, 3000, 30.015, 30.878, 0.864, 12000, 0,    12.082,
 16, 18, 16, 16, 17.022, 1.022, 10000, 0, 17.022, 18.527, 1.505, 538, 18.527, 19.513, 0.986, 16000, 0, 19.513, 30.244, 10.731, 3200, 30.244, 31.807, 1.563, 13000, 0,    13.222,
 18, 18, 18, 18, 19.006, 1.006, 11000, 0, 19.006, 20.521, 1.515, 583, 20.521, 21.524, 1.002, 17000, 0, 21.524, 33.419, 11.895, 3400, 33.419, 34.421, 1.002, 14000, 0,    14.412,
 19, 18, 19, 19, 19.826, 0.826, 9000, 0, 19.826, 21.357, 1.531, 456, 21.357, 22.294, 0.937, 13000, 0, 22.294, 33.561, 11.267, 2600, 33.561, 35.135, 1.574, 10000, 0,    13.735,
 20, 18, 20, 20, 20.916, 0.916, 10000, 0, 20.916, 22.348, 1.432, 542, 22.348, 23.301, 0.953, 16000, 0, 23.301, 34.618, 11.317, 3200, 34.618, 36.072, 1.454, 13000, 0,    13.702,
 22, 18, 22, 22, 22.916, 0.916, 9000, 0, 22.916, 24.364, 1.448, 458, 24.364, 25.413, 1.05, 13000, 0, 25.413, 37.107, 11.693, 2600, 37.107, 37.824, 0.717, 10000, 0,    14.191,
 21, 18, 21, 21, 22.097, 1.097, 12000, 0, 22.097, 23.518, 1.421, 635, 23.518, 24.643, 1.125, 19000, 0, 24.643, 38.609, 13.966, 3800, 38.609, 39.683, 1.073, 15000, 0,    16.512,
 23, 18, 23, 23, 23.916, 0.916, 10000, 0, 23.916, 25.346, 1.43, 541, 25.346, 26.354, 1.009, 16000, 0, 26.354, 38.999, 12.644, 3200, 38.999, 40.611, 1.612, 13000, 0,    15.083,
 24, 18, 24, 24, 24.824, 0.824, 9000, 0, 24.824, 26.175, 1.351, 457, 26.175, 27.119, 0.944, 13000, 0, 27.119, 40.667, 13.547, 2600, 40.667, 41.384, 0.718, 10000, 0,    15.842,
 25, 18, 25, 25, 26.006, 1.006, 11000, 0, 26.006, 27.192, 1.186, 560, 27.192, 28.136, 0.943, 16000, 0, 28.136, 42.985, 14.849, 3200, 42.985, 43.916, 0.931, 13000, 0,    16.979,
 26, 18, 26, 26, 27.188, 1.188, 13000, 0, 27.188, 28.386, 1.198, 657, 28.386, 29.506, 1.12, 19000, 0, 29.506, 44.19, 14.685, 3800, 44.19, 45.264, 1.074, 15000, 0,    17.002,
 27, 18, 27, 27, 28.19, 1.19, 11000, 0, 28.19, 29.451, 1.261, 579, 29.451, 30.513, 1.062, 17000, 0, 30.513, 45.305, 14.792, 3400, 45.305, 46.307, 1.002, 14000, 0,    17.115,
 28, 18, 28, 28, 29.107, 1.107, 10000, 0, 29.107, 30.395, 1.288, 519, 30.395, 31.395, 1, 15000, 0, 31.395, 47.082, 15.687, 3000, 47.082, 47.951, 0.869, 12000, 0,    17.975,
 30, 18, 30, 30, 30.926, 0.926, 8000, 0, 30.926, 32.347, 1.421, 442, 32.347, 33.368, 1.021, 13000, 0, 33.368, 48.856, 15.488, 2600, 48.856, 49.572, 0.716, 10000, 0,    17.930,
 29, 18, 29, 29, 30.198, 1.198, 12000, 0, 30.198, 31.538, 1.34, 629, 31.538, 32.598, 1.061, 18000, 0, 32.598, 49.104, 16.506, 3600, 49.104, 50.644, 1.54, 15000, 0,    18.906,
 31, 18, 31, 31, 31.824, 0.824, 9000, 0, 31.824, 33.183, 1.359, 455, 33.183, 34.132, 0.949, 13000, 0, 34.132, 50.634, 16.502, 2600, 50.634, 51.359, 0.725, 10000, 0,    18.810,
 33, 18, 33, 33, 34.099, 1.099, 11000, 0, 34.099, 35.351, 1.251, 589, 35.351, 36.362, 1.012, 17000, 0, 36.362, 53.743, 17.38, 3400, 53.743, 54.745, 1.002, 14000, 0,    19.643,
 32, 18, 32, 32, 33.097, 1.097, 12000, 0, 33.097, 34.277, 1.18, 602, 34.277, 35.337, 1.061, 18000, 0, 35.337, 53.77, 18.432, 3600, 53.77, 55.816, 2.046, 15000, 0,    20.673,
 34, 18, 34, 34, 34.826, 0.826, 8000, 0, 34.826, 36.169, 1.343, 448, 36.169, 37.127, 0.958, 13000, 0, 37.127, 54.194, 17.067, 2600, 54.194, 56.534, 2.34, 10000, 0,    19.367,
 36, 18, 36, 36, 37.097, 1.097, 11000, 0, 37.097, 38.354, 1.257, 585, 38.354, 39.356, 1.002, 17000, 0, 39.356, 58.414, 19.058, 3400, 58.414, 59.416, 1.002, 14000, 0,    21.317,
 35, 18, 35, 35, 36.097, 1.097, 12000, 0, 36.097, 37.292, 1.195, 615, 37.292, 38.356, 1.064, 18000, 0, 38.356, 58.669, 20.313, 3600, 58.669, 60.492, 1.823, 15000, 0,    22.572,
 37, 18, 37, 37, 38.097, 1.097, 11000, 0, 38.097, 39.436, 1.339, 588, 39.436, 40.443, 1.007, 17000, 0, 40.443, 58.833, 18.39, 3400, 58.833, 61.497, 2.664, 14000, 0,    20.736,
 38, 18, 38, 38, 38.915, 0.915, 9000, 0, 38.915, 40.332, 1.417, 484, 40.332, 41.267, 0.935, 14000, 0, 41.267, 62.232, 20.966, 2800, 62.232, 63.02, 0.788, 11000, 0,    23.317,
 40, 18, 40, 40, 40.824, 0.824, 9000, 0, 40.824, 42.24, 1.416, 463, 42.24, 43.161, 0.92, 13000, 0, 43.161, 62.379, 19.219, 2600, 62.379, 63.735, 1.355, 10000, 0,    21.555,
 39, 18, 39, 39, 40.006, 1.006, 11000, 0, 40.006, 41.394, 1.388, 582, 41.394, 42.396, 1.002, 17000, 0, 42.396, 63.306, 20.91, 3400, 63.306, 64.735, 1.428, 14000, 0,    23.300,
 42, 18, 42, 42, 42.915, 0.915, 10000, 0, 42.915, 44.278, 1.363, 524, 44.278, 45.222, 0.944, 15000, 0, 45.222, 66.475, 21.253, 3000, 66.475, 67.341, 0.866, 12000, 0,    23.560,
 41, 18, 41, 41, 42.006, 1.006, 11000, 0, 42.006, 43.326, 1.32, 594, 43.326, 44.331, 1.005, 17000, 0, 44.331, 66.884, 22.553, 3400, 66.884, 68.35, 1.466, 14000, 0,    24.878,
 43, 18, 43, 43, 43.824, 0.824, 9000, 0, 43.824, 45.144, 1.32, 477, 45.144, 46.045, 0.902, 14000, 0, 46.045, 67.125, 21.079, 2800, 67.125, 69.135, 2.01, 11000, 0,    23.301,
 44, 18, 44, 44, 44.824, 0.824, 9000, 0, 44.824, 46.038, 1.214, 493, 46.038, 46.87, 0.832, 14000, 0, 46.87, 70.296, 23.425, 2800, 70.296, 71.083, 0.788, 11000, 0,    25.472,
 46, 18, 46, 46, 47.097, 1.097, 11000, 0, 47.097, 48.243, 1.146, 557, 48.243, 49.233, 0.99, 16000, 0, 49.233, 71.497, 22.263, 3200, 71.497, 72.434, 0.937, 13000, 0,    24.400,
 45, 18, 45, 45, 46.097, 1.097, 12000, 0, 46.097, 47.231, 1.135, 627, 47.231, 48.292, 1.061, 18000, 0, 48.292, 71.802, 23.51, 3600, 71.802, 73.515, 1.713, 15000, 0,    25.705,
 47, 18, 47, 47, 48.198, 1.198, 12000, 0, 48.198, 49.359, 1.161, 610, 49.359, 50.419, 1.061, 18000, 0, 50.419, 75.212, 24.792, 3600, 75.212, 76.288, 1.076, 15000, 0,    27.014,
 48, 18, 48, 48, 49.116, 1.116, 10000, 0, 49.116, 50.321, 1.205, 520, 50.321, 51.307, 0.986, 15000, 0, 51.307, 75.593, 24.286, 3000, 75.593, 77.145, 1.552, 12000, 0,    26.477,
 49, 18, 49, 49, 50.116, 1.116, 11000, 0, 50.116, 51.357, 1.241, 571, 51.357, 52.359, 1.002, 17000, 0, 52.359, 76.447, 24.088, 3400, 76.447, 78.145, 1.698, 14000, 0,    26.331,
 51, 18, 51, 51, 52.026, 1.026, 10000, 0, 52.026, 53.416, 1.39, 526, 53.416, 54.332, 0.916, 15000, 0, 54.332, 79.703, 25.37, 3000, 79.703, 80.562, 0.859, 12000, 0,    27.677,
 50, 18, 50, 50, 51.117, 1.117, 11000, 0, 51.117, 52.448, 1.331, 594, 52.448, 53.45, 1.002, 17000, 0, 53.45, 79.85, 26.4, 3400, 79.85, 81.562, 1.712, 14000, 0,    28.733,
 52, 18, 52, 52, 52.935, 0.935, 10000, 0, 52.935, 54.351, 1.416, 506, 54.351, 55.242, 0.891, 15000, 0, 55.242, 80.539, 25.297, 3000, 80.539, 82.419, 1.88, 12000, 0,    27.604,
 54, 18, 54, 54, 54.824, 0.824, 9000, 0, 54.824, 56.186, 1.362, 488, 56.186, 57.012, 0.826, 14000, 0, 57.012, 83.669, 26.657, 2800, 83.669, 84.46, 0.791, 11000, 0,    28.844,
 53, 18, 53, 53, 53.916, 0.916, 10000, 0, 53.916, 55.292, 1.376, 515, 55.292, 56.176, 0.884, 15000, 0, 56.176, 83.813, 27.637, 3000, 83.813, 85.317, 1.504, 12000, 0,    29.897,
 55, 18, 55, 55, 56.098, 1.098, 12000, 0, 56.098, 57.308, 1.21, 613, 57.308, 58.374, 1.066, 18000, 0, 58.374, 85.452, 27.078, 3600, 85.452, 86.526, 1.074, 15000, 0,    29.355,
 56, 18, 56, 56, 57.098, 1.098, 11000, 0, 57.098, 58.35, 1.252, 574, 58.35, 59.375, 1.025, 17000, 0, 59.375, 88.314, 28.94, 3400, 88.314, 89.321, 1.006, 14000, 0,    31.217,
 57, 18, 57, 57, 58.189, 1.189, 12000, 0, 58.189, 59.528, 1.34, 647, 59.528, 60.648, 1.12, 19000, 0, 60.648, 88.996, 28.348, 3800, 88.996, 90.395, 1.399, 15000, 0,    30.808,
 58, 18, 58, 58, 59.098, 1.098, 10000, 0, 59.098, 60.512, 1.415, 532, 60.512, 61.53, 1.018, 15000, 0, 61.53, 89.545, 28.015, 3000, 89.545, 91.255, 1.71, 12000, 0,    30.447,
 60, 18, 60, 60, 60.743, 0.743, 8000, 0, 60.743, 62.294, 1.55, 443, 62.294, 63.24, 0.946, 13000, 0, 63.24, 92.552, 29.312, 2600, 92.552, 93.268, 0.716, 10000, 0,    31.809,
 59, 18, 59, 59, 60.016, 1.016, 10000, 0, 60.016, 61.485, 1.469, 534, 61.485, 62.475, 0.99, 16000, 0, 62.475, 92.692, 30.217, 3200, 92.692, 94.199, 1.508, 13000, 0,    32.676,
 61, 18, 61, 61, 62.006, 1.006, 11000, 0, 62.006, 63.372, 1.366, 593, 63.372, 64.381, 1.009, 17000, 0, 64.381, 94.187, 29.806, 3400, 94.187, 95.203, 1.016, 14000, 0,    32.181,
 62, 18, 62, 62, 62.824, 0.824, 9000, 0, 62.824, 64.265, 1.44, 485, 64.265, 65.205, 0.94, 14000, 0, 65.205, 96.374, 31.169, 2800, 96.374, 97.162, 0.788, 11000, 0,    33.550,
 63, 18, 63, 63, 63.824, 0.824, 9000, 0, 63.824, 65.137, 1.313, 479, 65.137, 66.032, 0.895, 14000, 0, 66.032, 96.511, 30.479, 2800, 96.511, 97.953, 1.442, 11000, 0,    32.686,
 64, 18, 64, 64, 64.824, 0.824, 9000, 0, 64.824, 65.959, 1.135, 450, 65.959, 66.797, 0.837, 13000, 0, 66.797, 97.745, 30.948, 2600, 97.745, 98.672, 0.928, 10000, 0,    32.920,
 66, 18, 66, 66, 66.915, 0.915, 10000, 0, 66.915, 67.955, 1.04, 503, 67.955, 68.922, 0.966, 15000, 0, 68.922, 100.602, 31.681, 3000, 100.602, 101.461, 0.859, 12000, 0,    33.687,
 65, 18, 65, 65, 66.006, 1.006, 11000, 0, 66.006, 67.037, 1.031, 571, 67.037, 68.039, 1.002, 17000, 0, 68.039, 101.016, 32.977, 3400, 101.016, 102.463, 1.447, 14000, 0,    35.010,
 67, 18, 67, 67, 67.915, 0.915, 10000, 0, 67.915, 68.9, 0.985, 520, 68.9, 69.804, 0.903, 15000, 0, 69.804, 101.837, 32.033, 3000, 101.837, 103.32, 1.483, 12000, 0,    33.921,
 69, 18, 69, 69, 70.097, 1.097, 10000, 0, 70.097, 71.344, 1.248, 536, 71.344, 72.434, 1.09, 16000, 0, 72.434, 105.381, 32.946, 3200, 105.381, 106.311, 0.931, 13000, 0,    35.284,
 68, 18, 68, 68, 69.188, 1.188, 13000, 0, 69.188, 70.367, 1.179, 650, 70.367, 71.487, 1.12, 19000, 0, 71.487, 105.785, 34.298, 3800, 105.785, 107.384, 1.599, 15000, 0,    36.597,
 70, 18, 70, 70, 71.016, 1.016, 10000, 0, 71.016, 72.343, 1.327, 547, 72.343, 73.378, 1.035, 16000, 0, 73.378, 106.209, 32.831, 3200, 106.209, 108.315, 2.106, 13000, 0,    35.193,
 71, 18, 71, 71, 71.834, 0.834, 9000, 0, 71.834, 73.185, 1.351, 462, 73.185, 74.142, 0.957, 13000, 0, 74.142, 108.926, 34.784, 2600, 108.926, 109.643, 0.716, 10000, 0,    37.092,
 72, 18, 72, 72, 72.915, 0.915, 10000, 0, 72.915, 74.136, 1.221, 514, 74.136, 75.025, 0.889, 15000, 0, 75.025, 109.877, 34.852, 3000, 109.877, 110.736, 0.859, 12000, 0,    36.961,
 73, 18, 73, 73, 73.915, 0.915, 10000, 0, 73.915, 75.129, 1.214, 542, 75.129, 76.075, 0.945, 16000, 0, 76.075, 110.574, 34.499, 3200, 110.574, 111.664, 1.09, 13000, 0,    36.659,
 74, 18, 74, 74, 74.733, 0.733, 8000, 0, 74.733, 75.939, 1.206, 441, 75.939, 76.839, 0.9, 13000, 0, 76.839, 112.486, 35.647, 2600, 112.486, 113.202, 0.716, 10000, 0,    37.752,
 75, 18, 75, 75, 76.006, 1.006, 11000, 0, 76.006, 77.026, 1.02, 561, 77.026, 77.969, 0.943, 16000, 0, 77.969, 114.241, 36.272, 3200, 114.241, 115.172, 0.931, 13000, 0,    38.235,
 76, 18, 76, 76, 76.826, 0.826, 9000, 0, 76.826, 77.886, 1.06, 474, 77.886, 78.793, 0.906, 14000, 0, 78.793, 114.401, 35.608, 2800, 114.401, 115.958, 1.557, 11000, 0,    37.574,
 77, 18, 77, 77, 78.006, 1.006, 11000, 0, 78.006, 79.066, 1.06, 587, 79.066, 80.068, 1.002, 17000, 0, 80.068, 117.123, 37.055, 3400, 117.123, 118.125, 1.002, 14000, 0,    39.117,
 78, 18, 78, 78, 79.006, 1.006, 11000, 0, 79.006, 80.076, 1.07, 552, 80.076, 81.026, 0.949, 16000, 0, 81.026, 118.607, 37.581, 3200, 118.607, 119.538, 0.931, 13000, 0,    39.601,
 79, 18, 79, 79, 80.006, 1.006, 11000, 0, 80.006, 81.126, 1.12, 574, 81.126, 82.128, 1.002, 17000, 0, 82.128, 119.056, 36.928, 3400, 119.056, 120.538, 1.482, 14000, 0,    39.050,
 80, 18, 80, 80, 81.097, 1.097, 12000, 0, 81.097, 82.263, 1.166, 623, 82.263, 83.33, 1.068, 18000, 0, 83.33, 122.034, 38.704, 3600, 122.034, 123.108, 1.073, 15000, 0,    40.937,
 82, 18, 82, 82, 83.106, 1.106, 10000, 0, 83.106, 84.34, 1.234, 525, 84.34, 85.332, 0.991, 15000, 0, 85.332, 123.151, 37.82, 3000, 123.151, 124.011, 0.859, 12000, 0,    40.045,
 81, 18, 81, 81, 82.19, 1.19, 12000, 0, 82.19, 83.387, 1.197, 616, 83.387, 84.45, 1.063, 18000, 0, 84.45, 123.518, 39.068, 3600, 123.518, 125.082, 1.564, 15000, 0,    41.328,
 84, 18, 84, 84, 85.016, 1.016, 9000, 0, 85.016, 86.374, 1.359, 475, 86.374, 87.437, 1.062, 14000, 0, 87.437, 126.971, 39.534, 2800, 126.971, 127.759, 0.788, 11000, 0,    41.955,
 83, 18, 83, 83, 84.197, 1.197, 12000, 0, 84.197, 85.493, 1.296, 635, 85.493, 86.613, 1.12, 19000, 0, 86.613, 127.217, 40.604, 3800, 127.217, 128.831, 1.613, 15000, 0,    43.020,
 85, 18, 85, 85, 85.834, 0.834, 9000, 0, 85.834, 87.236, 1.403, 475, 87.236, 88.263, 1.027, 14000, 0, 88.263, 127.341, 39.078, 2800, 127.341, 129.617, 2.276, 11000, 0,    41.507,
 87, 18, 87, 87, 87.916, 0.916, 10000, 0, 87.916, 89.216, 1.3, 515, 89.216, 90.164, 0.948, 15000, 0, 90.164, 131.325, 41.161, 3000, 131.325, 132.184, 0.859, 12000, 0,    43.409,
 86, 18, 86, 86, 87.006, 1.006, 11000, 0, 87.006, 88.272, 1.266, 568, 88.272, 89.274, 1.002, 17000, 0, 89.274, 131.613, 42.339, 3400, 131.613, 133.185, 1.572, 14000, 0,    44.607,
