time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,chain2,Ingress3,13,13,SF-A,680,19,SF-B,1088,9,SF-D,1360,5,Egress2,1000.0
1.0,chain2,Ingress3,8,8,SF-A,447,12,SF-B,716,6,SF-D,895,3,Egress2,1000.0
2.0,chain2,Ingress3,11,11,SF-A,561,16,SF-B,898,8,SF-D,1123,4,Egress2,1000.0
3.0,chain2,Ingress3,7,7,SF-A,377,10,SF-B,604,5,SF-D,755,2,Egress2,1000.0
4.0,chain2,Ingress3,9,9,SF-A,466,13,SF-B,745,6,SF-D,932,3,Egress2,1000.0
5.0,chain2,Ingress3,6,6,SF-A,338,9,SF-B,541,4,SF-D,677,2,Egress2,1000.0
6.0,chain2,Ingress3,8,8,SF-A,449,12,SF-B,719,6,SF-D,898,3,Egress2,1000.0
7.0,chain2,Ingress3,11,11,SF-A,561,16,SF-B,898,8,SF-D,1122,4,Egress2,1000.0
8.0,chain2,Ingress3,6,6,SF-A,302,9,SF-B,484,4,SF-D,605,2,Egress2,1000.0
9.0,chain2,Ingress3,6,6,SF-A,306,9,SF-B,489,4,SF-D,612,2,Egress2,1000.0
10.0,chain2,Ingress3,12,12,SF-A,604,18,SF-B,967,9,SF-D,1209,5,Egress2,1000.0
11.0,chain2,Ingress3,8,8,SF-A,423,12,SF-B,677,6,SF-D,846,3,Egress2,1000.0
12.0,chain2,Ingress3,6,6,SF-A,336,9,SF-B,538,4,SF-D,673,2,Egress2,1000.0
13.0,chain2,Ingress3,7,7,SF-A,350,10,SF-B,561,5,SF-D,701,2,Egress2,1000.0
14.0,chain2,Ingress3,14,14,SF-A,748,21,SF-B,1197,10,SF-D,1496,5,Egress2,1000.0
15.0,chain2,Ingress3,14,14,SF-A,708,21,SF-B,1134,10,SF-D,1417,5,Egress2,1000.0
16.0,chain2,Ingress3,11,11,SF-A,585,16,SF-B,937,8,SF-D,1171,4,Egress2,1000.0
17.0,chain2,Ingress3,6,6,SF-A,301,9,SF-B,482,4,SF-D,603,2,Egress2,1000.0
18.0,chain2,Ingress3,6,6,SF-A,316,9,SF-B,505,4,SF-D,632,2,Egress2,1000.0
19.0,chain2,Ingress3,12,12,SF-A,617,18,SF-B,988,9,SF-D,1235,5,Egress2,1000.0
20.0,chain2,Ingress3,14,14,SF-A,735,21,SF-B,1177,10,SF-D,1471,5,Egress2,1000.0
21.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,749,6,SF-D,937,3,Egress2,1000.0
22.0,chain2,Ingress3,13,13,SF-A,653,19,SF-B,1045,9,SF-D,1307,5,Egress2,1000.0
23.0,chain2,Ingress3,11,11,SF-A,566,16,SF-B,906,8,SF-D,1132,4,Egress2,1000.0
24.0,chain2,Ingress3,7,7,SF-A,376,10,SF-B,602,5,SF-D,752,2,Egress2,1000.0
25.0,chain2,Ingress3,11,11,SF-A,582,16,SF-B,931,8,SF-D,1164,4,Egress2,1000.0
26.0,chain2,Ingress3,6,6,SF-A,303,9,SF-B,484,4,SF-D,606,2,Egress2,1000.0
27.0,chain2,Ingress3,12,12,SF-A,629,18,SF-B,1006,9,SF-D,1258,5,Egress2,1000.0
