time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),VM4,cloudlet.4(MI),Transmission5(MB),Egress,latency_demand(s)
0.0,chain1,Ingress1,14,14,SF-A,713,21,SF-B,1141,10,SF-C,2139,6,SF-D,1426,3,Egress1,1000.0
1.0,chain1,Ingress1,14,14,SF-A,701,21,SF-B,1122,10,SF-C,2105,6,SF-D,1403,3,Egress1,1000.0
2.0,chain1,Ingress1,13,13,SF-A,672,19,SF-B,1075,9,SF-C,2016,6,SF-D,1344,3,Egress1,1000.0
3.0,chain1,Ingress1,17,17,SF-A,894,25,SF-B,1430,12,SF-C,2682,8,SF-D,1788,4,Egress1,1000.0
4.0,chain1,Ingress1,13,13,SF-A,699,19,SF-B,1118,9,SF-C,2097,6,SF-D,1398,3,Egress1,1000.0
5.0,chain1,Ingress1,13,13,SF-A,671,19,SF-B,1074,9,SF-C,2015,6,SF-D,1343,3,Egress1,1000.0
6.0,chain1,Ingress1,17,17,SF-A,894,25,SF-B,1431,12,SF-C,2684,8,SF-D,1789,4,Egress1,1000.0
7.0,chain1,Ingress1,17,17,SF-A,861,25,SF-B,1377,12,SF-C,2583,8,SF-D,1722,4,Egress1,1000.0
8.0,chain1,Ingress1,16,16,SF-A,847,24,SF-B,1356,12,SF-C,2543,8,SF-D,1695,4,Egress1,1000.0
9.0,chain1,Ingress1,15,15,SF-A,792,22,SF-B,1267,11,SF-C,2377,7,SF-D,1584,3,Egress1,1000.0
10.0,chain1,Ingress1,17,17,SF-A,871,25,SF-B,1395,12,SF-C,2615,8,SF-D,1743,4,Egress1,1000.0
11.0,chain1,Ingress1,14,14,SF-A,715,21,SF-B,1145,10,SF-C,2147,6,SF-D,1431,3,Egress1,1000.0
12.0,chain1,Ingress1,15,15,SF-A,786,22,SF-B,1257,11,SF-C,2358,7,SF-D,1572,3,Egress1,1000.0
13.0,chain1,Ingress1,12,12,SF-A,602,18,SF-B,964,9,SF-C,1807,6,SF-D,1205,3,Egress1,1000.0
14.0,chain1,Ingress1,17,17,SF-A,854,25,SF-B,1367,12,SF-C,2564,8,SF-D,1709,4,Egress1,1000.0
15.0,chain1,Ingress1,14,14,SF-A,737,21,SF-B,1180,10,SF-C,2213,6,SF-D,1475,3,Egress1,1000.0
16.0,chain1,Ingress1,13,13,SF-A,691,19,SF-B,1106,9,SF-C,2075,6,SF-D,1383,3,Egress1,1000.0
17.0,chain1,Ingress1,12,12,SF-A,621,18,SF-B,994,9,SF-C,1864,6,SF-D,1242,3,Egress1,1000.0
18.0,chain1,Ingress1,12,12,SF-A,634,18,SF-B,1014,9,SF-C,1902,6,SF-D,1268,3,Egress1,1000.0
19.0,chain1,Ingress1,17,17,SF-A,875,25,SF-B,1401,12,SF-C,2627,8,SF-D,1751,4,Egress1,1000.0
