time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,chain2,Ingress3,9,9,SF-A,456,13,SF-B,730,6,SF-D,913,3,Egress2,1000.0
1.0,chain2,Ingress3,8,8,SF-A,428,12,SF-B,685,6,SF-D,856,3,Egress2,1000.0
2.0,chain2,Ingress3,11,11,SF-A,561,16,SF-B,898,8,SF-D,1122,4,Egress2,1000.0
3.0,chain2,Ingress3,9,9,SF-A,457,13,SF-B,732,6,SF-D,915,3,Egress2,1000.0
4.0,chain2,Ingress3,10,10,SF-A,510,15,SF-B,817,7,SF-D,1021,3,Egress2,1000.0
5.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,836,7,SF-D,1045,3,Egress2,1000.0
6.0,chain2,Ingress3,8,8,SF-A,401,12,SF-B,642,6,SF-D,802,3,Egress2,1000.0
7.0,chain2,Ingress3,9,9,SF-A,458,13,SF-B,734,6,SF-D,917,3,Egress2,1000.0
8.0,chain2,Ingress3,11,11,SF-A,586,16,SF-B,938,8,SF-D,1173,4,Egress2,1000.0
9.0,chain2,Ingress3,10,10,SF-A,511,15,SF-B,818,7,SF-D,1023,3,Egress2,1000.0
10.0,chain2,Ingress3,9,9,SF-A,452,13,SF-B,724,6,SF-D,905,3,Egress2,1000.0
11.0,chain2,Ingress3,11,11,SF-A,581,16,SF-B,930,8,SF-D,1163,4,Egress2,1000.0
12.0,chain2,Ingress3,11,11,SF-A,599,16,SF-B,959,8,SF-D,1199,4,Egress2,1000.0
13.0,chain2,Ingress3,11,11,SF-A,565,16,SF-B,904,8,SF-D,1130,4,Egress2,1000.0
14.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,851,7,SF-D,1064,3,Egress2,1000.0
15.0,chain2,Ingress3,9,9,SF-A,454,13,SF-B,727,6,SF-D,909,3,Egress2,1000.0
16.0,chain2,Ingress3,10,10,SF-A,521,15,SF-B,834,7,SF-D,1042,3,Egress2,1000.0
17.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,766,6,SF-D,957,3,Egress2,1000.0
18.0,chain2,Ingress3,10,10,SF-A,501,15,SF-B,801,7,SF-D,1002,3,Egress2,1000.0
19.0,chain2,Ingress3,9,9,SF-A,455,13,SF-B,728,6,SF-D,910,3,Egress2,1000.0
20.0,chain2,Ingress3,10,10,SF-A,516,15,SF-B,826,7,SF-D,1033,3,Egress2,1000.0
21.0,chain2,Ingress3,9,9,SF-A,488,13,SF-B,781,6,SF-D,977,3,Egress2,1000.0
22.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,698,6,SF-D,872,3,Egress2,1000.0
23.0,chain2,Ingress3,8,8,SF-A,400,12,SF-B,640,6,SF-D,801,3,Egress2,1000.0
24.0,chain2,Ingress3,9,9,SF-A,487,13,SF-B,779,6,SF-D,974,3,Egress2,1000.0
25.0,chain2,Ingress3,10,10,SF-A,514,15,SF-B,823,7,SF-D,1029,3,Egress2,1000.0
26.0,chain2,Ingress3,10,10,SF-A,542,15,SF-B,868,7,SF-D,1085,3,Egress2,1000.0
27.0,chain2,Ingress3,8,8,SF-A,445,12,SF-B,712,6,SF-D,890,3,Egress2,1000.0
28.0,chain2,Ingress3,11,11,SF-A,597,16,SF-B,956,8,SF-D,1195,4,Egress2,1000.0
29.0,chain2,Ingress3,10,10,SF-A,529,15,SF-B,847,7,SF-D,1059,3,Egress2,1000.0
30.0,chain2,Ingress3,9,9,SF-A,499,13,SF-B,799,6,SF-D,999,3,Egress2,1000.0
31.0,chain2,Ingress3,10,10,SF-A,506,15,SF-B,810,7,SF-D,1013,3,Egress2,1000.0
32.0,chain2,Ingress3,10,10,SF-A,504,15,SF-B,807,7,SF-D,1009,3,Egress2,1000.0
33.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,749,6,SF-D,936,3,Egress2,1000.0
34.0,chain2,Ingress3,9,9,SF-A,464,13,SF-B,743,6,SF-D,929,3,Egress2,1000.0
35.0,chain2,Ingress3,11,11,SF-A,596,16,SF-B,954,8,SF-D,1193,4,Egress2,1000.0
36.0,chain2,Ingress3,11,11,SF-A,559,16,SF-B,894,8,SF-D,1118,4,Egress2,1000.0
37.0,chain2,Ingress3,10,10,SF-A,541,15,SF-B,865,7,SF-D,1082,3,Egress2,1000.0
38.0,chain2,Ingress3,11,11,SF-A,565,16,SF-B,904,8,SF-D,1131,4,Egress2,1000.0
39.0,chain2,Ingress3,8,8,SF-A,422,12,SF-B,675,6,SF-D,844,3,Egress2,1000.0
40.0,chain2,Ingress3,9,9,SF-A,491,13,SF-B,785,6,SF-D,982,3,Egress2,1000.0
41.0,chain2,Ingress3,11,11,SF-A,555,16,SF-B,888,8,SF-D,1110,4,Egress2,1000.0
42.0,chain2,Ingress3,9,9,SF-A,495,13,SF-B,793,6,SF-D,991,3,Egress2,1000.0
43.0,chain2,Ingress3,9,9,SF-A,466,13,SF-B,745,6,SF-D,932,3,Egress2,1000.0
44.0,chain2,Ingress3,9,9,SF-A,480,13,SF-B,768,6,SF-D,960,3,Egress2,1000.0
45.0,chain2,Ingress3,11,11,SF-A,583,16,SF-B,933,8,SF-D,1166,4,Egress2,1000.0
46.0,chain2,Ingress3,8,8,SF-A,434,12,SF-B,695,6,SF-D,869,3,Egress2,1000.0
47.0,chain2,Ingress3,8,8,SF-A,426,12,SF-B,682,6,SF-D,853,3,Egress2,1000.0
48.0,chain2,Ingress3,11,11,SF-A,587,16,SF-B,939,8,SF-D,1174,4,Egress2,1000.0
49.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,698,6,SF-D,872,3,Egress2,1000.0
50.0,chain2,Ingress3,8,8,SF-A,418,12,SF-B,669,6,SF-D,837,3,Egress2,1000.0
51.0,chain2,Ingress3,10,10,SF-A,512,15,SF-B,819,7,SF-D,1024,3,Egress2,1000.0
52.0,chain2,Ingress3,11,11,SF-A,581,16,SF-B,929,8,SF-D,1162,4,Egress2,1000.0
53.0,chain2,Ingress3,9,9,SF-A,458,13,SF-B,733,6,SF-D,916,3,Egress2,1000.0
54.0,chain2,Ingress3,10,10,SF-A,511,15,SF-B,818,7,SF-D,1022,3,Egress2,1000.0
55.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,784,6,SF-D,980,3,Egress2,1000.0
56.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
57.0,chain2,Ingress3,10,10,SF-A,526,15,SF-B,842,7,SF-D,1052,3,Egress2,1000.0
58.0,chain2,Ingress3,9,9,SF-A,458,13,SF-B,734,6,SF-D,917,3,Egress2,1000.0
59.0,chain2,Ingress3,10,10,SF-A,527,15,SF-B,843,7,SF-D,1054,3,Egress2,1000.0
60.0,chain2,Ingress3,10,10,SF-A,528,15,SF-B,845,7,SF-D,1056,3,Egress2,1000.0
61.0,chain2,Ingress3,11,11,SF-A,574,16,SF-B,919,8,SF-D,1149,4,Egress2,1000.0
62.0,chain2,Ingress3,10,10,SF-A,518,15,SF-B,829,7,SF-D,1036,3,Egress2,1000.0
63.0,chain2,Ingress3,8,8,SF-A,406,12,SF-B,649,6,SF-D,812,3,Egress2,1000.0
64.0,chain2,Ingress3,8,8,SF-A,401,12,SF-B,642,6,SF-D,802,3,Egress2,1000.0
65.0,chain2,Ingress3,9,9,SF-A,491,13,SF-B,785,6,SF-D,982,3,Egress2,1000.0
66.0,chain2,Ingress3,8,8,SF-A,423,12,SF-B,678,6,SF-D,847,3,Egress2,1000.0
67.0,chain2,Ingress3,11,11,SF-A,569,16,SF-B,911,8,SF-D,1139,4,Egress2,1000.0
68.0,chain2,Ingress3,10,10,SF-A,502,15,SF-B,804,7,SF-D,1005,3,Egress2,1000.0
69.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,852,7,SF-D,1065,3,Egress2,1000.0
70.0,chain2,Ingress3,10,10,SF-A,533,15,SF-B,854,7,SF-D,1067,3,Egress2,1000.0
71.0,chain2,Ingress3,10,10,SF-A,520,15,SF-B,832,7,SF-D,1040,3,Egress2,1000.0
72.0,chain2,Ingress3,9,9,SF-A,467,13,SF-B,747,6,SF-D,934,3,Egress2,1000.0
73.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,652,6,SF-D,815,3,Egress2,1000.0
74.0,chain2,Ingress3,11,11,SF-A,567,16,SF-B,908,8,SF-D,1135,4,Egress2,1000.0
75.0,chain2,Ingress3,9,9,SF-A,489,13,SF-B,783,6,SF-D,979,3,Egress2,1000.0
76.0,chain2,Ingress3,8,8,SF-A,445,12,SF-B,712,6,SF-D,890,3,Egress2,1000.0
77.0,chain2,Ingress3,9,9,SF-A,480,13,SF-B,769,6,SF-D,961,3,Egress2,1000.0
78.0,chain2,Ingress3,11,11,SF-A,557,16,SF-B,892,8,SF-D,1115,4,Egress2,1000.0
79.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,749,6,SF-D,936,3,Egress2,1000.0
80.0,chain2,Ingress3,10,10,SF-A,549,15,SF-B,879,7,SF-D,1099,3,Egress2,1000.0
81.0,chain2,Ingress3,10,10,SF-A,528,15,SF-B,845,7,SF-D,1056,3,Egress2,1000.0
82.0,chain2,Ingress3,10,10,SF-A,543,15,SF-B,869,7,SF-D,1087,3,Egress2,1000.0
83.0,chain2,Ingress3,9,9,SF-A,477,13,SF-B,764,6,SF-D,955,3,Egress2,1000.0
84.0,chain2,Ingress3,9,9,SF-A,471,13,SF-B,754,6,SF-D,943,3,Egress2,1000.0
85.0,chain2,Ingress3,8,8,SF-A,431,12,SF-B,689,6,SF-D,862,3,Egress2,1000.0
86.0,chain2,Ingress3,11,11,SF-A,573,16,SF-B,916,8,SF-D,1146,4,Egress2,1000.0
87.0,chain2,Ingress3,8,8,SF-A,444,12,SF-B,710,6,SF-D,888,3,Egress2,1000.0
88.0,chain2,Ingress3,8,8,SF-A,435,12,SF-B,697,6,SF-D,871,3,Egress2,1000.0
89.0,chain2,Ingress3,8,8,SF-A,443,12,SF-B,710,6,SF-D,887,3,Egress2,1000.0
90.0,chain2,Ingress3,10,10,SF-A,526,15,SF-B,841,7,SF-D,1052,3,Egress2,1000.0
91.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,764,6,SF-D,956,3,Egress2,1000.0
92.0,chain2,Ingress3,9,9,SF-A,469,13,SF-B,751,6,SF-D,939,3,Egress2,1000.0
93.0,chain2,Ingress3,8,8,SF-A,427,12,SF-B,683,6,SF-D,854,3,Egress2,1000.0
94.0,chain2,Ingress3,9,9,SF-A,476,13,SF-B,763,6,SF-D,953,3,Egress2,1000.0
95.0,chain2,Ingress3,8,8,SF-A,401,12,SF-B,642,6,SF-D,802,3,Egress2,1000.0
96.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,852,7,SF-D,1065,3,Egress2,1000.0
97.0,chain2,Ingress3,8,8,SF-A,429,12,SF-B,687,6,SF-D,859,3,Egress2,1000.0
98.0,chain2,Ingress3,11,11,SF-A,550,16,SF-B,881,8,SF-D,1101,4,Egress2,1000.0
99.0,chain2,Ingress3,9,9,SF-A,461,13,SF-B,737,6,SF-D,922,3,Egress2,1000.0
100.0,chain2,Ingress3,8,8,SF-A,437,12,SF-B,700,6,SF-D,875,3,Egress2,1000.0
101.0,chain2,Ingress3,10,10,SF-A,545,15,SF-B,872,7,SF-D,1090,3,Egress2,1000.0
102.0,chain2,Ingress3,9,9,SF-A,473,13,SF-B,757,6,SF-D,946,3,Egress2,1000.0
103.0,chain2,Ingress3,9,9,SF-A,471,13,SF-B,754,6,SF-D,943,3,Egress2,1000.0
104.0,chain2,Ingress3,8,8,SF-A,448,12,SF-B,717,6,SF-D,896,3,Egress2,1000.0
105.0,chain2,Ingress3,10,10,SF-A,538,15,SF-B,862,7,SF-D,1077,3,Egress2,1000.0
106.0,chain2,Ingress3,11,11,SF-A,571,16,SF-B,914,8,SF-D,1142,4,Egress2,1000.0
107.0,chain2,Ingress3,10,10,SF-A,544,15,SF-B,870,7,SF-D,1088,3,Egress2,1000.0
108.0,chain2,Ingress3,8,8,SF-A,423,12,SF-B,677,6,SF-D,847,3,Egress2,1000.0
109.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,860,7,SF-D,1075,3,Egress2,1000.0
110.0,chain2,Ingress3,9,9,SF-A,462,13,SF-B,740,6,SF-D,925,3,Egress2,1000.0
111.0,chain2,Ingress3,10,10,SF-A,516,15,SF-B,826,7,SF-D,1033,3,Egress2,1000.0
112.0,chain2,Ingress3,8,8,SF-A,416,12,SF-B,666,6,SF-D,833,3,Egress2,1000.0
113.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,699,6,SF-D,873,3,Egress2,1000.0
114.0,chain2,Ingress3,11,11,SF-A,597,16,SF-B,956,8,SF-D,1195,4,Egress2,1000.0
115.0,chain2,Ingress3,11,11,SF-A,567,16,SF-B,908,8,SF-D,1135,4,Egress2,1000.0
116.0,chain2,Ingress3,11,11,SF-A,591,16,SF-B,946,8,SF-D,1183,4,Egress2,1000.0
117.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,644,6,SF-D,805,3,Egress2,1000.0
118.0,chain2,Ingress3,8,8,SF-A,413,12,SF-B,661,6,SF-D,827,3,Egress2,1000.0
119.0,chain2,Ingress3,11,11,SF-A,581,16,SF-B,930,8,SF-D,1162,4,Egress2,1000.0
120.0,chain2,Ingress3,11,11,SF-A,597,16,SF-B,956,8,SF-D,1195,4,Egress2,1000.0
121.0,chain2,Ingress3,11,11,SF-A,572,16,SF-B,915,8,SF-D,1144,4,Egress2,1000.0
122.0,chain2,Ingress3,10,10,SF-A,544,15,SF-B,871,7,SF-D,1088,3,Egress2,1000.0
123.0,chain2,Ingress3,9,9,SF-A,480,13,SF-B,768,6,SF-D,960,3,Egress2,1000.0
124.0,chain2,Ingress3,10,10,SF-A,511,15,SF-B,818,7,SF-D,1023,3,Egress2,1000.0
125.0,chain2,Ingress3,9,9,SF-A,481,13,SF-B,770,6,SF-D,962,3,Egress2,1000.0
126.0,chain2,Ingress3,8,8,SF-A,425,12,SF-B,681,6,SF-D,851,3,Egress2,1000.0
127.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,659,6,SF-D,824,3,Egress2,1000.0
128.0,chain2,Ingress3,9,9,SF-A,452,13,SF-B,724,6,SF-D,905,3,Egress2,1000.0
129.0,chain2,Ingress3,11,11,SF-A,585,16,SF-B,937,8,SF-D,1171,4,Egress2,1000.0
130.0,chain2,Ingress3,10,10,SF-A,543,15,SF-B,869,7,SF-D,1086,3,Egress2,1000.0
131.0,chain2,Ingress3,8,8,SF-A,441,12,SF-B,706,6,SF-D,883,3,Egress2,1000.0
132.0,chain2,Ingress3,8,8,SF-A,403,12,SF-B,646,6,SF-D,807,3,Egress2,1000.0
133.0,chain2,Ingress3,11,11,SF-A,596,16,SF-B,954,8,SF-D,1193,4,Egress2,1000.0
134.0,chain2,Ingress3,11,11,SF-A,575,16,SF-B,920,8,SF-D,1150,4,Egress2,1000.0
