time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,chain3,Ingress3,10,10,SF-A,535,15,SF-D,1071,8,Egress3,1000.0
1.0,chain3,Ingress3,9,9,SF-A,455,13,SF-D,910,7,Egress3,1000.0
2.0,chain3,Ingress3,10,10,SF-A,506,15,SF-D,1012,8,Egress3,1000.0
3.0,chain3,Ingress3,8,8,SF-A,441,12,SF-D,883,6,Egress3,1000.0
4.0,chain3,Ingress3,8,8,SF-A,440,12,SF-D,880,6,Egress3,1000.0
5.0,chain3,Ingress3,9,9,SF-A,484,13,SF-D,969,7,Egress3,1000.0
6.0,chain3,Ingress3,8,8,SF-A,427,12,SF-D,855,6,Egress3,1000.0
7.0,chain3,Ingress3,11,11,SF-A,590,16,SF-D,1180,8,Egress3,1000.0
8.0,chain3,Ingress3,8,8,SF-A,437,12,SF-D,874,6,Egress3,1000.0
9.0,chain3,Ingress3,8,8,SF-A,422,12,SF-D,845,6,Egress3,1000.0
10.0,chain3,Ingress3,10,10,SF-A,510,15,SF-D,1021,8,Egress3,1000.0
11.0,chain3,Ingress3,9,9,SF-A,462,13,SF-D,924,7,Egress3,1000.0
12.0,chain3,Ingress3,8,8,SF-A,417,12,SF-D,835,6,Egress3,1000.0
13.0,chain3,Ingress3,9,9,SF-A,459,13,SF-D,919,7,Egress3,1000.0
14.0,chain3,Ingress3,11,11,SF-A,562,16,SF-D,1125,8,Egress3,1000.0
15.0,chain3,Ingress3,9,9,SF-A,456,13,SF-D,913,7,Egress3,1000.0
16.0,chain3,Ingress3,11,11,SF-A,577,16,SF-D,1155,8,Egress3,1000.0
17.0,chain3,Ingress3,10,10,SF-A,514,15,SF-D,1029,8,Egress3,1000.0
18.0,chain3,Ingress3,10,10,SF-A,520,15,SF-D,1041,8,Egress3,1000.0
19.0,chain3,Ingress3,9,9,SF-A,453,13,SF-D,906,7,Egress3,1000.0
20.0,chain3,Ingress3,10,10,SF-A,503,15,SF-D,1006,8,Egress3,1000.0
21.0,chain3,Ingress3,8,8,SF-A,420,12,SF-D,840,6,Egress3,1000.0
22.0,chain3,Ingress3,10,10,SF-A,526,15,SF-D,1052,8,Egress3,1000.0
23.0,chain3,Ingress3,10,10,SF-A,526,15,SF-D,1053,8,Egress3,1000.0
24.0,chain3,Ingress3,9,9,SF-A,497,13,SF-D,995,7,Egress3,1000.0
25.0,chain3,Ingress3,8,8,SF-A,439,12,SF-D,878,6,Egress3,1000.0
26.0,chain3,Ingress3,10,10,SF-A,500,15,SF-D,1001,8,Egress3,1000.0
27.0,chain3,Ingress3,9,9,SF-A,479,13,SF-D,958,7,Egress3,1000.0
28.0,chain3,Ingress3,8,8,SF-A,412,12,SF-D,824,6,Egress3,1000.0
29.0,chain3,Ingress3,9,9,SF-A,453,13,SF-D,906,7,Egress3,1000.0
30.0,chain3,Ingress3,11,11,SF-A,593,16,SF-D,1187,8,Egress3,1000.0
31.0,chain3,Ingress3,8,8,SF-A,415,12,SF-D,831,6,Egress3,1000.0
32.0,chain3,Ingress3,10,10,SF-A,505,15,SF-D,1010,8,Egress3,1000.0
33.0,chain3,Ingress3,9,9,SF-A,484,13,SF-D,969,7,Egress3,1000.0
34.0,chain3,Ingress3,8,8,SF-A,437,12,SF-D,874,6,Egress3,1000.0
35.0,chain3,Ingress3,11,11,SF-A,599,16,SF-D,1198,8,Egress3,1000.0
36.0,chain3,Ingress3,11,11,SF-A,579,16,SF-D,1158,8,Egress3,1000.0
37.0,chain3,Ingress3,8,8,SF-A,443,12,SF-D,886,6,Egress3,1000.0
38.0,chain3,Ingress3,8,8,SF-A,407,12,SF-D,814,6,Egress3,1000.0
39.0,chain3,Ingress3,8,8,SF-A,424,12,SF-D,849,6,Egress3,1000.0
40.0,chain3,Ingress3,11,11,SF-A,557,16,SF-D,1115,8,Egress3,1000.0
41.0,chain3,Ingress3,10,10,SF-A,549,15,SF-D,1099,8,Egress3,1000.0
42.0,chain3,Ingress3,8,8,SF-A,449,12,SF-D,899,6,Egress3,1000.0
43.0,chain3,Ingress3,9,9,SF-A,452,13,SF-D,904,7,Egress3,1000.0
44.0,chain3,Ingress3,8,8,SF-A,415,12,SF-D,830,6,Egress3,1000.0
45.0,chain3,Ingress3,9,9,SF-A,476,13,SF-D,952,7,Egress3,1000.0
46.0,chain3,Ingress3,9,9,SF-A,498,13,SF-D,996,7,Egress3,1000.0
47.0,chain3,Ingress3,8,8,SF-A,412,12,SF-D,824,6,Egress3,1000.0
48.0,chain3,Ingress3,9,9,SF-A,495,13,SF-D,991,7,Egress3,1000.0
49.0,chain3,Ingress3,11,11,SF-A,592,16,SF-D,1185,8,Egress3,1000.0
50.0,chain3,Ingress3,10,10,SF-A,538,15,SF-D,1076,8,Egress3,1000.0
51.0,chain3,Ingress3,10,10,SF-A,535,15,SF-D,1071,8,Egress3,1000.0
52.0,chain3,Ingress3,9,9,SF-A,488,13,SF-D,976,7,Egress3,1000.0
53.0,chain3,Ingress3,10,10,SF-A,509,15,SF-D,1018,8,Egress3,1000.0
54.0,chain3,Ingress3,11,11,SF-A,598,16,SF-D,1197,8,Egress3,1000.0
55.0,chain3,Ingress3,8,8,SF-A,433,12,SF-D,866,6,Egress3,1000.0
56.0,chain3,Ingress3,8,8,SF-A,430,12,SF-D,860,6,Egress3,1000.0
57.0,chain3,Ingress3,11,11,SF-A,577,16,SF-D,1154,8,Egress3,1000.0
58.0,chain3,Ingress3,8,8,SF-A,445,12,SF-D,891,6,Egress3,1000.0
59.0,chain3,Ingress3,8,8,SF-A,446,12,SF-D,893,6,Egress3,1000.0
60.0,chain3,Ingress3,10,10,SF-A,507,15,SF-D,1015,8,Egress3,1000.0
61.0,chain3,Ingress3,9,9,SF-A,459,13,SF-D,918,7,Egress3,1000.0
62.0,chain3,Ingress3,8,8,SF-A,419,12,SF-D,838,6,Egress3,1000.0
63.0,chain3,Ingress3,9,9,SF-A,488,13,SF-D,976,7,Egress3,1000.0
64.0,chain3,Ingress3,10,10,SF-A,532,15,SF-D,1064,8,Egress3,1000.0
65.0,chain3,Ingress3,11,11,SF-A,556,16,SF-D,1112,8,Egress3,1000.0
66.0,chain3,Ingress3,10,10,SF-A,518,15,SF-D,1037,8,Egress3,1000.0
67.0,chain3,Ingress3,8,8,SF-A,400,12,SF-D,800,6,Egress3,1000.0
68.0,chain3,Ingress3,10,10,SF-A,527,15,SF-D,1055,8,Egress3,1000.0
69.0,chain3,Ingress3,11,11,SF-A,551,16,SF-D,1102,8,Egress3,1000.0
70.0,chain3,Ingress3,8,8,SF-A,416,12,SF-D,833,6,Egress3,1000.0
71.0,chain3,Ingress3,10,10,SF-A,548,15,SF-D,1097,8,Egress3,1000.0
72.0,chain3,Ingress3,9,9,SF-A,466,13,SF-D,932,7,Egress3,1000.0
73.0,chain3,Ingress3,11,11,SF-A,580,16,SF-D,1160,8,Egress3,1000.0
74.0,chain3,Ingress3,9,9,SF-A,452,13,SF-D,905,7,Egress3,1000.0
75.0,chain3,Ingress3,9,9,SF-A,492,13,SF-D,984,7,Egress3,1000.0
76.0,chain3,Ingress3,10,10,SF-A,543,15,SF-D,1086,8,Egress3,1000.0
77.0,chain3,Ingress3,10,10,SF-A,545,15,SF-D,1091,8,Egress3,1000.0
78.0,chain3,Ingress3,11,11,SF-A,556,16,SF-D,1112,8,Egress3,1000.0
79.0,chain3,Ingress3,10,10,SF-A,514,15,SF-D,1028,8,Egress3,1000.0
80.0,chain3,Ingress3,8,8,SF-A,408,12,SF-D,816,6,Egress3,1000.0
81.0,chain3,Ingress3,10,10,SF-A,528,15,SF-D,1057,8,Egress3,1000.0
82.0,chain3,Ingress3,10,10,SF-A,542,15,SF-D,1085,8,Egress3,1000.0
83.0,chain3,Ingress3,11,11,SF-A,567,16,SF-D,1134,8,Egress3,1000.0
84.0,chain3,Ingress3,11,11,SF-A,590,16,SF-D,1180,8,Egress3,1000.0
85.0,chain3,Ingress3,11,11,SF-A,590,16,SF-D,1181,8,Egress3,1000.0
86.0,chain3,Ingress3,9,9,SF-A,465,13,SF-D,930,7,Egress3,1000.0
87.0,chain3,Ingress3,11,11,SF-A,576,16,SF-D,1152,8,Egress3,1000.0
88.0,chain3,Ingress3,11,11,SF-A,560,16,SF-D,1121,8,Egress3,1000.0
89.0,chain3,Ingress3,11,11,SF-A,563,16,SF-D,1126,8,Egress3,1000.0
90.0,chain3,Ingress3,9,9,SF-A,477,13,SF-D,955,7,Egress3,1000.0
91.0,chain3,Ingress3,10,10,SF-A,532,15,SF-D,1065,8,Egress3,1000.0
92.0,chain3,Ingress3,9,9,SF-A,495,13,SF-D,990,7,Egress3,1000.0
93.0,chain3,Ingress3,11,11,SF-A,589,16,SF-D,1179,8,Egress3,1000.0
94.0,chain3,Ingress3,9,9,SF-A,472,13,SF-D,945,7,Egress3,1000.0
95.0,chain3,Ingress3,9,9,SF-A,486,13,SF-D,973,7,Egress3,1000.0
96.0,chain3,Ingress3,9,9,SF-A,457,13,SF-D,915,7,Egress3,1000.0
97.0,chain3,Ingress3,11,11,SF-A,568,16,SF-D,1136,8,Egress3,1000.0
98.0,chain3,Ingress3,9,9,SF-A,457,13,SF-D,915,7,Egress3,1000.0
99.0,chain3,Ingress3,10,10,SF-A,539,15,SF-D,1079,8,Egress3,1000.0
100.0,chain3,Ingress3,9,9,SF-A,453,13,SF-D,907,7,Egress3,1000.0
101.0,chain3,Ingress3,10,10,SF-A,525,15,SF-D,1051,8,Egress3,1000.0
102.0,chain3,Ingress3,8,8,SF-A,405,12,SF-D,810,6,Egress3,1000.0
103.0,chain3,Ingress3,8,8,SF-A,405,12,SF-D,811,6,Egress3,1000.0
104.0,chain3,Ingress3,10,10,SF-A,549,15,SF-D,1098,8,Egress3,1000.0
105.0,chain3,Ingress3,11,11,SF-A,568,16,SF-D,1137,8,Egress3,1000.0
106.0,chain3,Ingress3,8,8,SF-A,442,12,SF-D,885,6,Egress3,1000.0
107.0,chain3,Ingress3,10,10,SF-A,525,15,SF-D,1050,8,Egress3,1000.0
108.0,chain3,Ingress3,11,11,SF-A,597,16,SF-D,1194,8,Egress3,1000.0
109.0,chain3,Ingress3,11,11,SF-A,573,16,SF-D,1146,8,Egress3,1000.0
110.0,chain3,Ingress3,8,8,SF-A,446,12,SF-D,892,6,Egress3,1000.0
111.0,chain3,Ingress3,11,11,SF-A,595,16,SF-D,1190,8,Egress3,1000.0
112.0,chain3,Ingress3,11,11,SF-A,584,16,SF-D,1168,8,Egress3,1000.0
113.0,chain3,Ingress3,10,10,SF-A,533,15,SF-D,1067,8,Egress3,1000.0
114.0,chain3,Ingress3,9,9,SF-A,472,13,SF-D,945,7,Egress3,1000.0
115.0,chain3,Ingress3,9,9,SF-A,469,13,SF-D,938,7,Egress3,1000.0
116.0,chain3,Ingress3,11,11,SF-A,551,16,SF-D,1102,8,Egress3,1000.0
117.0,chain3,Ingress3,9,9,SF-A,471,13,SF-D,942,7,Egress3,1000.0
118.0,chain3,Ingress3,10,10,SF-A,506,15,SF-D,1012,8,Egress3,1000.0
119.0,chain3,Ingress3,11,11,SF-A,553,16,SF-D,1107,8,Egress3,1000.0
120.0,chain3,Ingress3,8,8,SF-A,425,12,SF-D,850,6,Egress3,1000.0
121.0,chain3,Ingress3,9,9,SF-A,474,13,SF-D,949,7,Egress3,1000.0
122.0,chain3,Ingress3,9,9,SF-A,496,13,SF-D,992,7,Egress3,1000.0
123.0,chain3,Ingress3,8,8,SF-A,403,12,SF-D,807,6,Egress3,1000.0
124.0,chain3,Ingress3,11,11,SF-A,573,16,SF-D,1147,8,Egress3,1000.0
125.0,chain3,Ingress3,9,9,SF-A,480,13,SF-D,960,7,Egress3,1000.0
126.0,chain3,Ingress3,8,8,SF-A,439,12,SF-D,879,6,Egress3,1000.0
127.0,chain3,Ingress3,8,8,SF-A,440,12,SF-D,880,6,Egress3,1000.0
128.0,chain3,Ingress3,9,9,SF-A,476,13,SF-D,953,7,Egress3,1000.0
129.0,chain3,Ingress3,8,8,SF-A,414,12,SF-D,829,6,Egress3,1000.0
130.0,chain3,Ingress3,8,8,SF-A,421,12,SF-D,842,6,Egress3,1000.0
