Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 14, 0, 0, 0.952, 0.952, 11264, 0, 0.952, 1.996, 1.044, 593, 1.996, 3.056, 1.06, 17408, 0, 3.056, 4.148, 1.092, 1360, 4.148, 5.093, 0.946, 8192, 0, 5.093, 6.132, 1.039, 800, 6.132, 6.401, 0.269, 4096, 0,     6.401,
 1, 14, 1, 1, 1.773, 0.773, 9216, 0, 1.773, 2.993, 1.22, 468, 2.993, 3.986, 0.993, 14336, 0, 3.986, 5.073, 1.087, 1120, 5.073, 5.912, 0.839, 7168, 0, 5.912, 6.959, 1.047, 700, 6.959, 7.15, 0.191, 3072, 0,     6.150,
 2, 14, 2, 2, 3.154, 1.154, 10240, 0, 3.154, 4.267, 1.113, 529, 4.267, 5.129, 0.862, 15360, 0, 5.129, 6.048, 0.918, 1200, 6.048, 6.927, 0.88, 7168, 0, 6.927, 7.781, 0.854, 700, 7.781, 7.972, 0.191, 3072, 0,     5.972,
 3, 14, 3, 3, 4.433, 1.433, 13312, 0, 4.433, 5.73, 1.297, 652, 5.73, 6.931, 1.201, 19456, 0, 6.931, 8.108, 1.177, 1520, 8.108, 9.157, 1.049, 9216, 0, 9.157, 10.213, 1.056, 900, 10.213, 10.489, 0.276, 5120, 0,     7.489,
 4, 14, 4, 4, 5.468, 1.468, 11264, 0, 5.468, 6.928, 1.46, 564, 6.928, 7.897, 0.969, 16384, 0, 7.897, 9.158, 1.261, 1280, 9.158, 10.048, 0.89, 8192, 0, 10.048, 11.21, 1.162, 800, 11.21, 11.432, 0.223, 4096, 0,     7.432,
 5, 14, 5, 5, 6.468, 1.468, 11264, 0, 6.468, 8.108, 1.64, 565, 8.108, 9.03, 0.923, 16384, 0, 9.03, 10.115, 1.085, 1280, 10.115, 11.027, 0.912, 8192, 0, 11.027, 12.201, 1.174, 800, 12.201, 12.436, 0.235, 4096, 0,     7.436,
 6, 14, 6, 6, 7.319, 1.319, 10240, 0, 7.319, 9.198, 1.879, 528, 9.198, 10.052, 0.854, 15360, 0, 10.052, 11.012, 0.959, 1200, 11.012, 11.798, 0.786, 7168, 0, 11.798, 13.033, 1.235, 700, 13.033, 13.206, 0.173, 3072, 0,     7.206,
 7, 14, 7, 7, 8.347, 1.347, 11264, 0, 8.347, 10.266, 1.919, 590, 10.266, 11.41, 1.145, 17408, 0, 11.41, 12.504, 1.094, 1360, 12.504, 13.556, 1.052, 8192, 0, 13.556, 14.525, 0.97, 800, 14.525, 14.751, 0.225, 4096, 0,     7.751,
 8, 14, 8, 8, 9.524, 1.524, 12288, 0, 9.524, 11.607, 2.082, 607, 11.607, 12.649, 1.042, 18432, 0, 12.649, 13.726, 1.077, 1440, 13.726, 14.709, 0.983, 9216, 0, 14.709, 15.811, 1.102, 900, 15.811, 16.098, 0.287, 5120, 0,     8.098,
 9, 14, 9, 9, 10.349, 1.349, 9216, 0, 10.349, 12.552, 2.203, 469, 12.552, 13.508, 0.956, 14336, 0, 13.508, 14.624, 1.115, 1120, 14.624, 15.471, 0.847, 7168, 0, 15.471, 16.701, 1.231, 700, 16.701, 16.875, 0.174, 3072, 0,     7.875,
