Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 3, 0, 0, 0.68, 0.68, 12288, 0, 0.68, 1.376, 0.695, 611, 1.376, 2.085, 0.71, 18432, 0, 2.085, 2.758, 0.673, 2700, 2.758, 3.428, 0.67, 12288, 0,     3.428,
 1, 3, 1, 1, 1.967, 0.967, 17408, 0, 1.967, 2.918, 0.951, 878, 2.918, 3.886, 0.968, 26624, 0, 3.886, 4.834, 0.948, 3900, 4.834, 5.714, 0.88, 17408, 0,     4.714,
 2, 3, 2, 2, 2.781, 0.781, 12288, 0, 2.781, 3.641, 0.86, 625, 3.641, 4.559, 0.918, 18432, 0, 4.559, 5.541, 0.982, 2700, 5.541, 6.329, 0.788, 12288, 0,     4.329,
 3, 3, 3, 3, 3.865, 0.865, 16384, 0, 3.865, 4.769, 0.904, 827, 4.769, 5.636, 0.867, 24576, 0, 5.636, 6.563, 0.927, 3600, 6.563, 7.439, 0.877, 16384, 0,     4.439,
 4, 3, 4, 4, 4.739, 0.739, 13312, 0, 4.739, 5.521, 0.782, 668, 5.521, 6.352, 0.831, 20480, 0, 6.352, 7.335, 0.983, 3000, 7.335, 8.175, 0.84, 13312, 0,     4.175,
 5, 3, 5, 5, 6.006, 1.006, 16384, 0, 6.006, 6.89, 0.884, 800, 6.89, 7.836, 0.946, 24576, 0, 7.836, 8.719, 0.882, 3600, 8.719, 9.542, 0.823, 16384, 0,     4.542,
 6, 3, 6, 6, 6.933, 0.933, 17408, 0, 6.933, 7.96, 1.027, 895, 7.96, 8.979, 1.019, 26624, 0, 8.979, 9.922, 0.943, 3900, 9.922, 10.837, 0.915, 17408, 0,     4.837,
 7, 3, 7, 7, 7.693, 0.693, 12288, 0, 7.693, 8.643, 0.949, 612, 8.643, 9.614, 0.971, 18432, 0, 9.614, 10.643, 1.03, 2700, 10.643, 11.452, 0.809, 12288, 0,     4.452,
 8, 3, 8, 8, 8.849, 0.849, 14336, 0, 8.849, 9.712, 0.862, 730, 9.712, 10.496, 0.784, 21504, 0, 10.496, 11.486, 0.99, 3150, 11.486, 12.186, 0.7, 14336, 0,     4.186,
 9, 3, 9, 9, 9.815, 0.815, 13312, 0, 9.815, 10.558, 0.743, 676, 10.558, 11.288, 0.73, 20480, 0, 11.288, 12.273, 0.986, 3000, 12.273, 12.97, 0.696, 13312, 0,     3.970,
 10, 3, 10, 10, 10.797, 0.797, 13312, 0, 10.797, 11.537, 0.74, 680, 11.537, 12.332, 0.796, 20480, 0, 12.332, 13.13, 0.798, 3000, 13.13, 13.809, 0.679, 13312, 0,     3.809,
 11, 3, 11, 11, 11.927, 0.927, 17408, 0, 11.927, 12.977, 1.05, 896, 12.977, 13.988, 1.011, 26624, 0, 13.988, 14.978, 0.99, 3900, 14.978, 15.979, 1.001, 17408, 0,     4.979,
 12, 3, 12, 12, 12.77, 0.77, 14336, 0, 12.77, 13.809, 1.039, 709, 13.809, 14.811, 1.002, 21504, 0, 14.811, 15.799, 0.988, 3150, 15.799, 16.695, 0.896, 14336, 0,     4.695,
 13, 3, 13, 13, 13.659, 0.659, 12288, 0, 13.659, 14.524, 0.865, 628, 14.524, 15.446, 0.922, 18432, 0, 15.446, 16.495, 1.049, 2700, 16.495, 17.304, 0.809, 12288, 0,     4.304,
 14, 3, 14, 14, 14.706, 0.706, 12288, 0, 14.706, 15.395, 0.689, 607, 15.395, 16.078, 0.683, 18432, 0, 16.078, 17.185, 1.107, 2700, 17.185, 17.912, 0.727, 12288, 0,     3.912,
 15, 3, 15, 15, 15.969, 0.969, 17408, 0, 15.969, 16.959, 0.99, 895, 16.959, 17.925, 0.966, 26624, 0, 17.925, 18.924, 0.999, 3900, 18.924, 19.843, 0.919, 17408, 0,     4.843,
 16, 3, 16, 16, 16.717, 0.717, 12288, 0, 16.717, 17.673, 0.956, 647, 17.673, 18.627, 0.954, 19456, 0, 18.627, 19.673, 1.047, 2850, 19.673, 20.501, 0.828, 12288, 0,     4.501,
 17, 3, 17, 17, 17.88, 0.88, 15360, 0, 17.88, 18.754, 0.874, 790, 18.754, 19.687, 0.932, 23552, 0, 19.687, 20.572, 0.885, 3450, 20.572, 21.41, 0.838, 15360, 0,     4.410,
 18, 3, 18, 18, 18.714, 0.714, 12288, 0, 18.714, 19.438, 0.724, 605, 19.438, 20.424, 0.986, 18432, 0, 20.424, 21.252, 0.828, 2700, 21.252, 22.018, 0.766, 12288, 0,     4.018,
 19, 3, 19, 19, 19.717, 0.717, 13312, 0, 19.717, 20.449, 0.732, 661, 20.449, 21.182, 0.734, 19456, 0, 21.182, 22.02, 0.838, 2850, 22.02, 22.635, 0.615, 12288, 0,     3.635,
 20, 3, 20, 20, 20.662, 0.662, 12288, 0, 20.662, 21.353, 0.691, 619, 21.353, 22.022, 0.669, 18432, 0, 22.022, 22.727, 0.705, 2700, 22.727, 23.393, 0.666, 12288, 0,     3.393,
 21, 3, 21, 21, 21.877, 0.877, 16384, 0, 21.877, 22.796, 0.92, 813, 22.796, 23.662, 0.866, 24576, 0, 23.662, 24.566, 0.904, 3600, 24.566, 25.366, 0.8, 16384, 0,     4.366,
