Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 9, 0, 0, 0.876, 0.876, 11264, 0, 0.876, 1.562, 0.686, 578, 1.562, 2.241, 0.679, 17408, 0, 2.241, 3.018, 0.778, 1360, 3.018, 3.627, 0.609, 8192, 0, 3.627, 4.311, 0.684, 1200, 4.311, 4.927, 0.616, 5120, 0, 4.927, 5.532, 0.605, 1000, 5.532, 5.813, 0.281, 4096, 0,     5.813,
 1, 9, 1, 1, 1.84, 0.84, 15360, 0, 1.84, 2.885, 1.045, 759, 2.885, 3.743, 0.859, 22528, 0, 3.743, 4.699, 0.956, 1760, 4.699, 5.573, 0.874, 11264, 0, 5.573, 6.506, 0.933, 1650, 6.506, 7.306, 0.801, 7168, 0, 7.306, 8.199, 0.893, 1400, 8.199, 8.621, 0.422, 5120, 0,     7.621,
 2, 9, 2, 2, 2.759, 0.759, 13312, 0, 2.759, 3.691, 0.932, 690, 3.691, 4.602, 0.911, 20480, 0, 4.602, 5.593, 0.991, 1600, 5.593, 6.384, 0.791, 10240, 0, 6.384, 7.366, 0.982, 1500, 7.366, 8.02, 0.653, 6144, 0, 8.02, 8.916, 0.897, 1200, 8.916, 9.289, 0.372, 5120, 0,     7.289,
 3, 9, 3, 3, 3.678, 0.678, 12288, 0, 3.678, 4.454, 0.776, 649, 4.454, 5.396, 0.941, 19456, 0, 5.396, 6.426, 1.03, 1520, 6.426, 7.097, 0.671, 9216, 0, 7.097, 8.078, 0.98, 1350, 8.078, 8.757, 0.679, 6144, 0, 8.757, 9.738, 0.981, 1200, 9.738, 10.193, 0.455, 5120, 0,     7.193,
 4, 9, 4, 4, 4.678, 0.678, 12288, 0, 4.678, 5.412, 0.735, 606, 5.412, 6.071, 0.658, 18432, 0, 6.071, 7.21, 1.139, 1440, 7.21, 8.002, 0.792, 9216, 0, 8.002, 8.839, 0.837, 1350, 8.839, 9.511, 0.673, 6144, 0, 9.511, 10.527, 1.016, 1200, 10.527, 10.918, 0.391, 5120, 0,     6.918,
 5, 9, 5, 5, 5.866, 0.866, 15360, 0, 5.866, 6.751, 0.885, 753, 6.751, 7.603, 0.852, 22528, 0, 7.603, 8.674, 1.071, 1760, 8.674, 9.514, 0.84, 11264, 0, 9.514, 10.425, 0.911, 1650, 10.425, 11.226, 0.801, 7168, 0, 11.226, 12.043, 0.817, 1400, 12.043, 12.473, 0.43, 5120, 0,     7.473,
 6, 9, 6, 6, 7.021, 1.021, 14336, 0, 7.021, 8.018, 0.997, 732, 8.018, 8.925, 0.907, 21504, 0, 8.925, 9.852, 0.927, 1680, 9.852, 10.645, 0.793, 10240, 0, 10.645, 11.418, 0.773, 1500, 11.418, 12.278, 0.86, 6144, 0, 12.278, 13, 0.722, 1200, 13, 13.357, 0.357, 5120, 0,     7.357,
 7, 9, 7, 7, 7.679, 0.679, 11264, 0, 7.679, 8.728, 1.05, 578, 8.728, 9.623, 0.894, 17408, 0, 9.623, 10.536, 0.913, 1360, 10.536, 11.241, 0.705, 8192, 0, 11.241, 12.069, 0.828, 1200, 12.069, 12.86, 0.791, 5120, 0, 12.86, 13.647, 0.787, 1000, 13.647, 13.956, 0.309, 4096, 0,     6.956,
 8, 9, 8, 8, 8.721, 0.721, 13312, 0, 8.721, 9.527, 0.806, 668, 9.527, 10.416, 0.889, 20480, 0, 10.416, 11.319, 0.904, 1600, 11.319, 12.1, 0.78, 10240, 0, 12.1, 12.902, 0.802, 1500, 12.902, 13.54, 0.638, 6144, 0, 13.54, 14.428, 0.888, 1200, 14.428, 14.79, 0.362, 5120, 0,     6.790,
 9, 9, 9, 9, 9.831, 0.831, 14336, 0, 9.831, 10.756, 0.924, 706, 10.756, 11.613, 0.857, 21504, 0, 11.613, 12.494, 0.881, 1680, 12.494, 13.334, 0.84, 10240, 0, 13.334, 14.23, 0.896, 1500, 14.23, 14.912, 0.682, 6144, 0, 14.912, 15.626, 0.715, 1200, 15.626, 15.954, 0.328, 5120, 0,     6.954,
 10, 9, 10, 10, 11.166, 1.166, 14336, 0, 11.166, 12.004, 0.838, 707, 12.004, 12.856, 0.852, 21504, 0, 12.856, 13.692, 0.836, 1680, 13.692, 14.492, 0.799, 10240, 0, 14.492, 15.452, 0.961, 1500, 15.452, 16.154, 0.702, 6144, 0, 16.154, 16.937, 0.783, 1200, 16.937, 17.297, 0.36, 5120, 0,     7.297,
 11, 9, 11, 11, 12.004, 1.004, 13312, 0, 12.004, 12.836, 0.832, 671, 12.836, 13.623, 0.786, 20480, 0, 13.623, 14.466, 0.843, 1600, 14.466, 15.299, 0.833, 10240, 0, 15.299, 16.369, 1.071, 1500, 16.369, 17.022, 0.653, 6144, 0, 17.022, 17.752, 0.73, 1200, 17.752, 18.114, 0.362, 5120, 0,     7.114,
 12, 9, 12, 12, 12.844, 0.844, 13312, 0, 12.844, 13.736, 0.892, 699, 13.736, 14.595, 0.859, 20480, 0, 14.595, 15.434, 0.839, 1600, 15.434, 16.253, 0.819, 10240, 0, 16.253, 17.278, 1.025, 1500, 17.278, 17.957, 0.679, 6144, 0, 17.957, 18.747, 0.79, 1200, 18.747, 19.145, 0.398, 5120, 0,     7.145,
 13, 9, 13, 13, 14.032, 1.032, 14336, 0, 14.032, 14.91, 0.878, 727, 14.91, 15.85, 0.94, 21504, 0, 15.85, 16.773, 0.923, 1680, 16.773, 17.694, 0.921, 10240, 0, 17.694, 18.602, 0.908, 1500, 18.602, 19.246, 0.645, 6144, 0, 19.246, 20.032, 0.786, 1200, 20.032, 20.371, 0.339, 5120, 0,     7.371,
 14, 9, 14, 14, 15.012, 1.012, 15360, 0, 15.012, 15.918, 0.906, 786, 15.918, 16.873, 0.955, 23552, 0, 16.873, 17.792, 0.919, 1840, 17.792, 18.614, 0.823, 11264, 0, 18.614, 19.642, 1.027, 1650, 19.642, 20.429, 0.788, 7168, 0, 20.429, 21.257, 0.827, 1400, 21.257, 21.6, 0.344, 5120, 0,     7.600,
 15, 9, 15, 15, 16.005, 1.005, 16384, 0, 16.005, 16.947, 0.942, 811, 16.947, 18.005, 1.058, 24576, 0, 18.005, 19.027, 1.022, 1920, 19.027, 19.973, 0.946, 12288, 0, 19.973, 20.915, 0.942, 1800, 20.915, 21.742, 0.827, 8192, 0, 21.742, 22.655, 0.913, 1600, 22.655, 23.094, 0.438, 6144, 0,     8.094,
 16, 9, 16, 16, 16.913, 0.913, 15360, 0, 16.913, 17.852, 0.938, 780, 17.852, 18.925, 1.073, 23552, 0, 18.925, 19.997, 1.072, 1840, 19.997, 20.882, 0.886, 11264, 0, 20.882, 21.853, 0.971, 1650, 21.853, 22.668, 0.815, 7168, 0, 22.668, 23.527, 0.859, 1400, 23.527, 23.89, 0.363, 5120, 0,     7.890,
 17, 9, 17, 17, 18.023, 1.023, 14336, 0, 18.023, 18.86, 0.837, 721, 18.86, 19.724, 0.864, 21504, 0, 19.724, 20.876, 1.152, 1680, 20.876, 21.793, 0.917, 10240, 0, 21.793, 22.708, 0.915, 1500, 22.708, 23.434, 0.726, 6144, 0, 23.434, 24.337, 0.903, 1200, 24.337, 24.677, 0.34, 5120, 0,     7.677,
 18, 9, 18, 18, 18.787, 0.787, 13312, 0, 18.787, 19.653, 0.866, 664, 19.653, 20.476, 0.823, 19456, 0, 20.476, 21.729, 1.253, 1520, 21.729, 22.555, 0.826, 9216, 0, 22.555, 23.454, 0.899, 1350, 23.454, 24.06, 0.606, 6144, 0, 24.06, 25.063, 1.003, 1200, 25.063, 25.432, 0.369, 5120, 0,     7.432,
 19, 9, 19, 19, 19.907, 0.907, 13312, 0, 19.907, 20.737, 0.831, 672, 20.737, 21.53, 0.793, 20480, 0, 21.53, 22.605, 1.075, 1600, 22.605, 23.348, 0.743, 10240, 0, 23.348, 24.305, 0.957, 1500, 24.305, 25.088, 0.783, 6144, 0, 25.088, 25.83, 0.742, 1200, 25.83, 26.202, 0.372, 5120, 0,     7.202,
 20, 9, 20, 20, 20.639, 0.639, 11264, 0, 20.639, 21.512, 0.873, 581, 21.512, 22.218, 0.707, 17408, 0, 22.218, 23.338, 1.119, 1360, 23.338, 24, 0.662, 8192, 0, 24, 25, 1, 1200, 25, 25.674, 0.674, 5120, 0, 25.674, 26.448, 0.774, 1000, 26.448, 26.734, 0.286, 4096, 0,     6.734,
 21, 9, 21, 21, 22.048, 1.048, 16384, 0, 22.048, 22.998, 0.95, 804, 22.998, 24.07, 1.072, 24576, 0, 24.07, 25.029, 0.959, 1920, 25.029, 26.052, 1.022, 12288, 0, 26.052, 27.214, 1.162, 1800, 27.214, 28.242, 1.028, 8192, 0, 28.242, 29.259, 1.017, 1600, 29.259, 29.706, 0.447, 6144, 0,     8.706,
 22, 9, 22, 22, 23.035, 1.035, 16384, 0, 23.035, 24.088, 1.053, 825, 24.088, 25.208, 1.12, 24576, 0, 25.208, 26.197, 0.99, 1920, 26.197, 27.114, 0.917, 12288, 0, 27.114, 28.448, 1.333, 1800, 28.448, 29.361, 0.913, 8192, 0, 29.361, 30.535, 1.174, 1600, 30.535, 30.932, 0.398, 6144, 0,     8.932,
 23, 9, 23, 23, 23.827, 0.827, 13312, 0, 23.827, 24.998, 1.171, 674, 24.998, 25.979, 0.981, 20480, 0, 25.979, 27.043, 1.064, 1600, 27.043, 27.834, 0.791, 10240, 0, 27.834, 29.244, 1.41, 1500, 29.244, 30.14, 0.896, 6144, 0, 30.14, 31.237, 1.096, 1200, 31.237, 31.617, 0.38, 5120, 0,     8.617,
 24, 9, 24, 24, 25.085, 1.085, 15360, 0, 25.085, 26.148, 1.063, 753, 26.148, 27.198, 1.05, 22528, 0, 27.198, 28.086, 0.887, 1760, 28.086, 29.003, 0.917, 11264, 0, 29.003, 30.237, 1.234, 1650, 30.237, 30.958, 0.721, 7168, 0, 30.958, 32.215, 1.257, 1400, 32.215, 32.562, 0.347, 5120, 0,     8.562,
 25, 9, 25, 25, 26.122, 1.122, 15360, 0, 26.122, 27.075, 0.952, 770, 27.075, 28.046, 0.971, 23552, 0, 28.046, 29, 0.954, 1840, 29, 29.929, 0.929, 11264, 0, 29.929, 31.102, 1.174, 1650, 31.102, 32.087, 0.985, 7168, 0, 32.087, 33.134, 1.047, 1400, 33.134, 33.575, 0.441, 5120, 0,     8.575,
 26, 9, 26, 26, 26.996, 0.996, 15360, 0, 26.996, 28.066, 1.07, 770, 28.066, 29.037, 0.971, 23552, 0, 29.037, 29.945, 0.908, 1840, 29.945, 30.742, 0.798, 11264, 0, 30.742, 31.957, 1.215, 1650, 31.957, 32.824, 0.866, 7168, 0, 32.824, 34, 1.176, 1400, 34, 34.37, 0.37, 5120, 0,     8.370,
 27, 9, 27, 27, 27.828, 0.828, 13312, 0, 27.828, 29, 1.172, 687, 29, 29.891, 0.891, 20480, 0, 29.891, 30.907, 1.016, 1600, 30.907, 31.682, 0.775, 10240, 0, 31.682, 32.766, 1.084, 1500, 32.766, 33.449, 0.683, 6144, 0, 33.449, 34.737, 1.288, 1200, 34.737, 35.204, 0.467, 5120, 0,     8.204,
 28, 9, 28, 28, 28.66, 0.66, 11264, 0, 28.66, 29.792, 1.131, 597, 29.792, 30.569, 0.778, 17408, 0, 30.569, 31.857, 1.287, 1360, 31.857, 32.63, 0.773, 8192, 0, 32.63, 33.46, 0.83, 1200, 33.46, 33.961, 0.501, 5120, 0, 33.961, 35.376, 1.414, 1000, 35.376, 35.657, 0.282, 4096, 0,     7.657,
