time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,chain12,Ingress12,13,13,SF-D,1318,26,SF-E,5200,43,Egress12,1000.0
1.0,chain12,Ingress12,14,14,SF-D,1451,29,SF-E,5800,48,Egress12,1000.0
2.0,chain12,Ingress12,14,14,SF-D,1495,29,SF-E,5800,48,Egress12,1000.0
3.0,chain12,Ingress12,15,15,SF-D,1545,30,SF-E,6000,50,Egress12,1000.0
4.0,chain12,Ingress12,15,15,SF-D,1526,30,SF-E,6000,50,Egress12,1000.0
5.0,chain12,Ingress12,10,10,SF-D,1050,21,SF-E,4200,35,Egress12,1000.0
6.0,chain12,Ingress12,11,11,SF-D,1117,22,SF-E,4400,36,Egress12,1000.0
7.0,chain12,Ingress12,15,15,SF-D,1532,30,SF-E,6000,50,Egress12,1000.0
8.0,chain12,Ingress12,15,15,SF-D,1552,31,SF-E,6200,51,Egress12,1000.0
9.0,chain12,Ingress12,10,10,SF-D,1096,21,SF-E,4200,35,Egress12,1000.0
10.0,chain12,Ingress12,13,13,SF-D,1343,26,SF-E,5200,43,Egress12,1000.0
11.0,chain12,Ingress12,14,14,SF-D,1410,28,SF-E,5600,46,Egress12,1000.0
12.0,chain12,Ingress12,12,12,SF-D,1260,25,SF-E,5000,41,Egress12,1000.0
13.0,chain12,Ingress12,14,14,SF-D,1401,28,SF-E,5600,46,Egress12,1000.0
14.0,chain12,Ingress12,11,11,SF-D,1132,22,SF-E,4400,36,Egress12,1000.0
15.0,chain12,Ingress12,14,14,SF-D,1462,29,SF-E,5800,48,Egress12,1000.0
16.0,chain12,Ingress12,11,11,SF-D,1137,22,SF-E,4400,36,Egress12,1000.0
17.0,chain12,Ingress12,15,15,SF-D,1542,30,SF-E,6000,50,Egress12,1000.0
18.0,chain12,Ingress12,14,14,SF-D,1468,29,SF-E,5800,48,Egress12,1000.0
19.0,chain12,Ingress12,14,14,SF-D,1409,28,SF-E,5600,46,Egress12,1000.0
20.0,chain12,Ingress12,10,10,SF-D,1080,21,SF-E,4200,35,Egress12,1000.0
21.0,chain12,Ingress12,12,12,SF-D,1256,25,SF-E,5000,41,Egress12,1000.0
22.0,chain12,Ingress12,14,14,SF-D,1442,28,SF-E,5600,46,Egress12,1000.0
23.0,chain12,Ingress12,13,13,SF-D,1306,26,SF-E,5200,43,Egress12,1000.0
24.0,chain12,Ingress12,11,11,SF-D,1160,23,SF-E,4600,38,Egress12,1000.0
25.0,chain12,Ingress12,13,13,SF-D,1376,27,SF-E,5400,45,Egress12,1000.0
