time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,chain14,Ingress14,11,11,SF-C,1715,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
1.0,chain14,Ingress14,9,9,SF-C,1406,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
2.0,chain14,Ingress14,11,11,SF-C,1759,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
3.0,chain14,Ingress14,11,11,SF-C,1750,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
4.0,chain14,Ingress14,9,9,SF-C,1365,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
5.0,chain14,Ingress14,11,11,SF-C,1677,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
6.0,chain14,Ingress14,8,8,SF-C,1295,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
7.0,chain14,Ingress14,10,10,SF-C,1544,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
8.0,chain14,Ingress14,11,11,SF-C,1714,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
9.0,chain14,Ingress14,11,11,SF-C,1754,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
10.0,chain14,Ingress14,9,9,SF-C,1379,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
11.0,chain14,Ingress14,8,8,SF-C,1304,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
12.0,chain14,Ingress14,10,10,SF-C,1519,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
13.0,chain14,Ingress14,11,11,SF-C,1754,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
14.0,chain14,Ingress14,9,9,SF-C,1490,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
15.0,chain14,Ingress14,10,10,SF-C,1584,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
16.0,chain14,Ingress14,11,11,SF-C,1777,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
17.0,chain14,Ingress14,9,9,SF-C,1470,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
18.0,chain14,Ingress14,11,11,SF-C,1678,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
19.0,chain14,Ingress14,10,10,SF-C,1628,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
20.0,chain14,Ingress14,8,8,SF-C,1203,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
21.0,chain14,Ingress14,9,9,SF-C,1405,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
22.0,chain14,Ingress14,9,9,SF-C,1430,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
23.0,chain14,Ingress14,10,10,SF-C,1518,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
24.0,chain14,Ingress14,8,8,SF-C,1236,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
25.0,chain14,Ingress14,11,11,SF-C,1771,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
26.0,chain14,Ingress14,8,8,SF-C,1306,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
27.0,chain14,Ingress14,8,8,SF-C,1303,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
