#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 9, 0, 0, 0.524, 0.524, 11000, 0, 0.524, 1.349, 0.825, 578, 1.349, 2.16, 0.811, 17000, 0, 2.16, 3.797, 1.637, 1360, 3.797, 4.184, 0.387, 8000, 0, 4.184, 5.707, 1.524, 1200, 5.707, 5.955, 0.247, 5000, 0, 5.955, 7.382, 1.428, 1000, 7.382, 7.584, 0.202, 4000, 0,     6.858,
 1, 9, 1, 1, 1.714, 0.714, 15000, 0, 1.714, 2.792, 1.077, 759, 2.792, 3.841, 1.05, 22000, 0, 3.841, 5.927, 2.085, 1760, 5.927, 6.457, 0.53, 11000, 0, 6.457, 8.56, 2.103, 1650, 8.56, 8.895, 0.335, 7000, 0, 8.895, 10.905, 2.01, 1400, 10.905, 11.145, 0.24, 5000, 0,     9.191,
 2, 9, 2, 2, 2.621, 0.621, 13000, 0, 2.621, 3.777, 1.156, 690, 3.777, 4.794, 1.017, 20000, 0, 4.794, 6.697, 1.904, 1600, 6.697, 7.18, 0.482, 10000, 0, 7.18, 9.084, 1.905, 1500, 9.084, 9.372, 0.288, 6000, 0, 9.372, 11.092, 1.72, 1200, 11.092, 11.387, 0.294, 5000, 0,     8.471,
 3, 9, 3, 3, 3.572, 0.572, 12000, 0, 3.572, 4.706, 1.135, 649, 4.706, 5.699, 0.993, 19000, 0, 5.699, 7.736, 2.036, 1520, 7.736, 8.17, 0.434, 9000, 0, 8.17, 10.276, 2.106, 1350, 10.276, 10.564, 0.288, 6000, 0, 10.564, 12.619, 2.055, 1200, 12.619, 12.861, 0.242, 5000, 0,     9.047,
 4, 9, 4, 4, 4.572, 0.572, 12000, 0, 4.572, 5.59, 1.018, 606, 5.59, 6.557, 0.967, 18000, 0, 6.557, 8.411, 1.854, 1440, 8.411, 8.852, 0.442, 9000, 0, 8.852, 10.815, 1.962, 1350, 10.815, 11.111, 0.297, 6000, 0, 11.111, 12.826, 1.715, 1200, 12.826, 13.099, 0.273, 5000, 0,     8.254,
 5, 9, 5, 5, 5.714, 0.714, 15000, 0, 5.714, 6.789, 1.075, 753, 6.789, 7.839, 1.05, 22000, 0, 7.839, 9.928, 2.09, 1760, 9.928, 10.458, 0.53, 11000, 0, 10.458, 12.559, 2.101, 1650, 12.559, 12.903, 0.344, 7000, 0, 12.903, 14.903, 2, 1400, 14.903, 15.143, 0.24, 5000, 0,     9.188,
 6, 9, 6, 6, 6.671, 0.671, 14000, 0, 6.671, 7.834, 1.162, 732, 7.834, 8.838, 1.005, 21000, 0, 8.838, 10.851, 2.012, 1680, 10.851, 11.333, 0.482, 10000, 0, 11.333, 13.232, 1.899, 1500, 13.232, 13.529, 0.297, 6000, 0, 13.529, 15.256, 1.727, 1200, 15.256, 15.497, 0.241, 5000, 0,     8.585,
 7, 9, 7, 7, 7.524, 0.524, 11000, 0, 7.524, 8.658, 1.134, 578, 8.658, 9.648, 0.99, 17000, 0, 9.648, 11.547, 1.899, 1360, 11.547, 11.935, 0.388, 8000, 0, 11.935, 14.083, 2.148, 1200, 14.083, 14.323, 0.24, 5000, 0, 14.323, 16.33, 2.007, 1000, 16.33, 16.523, 0.192, 4000, 0,     8.806,
 8, 9, 8, 8, 8.619, 0.619, 13000, 0, 8.619, 9.612, 0.993, 668, 9.612, 10.603, 0.991, 20000, 0, 10.603, 12.755, 2.152, 1600, 12.755, 13.238, 0.483, 10000, 0, 13.238, 15.137, 1.899, 1500, 15.137, 15.425, 0.288, 6000, 0, 15.425, 17.137, 1.712, 1200, 17.137, 17.382, 0.245, 5000, 0,     8.518,
 9, 9, 9, 9, 9.667, 0.667, 14000, 0, 9.667, 10.667, 1, 706, 10.667, 11.678, 1.011, 21000, 0, 11.678, 13.686, 2.008, 1680, 13.686, 14.168, 0.482, 10000, 0, 14.168, 16.072, 1.904, 1500, 16.072, 16.36, 0.288, 6000, 0, 16.36, 18.072, 1.712, 1200, 18.072, 18.312, 0.24, 5000, 0,     8.405,
 10, 9, 10, 10, 10.667, 0.667, 14000, 0, 10.667, 11.676, 1.009, 707, 11.676, 12.679, 1.003, 21000, 0, 12.679, 14.754, 2.075, 1680, 14.754, 15.236, 0.482, 10000, 0, 15.236, 17.143, 1.907, 1500, 17.143, 17.435, 0.292, 6000, 0, 17.435, 19.146, 1.711, 1200, 19.146, 19.394, 0.248, 5000, 0,     8.479,
 11, 9, 11, 11, 11.627, 0.627, 13000, 0, 11.627, 12.641, 1.014, 671, 12.641, 13.631, 0.99, 20000, 0, 13.631, 15.59, 1.959, 1600, 15.59, 16.072, 0.482, 10000, 0, 16.072, 17.978, 1.906, 1500, 17.978, 18.266, 0.288, 6000, 0, 18.266, 19.995, 1.729, 1200, 19.995, 20.242, 0.247, 5000, 0,     8.368,
 12, 9, 12, 12, 12.619, 0.619, 13000, 0, 12.619, 13.651, 1.032, 699, 13.651, 14.612, 0.961, 20000, 0, 14.612, 16.657, 2.045, 1600, 16.657, 17.143, 0.486, 10000, 0, 17.143, 19.054, 1.911, 1500, 19.054, 19.341, 0.288, 6000, 0, 19.341, 21.051, 1.71, 1200, 21.051, 21.293, 0.241, 5000, 0,     8.432,
 13, 9, 13, 13, 13.667, 0.667, 14000, 0, 13.667, 14.709, 1.042, 727, 14.709, 15.711, 1.002, 21000, 0, 15.711, 17.71, 1.999, 1680, 17.71, 18.195, 0.485, 10000, 0, 18.195, 20.104, 1.909, 1500, 20.104, 20.392, 0.288, 6000, 0, 20.392, 22.105, 1.713, 1200, 22.105, 22.349, 0.244, 5000, 0,     8.438,
 14, 9, 14, 14, 14.714, 0.714, 15000, 0, 14.714, 15.83, 1.116, 786, 15.83, 16.927, 1.097, 23000, 0, 16.927, 19.129, 2.202, 1840, 19.129, 19.659, 0.53, 11000, 0, 19.659, 21.754, 2.095, 1650, 21.754, 22.089, 0.335, 7000, 0, 22.089, 24.108, 2.018, 1400, 24.108, 24.351, 0.244, 5000, 0,     9.393,
 15, 9, 15, 15, 15.762, 0.762, 16000, 0, 15.762, 16.987, 1.225, 811, 16.987, 18.137, 1.15, 24000, 0, 18.137, 20.42, 2.283, 1920, 20.42, 20.997, 0.578, 12000, 0, 20.997, 23.284, 2.286, 1800, 23.284, 23.667, 0.383, 8000, 0, 23.667, 25.945, 2.278, 1600, 25.945, 26.232, 0.288, 6000, 0,    10.183,
 16, 9, 16, 16, 16.714, 0.714, 15000, 0, 16.714, 18.1, 1.386, 780, 18.1, 19.239, 1.139, 23000, 0, 19.239, 21.428, 2.19, 1840, 21.428, 21.958, 0.53, 11000, 0, 21.958, 24.049, 2.09, 1650, 24.049, 24.384, 0.335, 7000, 0, 24.384, 26.377, 1.994, 1400, 26.377, 26.617, 0.24, 5000, 0,     9.663,
 17, 9, 17, 17, 17.667, 0.667, 14000, 0, 17.667, 19.129, 1.462, 721, 19.129, 20.245, 1.116, 21000, 0, 20.245, 22.435, 2.19, 1680, 22.435, 22.918, 0.482, 10000, 0, 22.918, 25.198, 2.28, 1500, 25.198, 25.486, 0.288, 6000, 0, 25.486, 27.665, 2.179, 1200, 27.665, 27.905, 0.24, 5000, 0,     9.998,
 18, 9, 18, 18, 18.62, 0.62, 13000, 0, 18.62, 20.094, 1.474, 664, 20.094, 21.15, 1.056, 19000, 0, 21.15, 23.238, 2.087, 1520, 23.238, 23.675, 0.437, 9000, 0, 23.675, 25.778, 2.103, 1350, 25.778, 26.068, 0.29, 6000, 0, 26.068, 28.09, 2.023, 1200, 28.09, 28.333, 0.243, 5000, 0,     9.470,
 19, 9, 19, 19, 19.628, 0.628, 13000, 0, 19.628, 21.053, 1.425, 672, 21.053, 22.111, 1.058, 20000, 0, 22.111, 24.339, 2.228, 1600, 24.339, 24.826, 0.487, 10000, 0, 24.826, 27.119, 2.294, 1500, 27.119, 27.414, 0.295, 6000, 0, 27.414, 29.382, 1.968, 1200, 29.382, 29.622, 0.24, 5000, 0,     9.754,
 20, 9, 20, 20, 20.524, 0.524, 11000, 0, 20.524, 21.898, 1.374, 581, 21.898, 22.924, 1.025, 17000, 0, 22.924, 24.856, 1.932, 1360, 24.856, 25.243, 0.387, 8000, 0, 25.243, 27.302, 2.059, 1200, 27.302, 27.652, 0.351, 5000, 0, 27.652, 29.518, 1.866, 1000, 29.518, 29.813, 0.295, 4000, 0,     8.994,
 21, 9, 21, 21, 21.762, 0.762, 16000, 0, 21.762, 23.045, 1.283, 804, 23.045, 24.19, 1.145, 24000, 0, 24.19, 26.624, 2.433, 1920, 26.624, 27.201, 0.577, 12000, 0, 27.201, 29.482, 2.281, 1800, 29.482, 29.865, 0.383, 8000, 0, 29.865, 32.15, 2.285, 1600, 32.15, 32.441, 0.291, 6000, 0,    10.388,
 22, 9, 22, 22, 22.762, 0.762, 16000, 0, 22.762, 24.223, 1.461, 825, 24.223, 25.368, 1.145, 24000, 0, 25.368, 27.653, 2.285, 1920, 27.653, 28.236, 0.583, 12000, 0, 28.236, 30.528, 2.292, 1800, 30.528, 30.91, 0.383, 8000, 0, 30.91, 33.196, 2.285, 1600, 33.196, 33.483, 0.288, 6000, 0,    10.433,
 23, 9, 23, 23, 23.619, 0.619, 13000, 0, 23.619, 25.184, 1.565, 674, 25.184, 26.32, 1.136, 20000, 0, 26.32, 28.536, 2.215, 1600, 28.536, 29.018, 0.482, 10000, 0, 29.018, 31.395, 2.377, 1500, 31.395, 31.683, 0.289, 6000, 0, 31.683, 33.863, 2.179, 1200, 33.863, 34.109, 0.247, 5000, 0,    10.244,
 24, 9, 24, 24, 24.714, 0.714, 15000, 0, 24.714, 26.26, 1.546, 753, 26.26, 27.368, 1.108, 22000, 0, 27.368, 29.748, 2.38, 1760, 29.748, 30.281, 0.534, 11000, 0, 30.281, 32.632, 2.351, 1650, 32.632, 32.972, 0.339, 7000, 0, 32.972, 35.195, 2.224, 1400, 35.195, 35.441, 0.246, 5000, 0,    10.481,
 25, 9, 25, 25, 25.714, 0.714, 15000, 0, 25.714, 27.36, 1.645, 770, 27.36, 28.463, 1.103, 23000, 0, 28.463, 30.725, 2.262, 1840, 30.725, 31.265, 0.54, 11000, 0, 31.265, 33.5, 2.235, 1650, 33.5, 33.844, 0.344, 7000, 0, 33.844, 35.879, 2.035, 1400, 35.879, 36.12, 0.24, 5000, 0,    10.165,
 26, 9, 26, 26, 26.714, 0.714, 15000, 0, 26.714, 28.46, 1.745, 770, 28.46, 29.558, 1.099, 23000, 0, 29.558, 31.937, 2.379, 1840, 31.937, 32.467, 0.53, 11000, 0, 32.467, 34.733, 2.266, 1650, 34.733, 35.069, 0.335, 7000, 0, 35.069, 37.201, 2.132, 1400, 37.201, 37.441, 0.24, 5000, 0,    10.486,
 27, 9, 27, 27, 27.619, 0.619, 13000, 0, 27.619, 29.45, 1.831, 687, 29.45, 30.511, 1.061, 20000, 0, 30.511, 32.63, 2.119, 1600, 32.63, 33.117, 0.487, 10000, 0, 33.117, 35.405, 2.289, 1500, 35.405, 35.693, 0.288, 6000, 0, 35.693, 37.593, 1.9, 1200, 37.593, 37.833, 0.24, 5000, 0,     9.974,
