Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 6, 0, 0, 0.924, 0.924, 9216, 0, 0.924, 1.686, 0.763, 763, 1.686, 2.375, 0.689, 4096, 0, 2.375, 2.775, 0.399, 400, 2.775, 2.963, 0.188, 2048, 0,     2.963,
 1, 6, 1, 1, 2.036, 1.036, 10240, 0, 2.036, 2.877, 0.841, 831, 2.877, 3.736, 0.859, 5120, 0, 3.736, 4.242, 0.505, 500, 4.242, 4.436, 0.194, 2048, 0,     3.436,
 2, 6, 2, 2, 2.967, 0.967, 9216, 0, 2.967, 3.76, 0.793, 787, 3.76, 4.448, 0.689, 4096, 0, 4.448, 4.854, 0.406, 400, 4.854, 5.042, 0.188, 2048, 0,     3.042,
 3, 6, 3, 3, 4.128, 1.128, 11264, 0, 4.128, 5.056, 0.927, 912, 5.056, 5.915, 0.859, 5120, 0, 5.915, 6.408, 0.493, 500, 6.408, 6.596, 0.188, 2048, 0,     3.596,
 4, 6, 4, 4, 4.948, 0.948, 8192, 0, 4.948, 5.726, 0.778, 661, 5.726, 6.598, 0.872, 4096, 0, 6.598, 6.997, 0.399, 400, 6.997, 7.19, 0.194, 2048, 0,     3.190,
 5, 6, 5, 5, 6.134, 1.134, 11264, 0, 6.134, 7.056, 0.922, 922, 7.056, 7.916, 0.859, 5120, 0, 7.916, 8.427, 0.511, 500, 8.427, 8.615, 0.188, 2048, 0,     3.615,
 6, 6, 6, 6, 7.158, 1.158, 10240, 0, 7.158, 7.998, 0.84, 841, 7.998, 8.86, 0.861, 5120, 0, 8.86, 9.36, 0.5, 500, 9.36, 9.551, 0.191, 2048, 0,     3.551,
 7, 6, 7, 7, 7.977, 0.977, 8192, 0, 7.977, 8.714, 0.736, 716, 8.714, 9.542, 0.829, 4096, 0, 9.542, 9.941, 0.399, 400, 9.941, 10.129, 0.188, 2048, 0,     3.129,
 8, 6, 8, 8, 8.923, 0.923, 9216, 0, 8.923, 9.718, 0.794, 795, 9.718, 10.406, 0.689, 4096, 0, 10.406, 10.809, 0.402, 400, 10.809, 10.997, 0.188, 2048, 0,     2.997,
 9, 6, 9, 9, 10.033, 1.033, 10240, 0, 10.033, 10.906, 0.873, 867, 10.906, 11.767, 0.861, 5120, 0, 11.767, 12.267, 0.5, 500, 12.267, 12.455, 0.188, 2048, 0,     3.455,
