Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 13, 0, 0, 1.133, 1.133, 11264, 0, 1.133, 2.323, 1.19, 953, 2.323, 3.179, 0.856, 5120, 0, 3.179, 3.687, 0.508, 750, 3.687, 4.459, 0.772, 3072, 0, 4.459, 4.761, 0.302, 300, 4.761, 4.917, 0.156, 1024, 0, 4.917, 5.034, 0.117, 200, 5.034, 5.037, 0.003, 0, 0,     5.037,
 1, 13, 1, 1, 2.259, 1.259, 11264, 0, 2.259, 3.507, 1.248, 948, 3.507, 4.363, 0.855, 5120, 0, 4.363, 4.872, 0.51, 750, 4.872, 5.641, 0.768, 3072, 0, 5.641, 5.941, 0.3, 300, 5.941, 6.089, 0.148, 1024, 0, 6.089, 6.2, 0.111, 200, 6.2, 6.212, 0.012, 0, 0,     5.212,
 2, 13, 2, 2, 3.386, 1.386, 11264, 0, 3.386, 4.613, 1.227, 885, 4.613, 5.469, 0.856, 5120, 0, 5.469, 5.979, 0.51, 750, 5.979, 6.748, 0.769, 3072, 0, 6.748, 7.047, 0.299, 300, 7.047, 7.197, 0.15, 1024, 0, 7.197, 7.297, 0.1, 200, 7.297, 7.309, 0.012, 0, 0,     5.309,
 3, 13, 3, 3, 4.205, 1.205, 8192, 0, 4.205, 5.491, 1.286, 703, 5.491, 6.183, 0.692, 4096, 0, 6.183, 6.584, 0.401, 600, 6.584, 7.269, 0.685, 2048, 0, 7.269, 7.477, 0.208, 200, 7.477, 7.625, 0.148, 1024, 0, 7.625, 7.741, 0.115, 200, 7.741, 7.753, 0.012, 0, 0,     4.753,
 4, 13, 4, 4, 5.024, 1.024, 8192, 0, 5.024, 6.385, 1.361, 708, 6.385, 7.07, 0.684, 4096, 0, 7.07, 7.477, 0.407, 600, 7.477, 7.989, 0.512, 2048, 0, 7.989, 8.186, 0.197, 200, 8.186, 8.338, 0.151, 1024, 0, 8.338, 8.441, 0.103, 200, 8.441, 8.453, 0.012, 0, 0,     4.453,
 5, 13, 5, 5, 5.946, 0.946, 9216, 0, 5.946, 7.377, 1.432, 794, 7.377, 8.062, 0.684, 4096, 0, 8.062, 8.461, 0.4, 600, 8.461, 8.974, 0.512, 2048, 0, 8.974, 9.178, 0.204, 200, 9.178, 9.335, 0.157, 1024, 0, 9.335, 9.437, 0.102, 200, 9.437, 9.449, 0.012, 0, 0,     4.449,
 6, 13, 6, 6, 7.132, 1.132, 11264, 0, 7.132, 8.491, 1.359, 881, 8.491, 9.347, 0.855, 5120, 0, 9.347, 9.859, 0.513, 750, 9.859, 10.633, 0.773, 3072, 0, 10.633, 10.95, 0.317, 300, 10.95, 11.098, 0.148, 1024, 0, 11.098, 11.19, 0.092, 200, 11.19, 11.202, 0.012, 0, 0,     5.202,
 7, 13, 7, 7, 8.262, 1.262, 11264, 0, 8.262, 9.617, 1.355, 901, 9.617, 10.472, 0.855, 5120, 0, 10.472, 10.965, 0.492, 750, 10.965, 11.732, 0.768, 3072, 0, 11.732, 12.046, 0.313, 300, 12.046, 12.196, 0.15, 1024, 0, 12.196, 12.293, 0.097, 200, 12.293, 12.297, 0.004, 0, 0,     5.297,
 8, 13, 8, 8, 9.286, 1.286, 10240, 0, 9.286, 10.616, 1.33, 800, 10.616, 11.48, 0.864, 5120, 0, 11.48, 11.975, 0.495, 750, 11.975, 12.744, 0.769, 3072, 0, 12.744, 13.04, 0.296, 300, 13.04, 13.188, 0.148, 1024, 0, 13.188, 13.297, 0.108, 200, 13.297, 13.309, 0.012, 0, 0,     5.309,
 9, 13, 9, 9, 10.412, 1.412, 11264, 0, 10.412, 11.777, 1.365, 927, 11.777, 12.633, 0.855, 5120, 0, 12.633, 13.132, 0.499, 750, 13.132, 13.9, 0.768, 3072, 0, 13.9, 14.202, 0.302, 300, 14.202, 14.351, 0.148, 1024, 0, 14.351, 14.458, 0.107, 200, 14.458, 14.47, 0.012, 0, 0,     5.470,
