Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 14, 0, 0, 1.03, 1.03, 11264, 0, 1.03, 2.123, 1.093, 593, 2.123, 3.155, 1.032, 17408, 0, 3.155, 4.698, 1.542, 1360, 4.698, 5.616, 0.919, 8192, 0, 5.616, 6.355, 0.739, 800, 6.355, 6.598, 0.243, 4096, 0,     6.598,
 1, 14, 1, 1, 1.869, 0.869, 9216, 0, 1.869, 2.981, 1.111, 468, 2.981, 3.999, 1.018, 14336, 0, 3.999, 5.979, 1.981, 1120, 5.979, 6.778, 0.799, 7168, 0, 6.778, 7.417, 0.639, 700, 7.417, 7.601, 0.184, 3072, 0,     6.601,
 2, 14, 2, 2, 2.937, 0.937, 10240, 0, 2.937, 3.948, 1.011, 529, 3.948, 4.907, 0.96, 15360, 0, 4.907, 7.359, 2.452, 1200, 7.359, 8.161, 0.802, 7168, 0, 8.161, 8.81, 0.649, 700, 8.81, 8.996, 0.186, 3072, 0,     6.996,
 3, 14, 3, 3, 4.225, 1.225, 13312, 0, 4.225, 5.409, 1.184, 652, 5.409, 6.564, 1.155, 19456, 0, 6.564, 9.09, 2.526, 1520, 9.09, 10.115, 1.026, 9216, 0, 10.115, 10.93, 0.815, 900, 10.93, 11.243, 0.313, 5120, 0,     8.243,
 4, 14, 4, 4, 5.249, 1.249, 11264, 0, 5.249, 6.434, 1.185, 564, 6.434, 7.528, 1.094, 16384, 0, 7.528, 10.543, 3.015, 1280, 10.543, 11.455, 0.912, 8192, 0, 11.455, 12.187, 0.731, 800, 12.187, 12.43, 0.243, 4096, 0,     8.430,
 5, 14, 5, 5, 6.273, 1.273, 11264, 0, 6.273, 7.477, 1.204, 565, 7.477, 8.493, 1.016, 16384, 0, 8.493, 12.006, 3.513, 1280, 12.006, 12.919, 0.913, 8192, 0, 12.919, 13.638, 0.719, 800, 13.638, 13.888, 0.25, 4096, 0,     8.888,
 6, 14, 6, 6, 7.204, 1.204, 10240, 0, 7.204, 8.441, 1.238, 528, 8.441, 9.397, 0.956, 15360, 0, 9.397, 13.377, 3.98, 1200, 13.377, 14.18, 0.804, 7168, 0, 14.18, 14.818, 0.637, 700, 14.818, 15, 0.183, 3072, 0,     9.000,
 7, 14, 7, 7, 8.234, 1.234, 11264, 0, 8.234, 9.53, 1.296, 590, 9.53, 10.556, 1.026, 17408, 0, 10.556, 14.922, 4.366, 1360, 14.922, 15.836, 0.914, 8192, 0, 15.836, 16.564, 0.729, 800, 16.564, 16.807, 0.243, 4096, 0,     9.807,
 8, 14, 8, 8, 9.351, 1.351, 12288, 0, 9.351, 10.633, 1.281, 607, 10.633, 11.719, 1.086, 18432, 0, 11.719, 16.564, 4.845, 1440, 16.564, 17.597, 1.032, 9216, 0, 17.597, 18.414, 0.817, 900, 18.414, 18.723, 0.309, 5120, 0,    10.723,
 9, 14, 9, 9, 10.189, 1.189, 9216, 0, 10.189, 11.485, 1.296, 469, 11.485, 12.563, 1.078, 14336, 0, 12.563, 17.845, 5.281, 1120, 17.845, 18.643, 0.798, 7168, 0, 18.643, 19.273, 0.63, 700, 19.273, 19.456, 0.183, 3072, 0,    10.456,
