Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 14, 0, 0, 1.027, 1.027, 11264, 0, 1.027, 2.092, 1.065, 593, 2.092, 3.132, 1.04, 17408, 0, 3.132, 4.173, 1.041, 1360, 4.173, 5.093, 0.92, 8192, 0, 5.093, 6.062, 0.969, 800, 6.062, 6.308, 0.247, 4096, 0,     6.308,
 1, 14, 1, 1, 1.859, 0.859, 9216, 0, 1.859, 2.937, 1.078, 468, 2.937, 3.989, 1.052, 14336, 0, 3.989, 5.03, 1.042, 1120, 5.03, 5.89, 0.86, 7168, 0, 5.89, 6.909, 1.018, 700, 6.909, 7.093, 0.185, 3072, 0,     6.093,
 2, 14, 2, 2, 2.919, 0.919, 10240, 0, 2.919, 3.895, 0.976, 529, 3.895, 4.889, 0.994, 15360, 0, 4.889, 5.957, 1.067, 1200, 5.957, 6.764, 0.808, 7168, 0, 6.764, 7.755, 0.991, 700, 7.755, 7.937, 0.182, 3072, 0,     5.937,
 3, 14, 3, 3, 4.205, 1.205, 13312, 0, 4.205, 5.392, 1.187, 652, 5.392, 6.533, 1.141, 19456, 0, 6.533, 7.687, 1.154, 1520, 7.687, 8.72, 1.033, 9216, 0, 8.72, 9.811, 1.091, 900, 9.811, 10.118, 0.307, 5120, 0,     7.118,
 4, 14, 4, 4, 5.222, 1.222, 11264, 0, 5.222, 6.417, 1.195, 564, 6.417, 7.5, 1.083, 16384, 0, 7.5, 8.656, 1.155, 1280, 8.656, 9.629, 0.973, 8192, 0, 9.629, 10.783, 1.154, 800, 10.783, 11.022, 0.239, 4096, 0,     7.022,
 5, 14, 5, 5, 6.247, 1.247, 11264, 0, 6.247, 7.431, 1.185, 565, 7.431, 8.467, 1.035, 16384, 0, 8.467, 9.627, 1.161, 1280, 9.627, 10.556, 0.929, 8192, 0, 10.556, 11.779, 1.223, 800, 11.779, 12.026, 0.247, 4096, 0,     7.026,
 6, 14, 6, 6, 7.177, 1.177, 10240, 0, 7.177, 8.373, 1.196, 528, 8.373, 9.367, 0.994, 15360, 0, 9.367, 10.542, 1.176, 1200, 10.542, 11.363, 0.82, 7168, 0, 11.363, 12.635, 1.272, 700, 12.635, 12.823, 0.188, 3072, 0,     6.823,
 7, 14, 7, 7, 8.19, 1.19, 11264, 0, 8.19, 9.438, 1.248, 590, 9.438, 10.465, 1.027, 17408, 0, 10.465, 11.578, 1.113, 1360, 11.578, 12.495, 0.916, 8192, 0, 12.495, 13.605, 1.111, 800, 13.605, 13.847, 0.242, 4096, 0,     6.847,
 8, 14, 8, 8, 9.314, 1.314, 12288, 0, 9.314, 10.562, 1.249, 607, 10.562, 11.647, 1.084, 18432, 0, 11.647, 12.759, 1.113, 1440, 12.759, 13.787, 1.028, 9216, 0, 13.787, 14.885, 1.098, 900, 14.885, 15.19, 0.305, 5120, 0,     7.190,
 9, 14, 9, 9, 10.17, 1.17, 9216, 0, 10.17, 11.419, 1.249, 469, 11.419, 12.479, 1.06, 14336, 0, 12.479, 13.611, 1.132, 1120, 13.611, 14.577, 0.967, 7168, 0, 14.577, 15.738, 1.161, 700, 15.738, 15.93, 0.192, 3072, 0,     6.930,
 10, 14, 10, 10, 11.094, 1.094, 10240, 0, 11.094, 12.409, 1.315, 548, 12.409, 13.454, 1.046, 16384, 0, 13.454, 14.581, 1.127, 1280, 14.581, 15.502, 0.921, 8192, 0, 15.502, 16.7, 1.198, 800, 16.7, 16.945, 0.245, 4096, 0,     6.945,
 11, 14, 11, 11, 11.93, 0.93, 9216, 0, 11.93, 13.259, 1.329, 461, 13.259, 14.239, 0.979, 13312, 0, 14.239, 15.368, 1.129, 1040, 15.368, 16.188, 0.821, 6144, 0, 16.188, 17.419, 1.23, 600, 17.419, 17.612, 0.194, 3072, 0,     6.612,
 12, 14, 12, 12, 12.929, 0.929, 10240, 0, 12.929, 14.221, 1.292, 523, 14.221, 15.149, 0.928, 15360, 0, 15.149, 16.273, 1.124, 1200, 16.273, 17.084, 0.811, 7168, 0, 17.084, 18.287, 1.202, 700, 18.287, 18.478, 0.191, 3072, 0,     6.478,
