Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 3, 0, 0, 0.925, 0.925, 12288, 0, 0.925, 1.713, 0.788, 611, 1.713, 2.658, 0.945, 18432, 0, 2.658, 3.493, 0.835, 2700, 3.493, 4.2, 0.707, 12288, 0,     4.200,
 1, 3, 1, 1, 2.126, 1.126, 17408, 0, 2.126, 3.296, 1.17, 878, 3.296, 4.513, 1.217, 26624, 0, 4.513, 5.772, 1.259, 3900, 5.772, 6.822, 1.05, 17408, 0,     5.822,
 2, 3, 2, 2, 3.006, 1.006, 12288, 0, 3.006, 4.208, 1.202, 625, 4.208, 5.316, 1.108, 18432, 0, 5.316, 6.618, 1.302, 2700, 6.618, 7.638, 1.02, 12288, 0,     5.638,
 3, 3, 3, 3, 4.119, 1.119, 16384, 0, 4.119, 5.398, 1.279, 827, 5.398, 6.413, 1.015, 24576, 0, 6.413, 7.655, 1.243, 3600, 7.655, 8.916, 1.26, 16384, 0,     5.916,
 4, 3, 4, 4, 4.987, 0.987, 13312, 0, 4.987, 6.452, 1.465, 668, 6.452, 7.433, 0.981, 20480, 0, 7.433, 8.543, 1.11, 3000, 8.543, 9.901, 1.358, 13312, 0,     5.901,
 5, 3, 5, 5, 6.272, 1.272, 16384, 0, 6.272, 7.62, 1.347, 800, 7.62, 8.614, 0.994, 24576, 0, 8.614, 9.703, 1.09, 3600, 9.703, 10.926, 1.222, 16384, 0,     5.926,
 6, 3, 6, 6, 7.539, 1.539, 17408, 0, 7.539, 8.953, 1.414, 895, 8.953, 10.226, 1.273, 26624, 0, 10.226, 11.387, 1.161, 3900, 11.387, 12.523, 1.135, 17408, 0,     6.523,
 7, 3, 7, 7, 8.416, 1.416, 12288, 0, 8.416, 9.769, 1.353, 612, 9.769, 11.118, 1.35, 18432, 0, 11.118, 12.182, 1.064, 2700, 12.182, 13.375, 1.193, 12288, 0,     6.375,
 8, 3, 8, 8, 9.376, 1.376, 14336, 0, 9.376, 10.782, 1.406, 730, 10.782, 12.121, 1.339, 21504, 0, 12.121, 13.094, 0.974, 3150, 13.094, 14.246, 1.152, 14336, 0,     6.246,
 9, 3, 9, 9, 10.245, 1.245, 13312, 0, 10.245, 11.763, 1.518, 676, 11.763, 13.002, 1.239, 20480, 0, 13.002, 14.06, 1.058, 3000, 14.06, 15.084, 1.025, 13312, 0,     6.084,
 10, 3, 10, 10, 11.09, 1.09, 13312, 0, 11.09, 12.837, 1.747, 680, 12.837, 14.013, 1.177, 20480, 0, 14.013, 15, 0.987, 3000, 15, 15.963, 0.963, 13312, 0,     5.963,
