Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 9, 0, 0, 0.772, 0.772, 11264, 0, 0.772, 1.642, 0.87, 578, 1.642, 2.386, 0.744, 17408, 0, 2.386, 3.455, 1.069, 1360, 3.455, 4.173, 0.718, 8192, 0, 4.173, 4.913, 0.74, 1200, 4.913, 5.505, 0.591, 5120, 0, 5.505, 6.474, 0.969, 1000, 6.474, 6.889, 0.415, 4096, 0,     6.889,
 1, 9, 1, 1, 2.128, 1.128, 15360, 0, 2.128, 3.511, 1.383, 759, 3.511, 4.532, 1.021, 22528, 0, 4.532, 6.019, 1.487, 1760, 6.019, 6.966, 0.947, 11264, 0, 6.966, 8.222, 1.256, 1650, 8.222, 9.294, 1.072, 7168, 0, 9.294, 10.318, 1.024, 1400, 10.318, 10.776, 0.458, 5120, 0,     9.776,
 2, 9, 2, 2, 3.09, 1.09, 13312, 0, 3.09, 4.656, 1.566, 690, 4.656, 5.564, 0.908, 20480, 0, 5.564, 7.086, 1.523, 1600, 7.086, 8.111, 1.024, 10240, 0, 8.111, 9.227, 1.117, 1500, 9.227, 10.075, 0.848, 6144, 0, 10.075, 11.203, 1.128, 1200, 11.203, 11.618, 0.414, 5120, 0,     9.618,
 3, 9, 3, 3, 4.349, 1.349, 12288, 0, 4.349, 5.657, 1.308, 649, 5.657, 6.496, 0.839, 19456, 0, 6.496, 8.088, 1.592, 1520, 8.088, 9.011, 0.923, 9216, 0, 9.011, 10.093, 1.082, 1350, 10.093, 10.888, 0.795, 6144, 0, 10.888, 12.231, 1.343, 1200, 12.231, 12.669, 0.438, 5120, 0,     9.669,
 4, 9, 4, 4, 5.341, 1.341, 12288, 0, 5.341, 6.567, 1.227, 606, 6.567, 7.479, 0.912, 18432, 0, 7.479, 9.104, 1.625, 1440, 9.104, 9.939, 0.834, 9216, 0, 9.939, 10.918, 0.98, 1350, 10.918, 11.675, 0.757, 6144, 0, 11.675, 13.14, 1.465, 1200, 13.14, 13.583, 0.443, 5120, 0,     9.583,
 5, 9, 5, 5, 6.628, 1.628, 15360, 0, 6.628, 7.671, 1.043, 753, 7.671, 8.886, 1.215, 22528, 0, 8.886, 10.158, 1.271, 1760, 10.158, 11.372, 1.214, 11264, 0, 11.372, 12.596, 1.224, 1650, 12.596, 13.562, 0.967, 7168, 0, 13.562, 14.762, 1.2, 1400, 14.762, 15.355, 0.593, 5120, 0,    10.355,
 6, 9, 6, 6, 7.717, 1.717, 14336, 0, 7.717, 8.982, 1.265, 732, 8.982, 10.111, 1.129, 21504, 0, 10.111, 11.14, 1.029, 1680, 11.14, 12.536, 1.396, 10240, 0, 12.536, 13.563, 1.027, 1500, 13.563, 14.624, 1.061, 6144, 0, 14.624, 15.762, 1.138, 1200, 15.762, 16.164, 0.402, 5120, 0,    10.164,
 7, 9, 7, 7, 8.508, 1.508, 11264, 0, 8.508, 9.922, 1.414, 578, 9.922, 11.284, 1.362, 17408, 0, 11.284, 12.127, 0.842, 1360, 12.127, 13.388, 1.262, 8192, 0, 13.388, 14.329, 0.941, 1200, 14.329, 15.259, 0.93, 5120, 0, 15.259, 16.559, 1.3, 1000, 16.559, 16.94, 0.381, 4096, 0,     9.940,
 8, 9, 8, 8, 9.441, 1.441, 13312, 0, 9.441, 10.886, 1.446, 668, 10.886, 12.385, 1.499, 20480, 0, 12.385, 13.337, 0.951, 1600, 13.337, 14.531, 1.194, 10240, 0, 14.531, 15.635, 1.104, 1500, 15.635, 16.529, 0.894, 6144, 0, 16.529, 17.569, 1.04, 1200, 17.569, 18.037, 0.468, 5120, 0,    10.037,
 9, 9, 9, 9, 10.424, 1.424, 14336, 0, 10.424, 11.873, 1.45, 706, 11.873, 13.414, 1.541, 21504, 0, 13.414, 14.698, 1.284, 1680, 14.698, 16.063, 1.366, 10240, 0, 16.063, 17.259, 1.196, 1500, 17.259, 18.115, 0.856, 6144, 0, 18.115, 19.208, 1.093, 1200, 19.208, 19.701, 0.493, 5120, 0,    10.701,
